;classement;titre;annee;durée;categorie
0;1.;How the Grinch Stole Christmas;(2000);104 min;Comedy, Family, Fantasy            
1;2.;Cast Away;(2000);143 min;Adventure, Drama, Romance            
2;3.;Mission: Impossible II;(2000);123 min;Action, Adventure, Thriller            
3;4.;Gladiator;(2000);155 min;Action, Adventure, Drama            
4;5.;What Women Want;(2000);127 min;Comedy, Fantasy, Romance            
5;6.;The Perfect Storm;(2000);130 min;Action, Adventure, Drama            
6;7.;Meet the Parents;(2000);108 min;Comedy, Romance            
7;8.;X-Men;(2000);104 min;Action, Adventure, Sci-Fi            
8;9.;Scary Movie;(2000);88 min;Comedy            
9;10.;What Lies Beneath;(2000);130 min;Drama, Fantasy, Horror            
10;11.;Dinosaur;(2000);82 min;Animation, Adventure, Family            
11;12.;Crouching Tiger, Hidden Dragon;(2000);120 min;Action, Adventure, Fantasy            
12;13.;Erin Brockovich;(2000);131 min;Biography, Drama            
13;14.;Charlie's Angels;(2000);98 min;Action, Adventure, Comedy            
14;15.;Traffic;(2000);147 min;Crime, Drama, Thriller            
15;16.;Nutty Professor II: The Klumps;(2000);106 min;Comedy, Romance, Sci-Fi            
16;17.;Big Momma's House;(2000);99 min;Action, Comedy, Crime            
17;18.;Remember the Titans;(2000);113 min;Biography, Drama, Sport            
18;19.;The Patriot;(2000);165 min;Action, Drama, History            
19;20.;Miss Congeniality;(2000);109 min;Action, Comedy, Crime            
20;21.;Chicken Run;(2000);84 min;Animation, Adventure, Comedy            
21;22.;Gone in Sixty Seconds;(2000);118 min;Action, Crime, Thriller            
22;23.;Unbreakable;(2000);106 min;Drama, Mystery, Sci-Fi            
23;24.;Me, Myself & Irene;(2000);116 min;Comedy            
24;25.;Space Cowboys;(2000);130 min;Action, Adventure, Thriller            
25;26.;The Emperor's New Groove;(2000);78 min;Animation, Adventure, Comedy            
26;27.;Scream 3;(2000);116 min;Horror, Mystery            
27;28.;U-571;(2000);116 min;Action, War            
28;29.;Rugrats in Paris: The Movie;(2000);78 min;Animation, Adventure, Comedy            
29;30.;The Family Man;(2000);125 min;Comedy, Drama, Fantasy            
30;31.;Hollow Man;(2000);112 min;Action, Horror, Sci-Fi            
31;32.;Chocolat;(2000);121 min;Drama, Romance            
32;33.;Shaft;(2000);99 min;Action, Crime, Thriller            
33;34.;The Kid;(2000);104 min;Comedy, Family, Fantasy            
34;35.;Road Trip;(2000);93 min;Adventure, Comedy            
35;36.;Vertical Limit;(2000);124 min;Action, Adventure, Drama            
36;37.;Bring It On;(2000);98 min;Comedy, Romance, Sport            
37;38.;102 Dalmatians;(2000);100 min;Adventure, Comedy, Family            
38;39.;Rules of Engagement;(2000);128 min;Drama, Thriller, War            
39;40.;The Cell;(2000);107 min;Horror, Sci-Fi, Thriller            
40;41.;Mission to Mars;(2000);114 min;Adventure, Sci-Fi, Thriller            
41;42.;Coyote Ugly;(2000);100 min;Comedy, Drama, Music            
42;43.;Snow Day;(2000);89 min;Adventure, Comedy, Family            
43;44.;The Whole Nine Yards;(2000);98 min;Comedy, Crime            
44;45.;Next Friday;(2000);98 min;Comedy            
45;46.;Shanghai Noon;(2000);110 min;Action, Adventure, Comedy            
46;47.;Romeo Must Die;(2000);115 min;Action, Crime, Thriller            
47;48.;Destination finale;(2000);98 min;Horror, Thriller            
48;49.;Finding Forrester;(2000);136 min;Drama            
49;50.;The Road to El Dorado;(2000);89 min;Animation, Adventure, Comedy            
50;51.;Men of Honor;(2000);129 min;Biography, Drama            
51;52.;Dude, Where's My Car?;(2000);83 min;Comedy, Mystery, Sci-Fi            
52;53.;The Tigger Movie;(2000);77 min;Animation, Comedy, Drama            
53;54.;O Brother, Where Art Thou?;(2000);107 min;Adventure, Comedy, Crime            
54;55.;Frequency;(2000);118 min;Crime, Drama, Mystery            
55;56.;The Replacements;(2000);118 min;Comedy, Sport            
56;57.;The Beach;(I) (2000);119 min;Adventure, Drama, Romance            
57;58.;Little Nicky;(2000);90 min;Comedy, Fantasy            
58;59.;Pitch Black;(2000);109 min;Horror, Sci-Fi            
59;60.;The Original Kings of Comedy;(2000);115 min;Comedy, Documentary            
60;61.;Bedazzled;(2000);93 min;Comedy, Fantasy            
61;62.;Autumn in New York;(2000);103 min;Drama, Romance            
62;63.;Keeping the Faith;(2000);128 min;Comedy, Drama, Romance            
63;64.;28 Days;(2000);103 min;Comedy, Drama            
64;65.;Bounce;(2000);106 min;Drama, Romance            
65;66.;Raccroche!;(2000);94 min;Comedy, Drama            
66;67.;The Flintstones in Viva Rock Vegas;(2000);90 min;Comedy, Family, Romance            
67;68.;The Skulls;(2000);106 min;Action, Crime, Drama            
68;69.;Thirteen Days;(2000);145 min;Drama, History, Thriller            
69;70.;The 6th Day;(2000);123 min;Action, Mystery, Sci-Fi            
70;71.;My Dog Skip;(2000);95 min;Comedy, Drama, Family            
71;72.;Where the Heart Is;(2000);120 min;Comedy, Drama, Romance            
72;73.;Pay It Forward;(2000);123 min;Drama            
73;74.;Dracula 2000;(2000);99 min;Action, Fantasy, Horror            
74;75.;Return to Me;(2000);115 min;Comedy, Drama, Romance            
75;76.;Proof of Life;(2000);135 min;Action, Drama, Thriller            
76;77.;Almost Famous;(2000);122 min;Adventure, Comedy, Drama            
77;78.;The Legend of Bagger Vance;(2000);126 min;Drama, Fantasy, Sport            
78;79.;The Art of War;(2000);117 min;Action, Adventure, Crime            
79;80.;Snatch;(2000);102 min;Comedy, Crime            
80;81.;Bless the Child;(2000);107 min;Crime, Drama, Horror            
81;82.;The Watcher;(I) (2000);97 min;Crime, Horror, Mystery            
82;83.;Love & Basketball;(2000);124 min;Drama, Romance, Sport            
83;84.;High Fidelity;(2000);113 min;Comedy, Drama, Music            
84;85.;Book of Shadows: Blair Witch 2;(2000);90 min;Adventure, Fantasy, Horror            
85;86.;The Adventures of Rocky & Bullwinkle;(2000);92 min;Animation, Adventure, Comedy            
86;87.;Memento;(2000);113 min;Mystery, Thriller            
87;88.;Nurse Betty;(2000);110 min;Comedy, Crime, Drama            
88;89.;Reindeer Games;(2000);104 min;Action, Adventure, Crime            
89;90.;Titan A.E.;(2000);94 min;Animation, Action, Adventure            
90;91.;Billy Elliot;(2000);110 min;Drama, Music, Romance            
91;92.;Battlefield Earth;(2000);118 min;Action, Adventure, Sci-Fi            
92;93.;Urban Legend 2: Coup de grâce;(2000);97 min;Horror, Mystery, Romance            
93;94.;Boys and Girls;(2000);94 min;Comedy, Drama, Romance            
94;95.;Down to You;(2000);91 min;Comedy, Drama, Romance            
95;96.;Wonder Boys;(2000);107 min;Comedy, Drama            
96;97.;Michael Jordan to the Max;(2000);46 min;Documentary, Sport            
97;98.;Best in Show;(2000);90 min;Comedy            
98;99.;The Contender;(2000);126 min;Drama, Thriller            
99;100.;Red Planet;(2000);106 min;Action, Sci-Fi, Thriller            
