;classement;titre;annee;durée;categorie
0;1.;The Hunger Games: Catching Fire;(2013);146 min;Action, Adventure, Mystery            
1;2.;Iron Man 3;(2013);130 min;Action, Adventure, Sci-Fi            
2;3.;Frozen;(I) (2013);102 min;Animation, Adventure, Comedy            
3;4.;Despicable Me 2;(2013);98 min;Animation, Adventure, Comedy            
4;5.;Man of Steel;(2013);143 min;Action, Adventure, Fantasy            
5;6.;Gravity;(2013);91 min;Adventure, Drama, Sci-Fi            
6;7.;Monsters University;(2013);104 min;Animation, Adventure, Comedy            
7;8.;The Hobbit: The Desolation of Smaug;(2013);161 min;Adventure, Fantasy            
8;9.;Fast & Furious 6;(2013);130 min;Action, Crime, Thriller            
9;10.;Oz the Great and Powerful;(2013);130 min;Adventure, Family, Fantasy            
10;11.;Star Trek Into Darkness;(2013);132 min;Action, Adventure, Sci-Fi            
11;12.;Thor: The Dark World;(2013);112 min;Action, Adventure, Fantasy            
12;13.;World War Z;(2013);116 min;Action, Adventure, Horror            
13;14.;The Croods;(2013);98 min;Animation, Adventure, Comedy            
14;15.;The Heat;(I) (2013);117 min;Action, Comedy, Crime            
15;16.;We're the Millers;(2013);110 min;Comedy, Crime            
16;17.;American Hustle;(2013);138 min;Crime, Drama            
17;18.;Gatsby le magnifique;(2013);143 min;Drama, Romance            
18;19.;The Conjuring;(2013);112 min;Horror, Mystery, Thriller            
19;20.;Identity Thief;(2013);111 min;Comedy, Crime            
20;21.;Grown Ups 2;(2013);101 min;Comedy            
21;22.;The Wolverine;(2013);126 min;Action, Adventure, Sci-Fi            
22;23.;Lone Survivor;(2013);121 min;Action, Biography, Drama            
23;24.;G.I. Joe: Retaliation;(2013);110 min;Action, Adventure, Sci-Fi            
24;25.;Cloudy with a Chance of Meatballs 2;(2013);95 min;Animation, Adventure, Comedy            
25;26.;Now You See Me;(I) (2013);115 min;Crime, Mystery, Thriller            
26;27.;The Wolf of Wall Street;(2013);180 min;Biography, Comedy, Crime            
27;28.;Lee Daniels' The Butler;(I) (2013);132 min;Biography, Drama            
28;29.;The Hangover Part III;(2013);100 min;Comedy, Crime            
29;30.;Epic;(2013);102 min;Animation, Adventure, Family            
30;31.;Captain Phillips;(2013);134 min;Biography, Drama, Thriller            
31;32.;Bad Grandpa;(2013);92 min;Comedy            
32;33.;Pacific Rim;(2013);131 min;Action, Adventure, Sci-Fi            
33;34.;This Is the End;(2013);107 min;Comedy, Fantasy            
34;35.;Olympus Has Fallen;(2013);119 min;Action, Thriller            
35;36.;42;(2013);128 min;Biography, Drama, Sport            
36;37.;Elysium;(I) (2013);109 min;Action, Drama, Sci-Fi            
37;38.;Planes;(2013);91 min;Animation, Adventure, Comedy            
38;39.;The Lone Ranger;(2013);150 min;Action, Adventure, Western            
39;40.;Oblivion;(I) (2013);124 min;Action, Adventure, Mystery            
40;41.;Insidious: Chapter 2;(2013);106 min;Horror, Thriller            
41;42.;Saving Mr. Banks;(2013);125 min;Biography, Comedy, Drama            
42;43.;Turbo;(2013);96 min;Animation, Adventure, Comedy            
43;44.;2 Guns;(2013);109 min;Action, Comedy, Crime            
44;45.;White House Down;(2013);131 min;Action, Drama, Thriller            
45;46.;Mama;(I) (2013);100 min;Horror, Thriller            
46;47.;Safe Haven;(I) (2013);115 min;Drama, Romance, Thriller            
47;48.;The Smurfs 2;(2013);105 min;Animation, Adventure, Comedy            
48;49.;The Best Man Holiday;(2013);123 min;Comedy, Drama            
49;50.;Percy Jackson: Sea of Monsters;(2013);106 min;Adventure, Family, Fantasy            
50;51.;A Good Day to Die Hard;(2013);98 min;Action, Thriller            
51;52.;Warm Bodies;(2013);98 min;Comedy, Horror, Romance            
52;53.;Jack the Giant Slayer;(2013);114 min;Adventure, Fantasy            
53;54.;The Purge;(I) (2013);85 min;Horror, Sci-Fi, Thriller            
54;55.;Last Vegas;(2013);105 min;Comedy            
55;56.;Ender's Game;(2013);114 min;Action, Sci-Fi            
56;57.;Prisoners;(2013);153 min;Crime, Drama, Mystery            
57;58.;After Earth;(2013);100 min;Action, Adventure, Sci-Fi            
58;59.;The Secret Life of Walter Mitty;(2013);114 min;Adventure, Comedy, Drama            
59;60.;Escape from Planet Earth;(2013);89 min;Animation, Adventure, Comedy            
60;61.;12 Years a Slave;(2013);134 min;Biography, Drama, History            
61;62.;Free Birds;(2013);91 min;Animation, Adventure, Comedy            
62;63.;Hansel & Gretel: Witch Hunters;(2013);88 min;Action, Fantasy, Horror            
63;64.;Evil Dead;(2013);91 min;Horror            
64;65.;RED 2;(2013);116 min;Action, Comedy, Crime            
65;66.;A Madea Christmas;(2013);100 min;Comedy, Drama            
66;67.;Temptation: Confessions of a Marriage Counselor;(2013);111 min;Drama, Thriller            
67;68.;The Call;(II) (2013);94 min;Crime, Thriller            
68;69.;Pain & Gain;(2013);129 min;Comedy, Crime, Drama            
69;70.;Gangster Squad;(2013);113 min;Action, Crime, Drama            
70;71.;The Internship;(2013);119 min;Comedy            
71;72.;Instructions Not Included;(2013);122 min;Comedy, Drama            
72;73.;Snitch;(I) (2013);112 min;Action, Drama, Thriller            
73;74.;Riddick;(2013);119 min;Action, Sci-Fi, Thriller            
74;75.;A Haunted House;(2013);86 min;Comedy, Fantasy            
75;76.;47 Ronin;(2013);128 min;Action, Adventure, Drama            
76;77.;August: Osage County;(2013);121 min;Drama            
77;78.;Philomena;(2013);98 min;Biography, Drama            
78;79.;The Family;(I) (2013);111 min;Comedy, Crime, Thriller            
79;80.;Walking with Dinosaurs 3D;(2013);87 min;Animation, Adventure, Family            
80;81.;Carrie;(2013);100 min;Drama, Horror            
81;82.;Texas Chainsaw 3D;(2013);92 min;Horror, Thriller            
82;83.;R.I.P.D.;(2013);96 min;Action, Comedy, Fantasy            
83;84.;Blue Jasmine;(2013);98 min;Drama            
84;85.;Kevin Hart: Let Me Explain;(2013);75 min;Documentary, Comedy            
85;86.;Side Effects;(I) (2013);106 min;Crime, Drama, Thriller            
86;87.;Scary Movie 5;(2013);86 min;Comedy            
87;88.;The Mortal Instruments: City of Bones;(2013);130 min;Action, Fantasy, Horror            
88;89.;Delivery Man;(2013);105 min;Comedy, Drama            
89;90.;Grudge Match;(2013);113 min;Comedy, Drama, Sport            
90;91.;One Direction: This Is Us;(2013);92 min;Documentary, Music            
91;92.;Kick-Ass 2;(2013);103 min;Action, Comedy, Crime            
92;93.;Oculus;(I) (2013);104 min;Horror, Mystery            
93;94.;Dallas Buyers Club;(2013);117 min;Biography, Drama            
94;95.;Rush;(I) (2013);123 min;Action, Biography, Drama            
95;96.;The Host;(2013);125 min;Action, Adventure, Romance            
96;97.;The World's End;(2013);109 min;Action, Comedy, Sci-Fi            
97;98.;21 & Over;(2013);93 min;Comedy            
98;99.;Her;(2013);126 min;Drama, Romance, Sci-Fi            
99;100.;Escape Plan;(2013);115 min;Action, Crime, Mystery            
