;classement;titre;annee;durée;categorie
0;1.;Spider-Man;(2002);121 min;Action, Adventure            
1;2.;The Lord of the Rings: The Two Towers;(2002);179 min;Adventure, Drama, Fantasy            
2;3.;Star Wars: Episode II - Attack of the Clones;(2002);142 min;Action, Adventure, Fantasy            
3;4.;Harry Potter and the Chamber of Secrets;(2002);161 min;Adventure, Family, Fantasy            
4;5.;Mariage à la grecque;(2002);95 min;Comedy, Family, Romance            
5;6.;Signs;(2002);106 min;Drama, Mystery, Sci-Fi            
6;7.;Austin Powers in Goldmember;(2002);94 min;Action, Comedy, Crime            
7;8.;Men in Black II;(2002);88 min;Action, Adventure, Comedy            
8;9.;Ice Age;(2002);81 min;Animation, Adventure, Comedy            
9;10.;Chicago;(2002);113 min;Comedy, Crime, Musical            
10;11.;Catch Me If You Can;(2002);141 min;Biography, Crime, Drama            
11;12.;Die Another Day;(2002);133 min;Action, Adventure, Thriller            
12;13.;Scooby-Doo;(2002);86 min;Adventure, Comedy, Family            
13;14.;Lilo & Stitch;(2002);85 min;Animation, Adventure, Comedy            
14;15.;xXx;(2002);124 min;Action, Adventure, Thriller            
15;16.;The Santa Clause 2;(2002);104 min;Comedy, Family, Fantasy            
16;17.;Minority Report;(2002);145 min;Action, Mystery, Sci-Fi            
17;18.;The Ring;(2002);115 min;Horror, Mystery            
18;19.;Sweet Home Alabama;(2002);108 min;Comedy, Romance            
19;20.;Mr. Deeds;(2002);96 min;Comedy, Romance            
20;21.;The Bourne Identity;(2002);119 min;Action, Mystery, Thriller            
21;22.;The Sum of All Fears;(2002);124 min;Action, Drama, Thriller            
22;23.;8 Mile;(2002);110 min;Drama, Music            
23;24.;Road to Perdition;(2002);117 min;Crime, Drama, Thriller            
24;25.;Panic Room;(2002);112 min;Crime, Drama, Thriller            
25;26.;Maid in Manhattan;(2002);105 min;Comedy, Drama, Romance            
26;27.;Two Weeks Notice;(2002);101 min;Comedy, Romance            
27;28.;Station spatiale;(2002);47 min;Documentary            
28;29.;Dragon rouge;(2002);124 min;Crime, Drama, Thriller            
29;30.;The Scorpion King;(2002);92 min;Action, Adventure, Fantasy            
30;31.;Spy Kids 2: Island of Lost Dreams;(2002);100 min;Action, Adventure, Comedy            
31;32.;Blade II;(2002);117 min;Action, Horror, Sci-Fi            
32;33.;Chiens des neiges;(2002);99 min;Adventure, Comedy, Family            
33;34.;We Were Soldiers;(2002);138 min;Action, Drama, History            
34;35.;Gangs of New York;(2002);167 min;Crime, Drama            
35;36.;The Rookie;(2002);127 min;Drama, Family, Sport            
36;37.;Barbershop;(2002);102 min;Comedy, Drama            
37;38.;Spirit: Stallion of the Cimarron;(2002);83 min;Animation, Adventure, Family            
38;39.;John Q;(2002);116 min;Crime, Drama, Thriller            
39;40.;Divine Secrets of the Ya-Ya Sisterhood;(2002);116 min;Drama            
40;41.;Insomnia;(2002);118 min;Drama, Mystery, Thriller            
41;42.;Changing Lanes;(2002);98 min;Drama, Thriller            
42;43.;About Schmidt;(2002);125 min;Comedy, Drama            
43;44.;Stuart Little 2;(2002);77 min;Animation, Adventure, Comedy            
44;45.;Jackass: The Movie;(2002);87 min;Documentary, Action, Comedy            
45;46.;The Time Machine;(2002);96 min;Sci-Fi, Adventure, Action            
46;47.;Drumline;(2002);118 min;Comedy, Drama, Romance            
47;48.;The Count of Monte Cristo;(2002);131 min;Action, Adventure, Drama            
48;49.;Unfaithful;(2002);124 min;Drama, Thriller            
49;50.;Like Mike;(2002);99 min;Comedy, Family, Fantasy            
50;51.;The Tuxedo;(2002);98 min;Action, Comedy, Sci-Fi            
51;52.;Return to Never Land;(2002);72 min;Animation, Adventure, Family            
52;53.;Big Fat Liar;(2002);88 min;Adventure, Comedy, Family            
53;54.;Phone Booth;(2002);81 min;Crime, Thriller            
54;55.;28 Days Later...;(2002);113 min;Drama, Horror, Sci-Fi            
55;56.;Star Trek: Nemesis;(2002);116 min;Action, Adventure, Sci-Fi            
56;57.;Reign of Fire;(2002);101 min;Action, Adventure, Fantasy            
57;58.;The Hours;(2002);114 min;Drama, Romance            
58;59.;High Crimes;(2002);115 min;Crime, Drama, Mystery            
59;60.;A Walk to Remember;(2002);101 min;Drama, Romance            
60;61.;Orange County;(2002);82 min;Comedy, Drama            
61;62.;Windtalkers;(2002);134 min;Action, Drama, War            
62;63.;About a Boy;(2002);101 min;Comedy, Drama, Romance            
63;64.;The Master of Disguise;(2002);80 min;Adventure, Comedy, Family            
64;65.;Blue Crush;(2002);104 min;Drama, Romance, Sport            
65;66.;Collateral Damage;(2002);108 min;Action, Drama, Thriller            
66;67.;The Wild Thornberrys Movie;(2002);85 min;Adventure, Animation, Family            
67;68.;Resident Evil;(2002);100 min;Action, Horror, Sci-Fi            
68;69.;Enough;(I) (2002);115 min;Crime, Drama, Thriller            
69;70.;Undercover Brother;(2002);86 min;Action, Comedy            
70;71.;Treasure Planet;(2002);95 min;Animation, Adventure, Family            
71;72.;Showtime;(2002);95 min;Action, Comedy, Crime            
72;73.;40 Days and 40 Nights;(2002);96 min;Comedy, Romance            
73;74.;Crossroads;(I) (2002);93 min;Comedy, Drama, Romance            
74;75.;Clockstoppers;(2002);94 min;Action, Adventure, Comedy            
75;76.;The Mothman Prophecies;(2002);119 min;Drama, Horror, Mystery            
76;77.;K-19: The Widowmaker;(2002);138 min;Drama, History, Thriller            
77;78.;The Hot Chick;(2002);104 min;Comedy, Fantasy            
78;79.;I Spy;(2002);97 min;Action, Adventure, Comedy            
79;80.;Friday After Next;(2002);85 min;Comedy, Drama            
80;81.;Bend It Like Beckham;(2002);112 min;Comedy, Drama, Romance            
81;82.;The Pianist;(2002);150 min;Biography, Drama, War            
82;83.;Analyze That;(2002);96 min;Comedy, Crime            
83;84.;Murder by Numbers;(2002);115 min;Crime, Mystery, Thriller            
84;85.;One Hour Photo;(2002);96 min;Drama, Thriller            
85;86.;Queen of the Damned;(2002);101 min;Drama, Fantasy, Horror            
86;87.;The Banger Sisters;(2002);98 min;Comedy, Drama            
87;88.;Halloween: Resurrection;(2002);94 min;Comedy, Horror, Thriller            
88;89.;Bad Company;(2002);116 min;Action, Adventure, Comedy            
89;90.;Ghost Ship;(2002);91 min;Horror            
90;91.;Dragonfly;(2002);104 min;Drama, Fantasy, Mystery            
91;92.;The New Guy;(2002);88 min;Comedy            
92;93.;Swimfan;(2002);85 min;Drama, Thriller            
93;94.;Traqueur de croco en mission périlleuse;(2002);90 min;Action, Adventure, Comedy            
94;95.;Brown Sugar;(2002);109 min;Romance, Comedy, Drama            
95;96.;Blood Work;(2002);110 min;Action, Crime, Drama            
96;97.;Frida;(2002);123 min;Biography, Drama, Romance            
97;98.;Jonah: A VeggieTales Movie;(2002);82 min;Animation, Adventure, Comedy            
98;99.;All About the Benjamins;(2002);95 min;Action, Comedy, Crime            
99;100.;Le transporteur;(2002);92 min;Action, Crime, Thriller            
