;classement;titre;annee;duree;categorie;realisateur
0;1.;Star Wars: The Force Awakens;(2015);136 min;"
Action, Adventure, Fantasy            ";J.J. Abrams
1;2.;Jurassic World;(2015);124 min;"
Action, Adventure, Sci-Fi            ";Colin Trevorrow
2;3.;Avengers: Age of Ultron;(2015);141 min;"
Action, Adventure, Sci-Fi            ";Joss Whedon
3;4.;Inside Out;(I) (2015);95 min;"
Animation, Adventure, Comedy            ";Pete Docter
4;5.;Furious 7;(2015);137 min;"
Action, Crime, Thriller            ";James Wan
5;6.;Minions;(2015);91 min;"
Animation, Action, Adventure            ";Kyle Balda
6;7.;The Hunger Games: Mockingjay - Part 2;(2015);137 min;"
Action, Adventure, Sci-Fi            ";Francis Lawrence
7;8.;The Martian;(2015);144 min;"
Adventure, Drama, Sci-Fi            ";Ridley Scott
8;9.;Cinderella;(I) (2015);105 min;"
Drama, Family, Fantasy            ";Kenneth Branagh
9;10.;Spectre;(I) (2015);148 min;"
Action, Adventure, Thriller            ";Sam Mendes
10;11.;Mission: Impossible - Rogue Nation;(2015);131 min;"
Action, Adventure, Thriller            ";Christopher McQuarrie
11;12.;The Revenant;(2015);156 min;"
Adventure, Drama, Thriller            ";Alejandro G. Iñárritu
12;13.;Pitch Perfect 2;(2015);115 min;"
Comedy, Music            ";Elizabeth Banks
13;14.;Ant-Man;(2015);117 min;"
Action, Adventure, Comedy            ";Peyton Reed
14;15.;Home;(II) (2015);94 min;"
Animation, Adventure, Comedy            ";Tim Johnson
15;16.;Hotel Transylvania 2;(2015);89 min;"
Animation, Comedy, Family            ";Genndy Tartakovsky
16;17.;Fifty Shades of Grey;(2015);125 min;"
Drama, Romance, Thriller            ";Sam Taylor-Johnson
17;18.;The SpongeBob Movie: Sponge Out of Water;(2015);92 min;"
Animation, Adventure, Comedy            ";Paul Tibbitt
18;19.;Straight Outta Compton;(2015);147 min;"
Biography, Crime, Drama            ";F. Gary Gray
19;20.;San Andreas;(2015);114 min;"
Action, Adventure, Drama            ";Brad Peyton
20;21.;Mad Max: Fury Road;(2015);120 min;"
Action, Adventure, Sci-Fi            ";George Miller
21;22.;Daddy's Home;(2015);96 min;"
Comedy, Family            ";Sean Anders
22;23.;The Peanuts Movie;(2015);88 min;"
Animation, Adventure, Comedy            ";Steve Martino
23;24.;Insurgent;(2015);119 min;"
Adventure, Sci-Fi, Thriller            ";Robert Schwentke
24;25.;The Good Dinosaur;(2015);93 min;"
Animation, Adventure, Comedy            ";Peter Sohn
25;26.;Spy;(2015);119 min;"
Action, Comedy, Crime            ";Paul Feig
26;27.;Crazy Amy;(2015);125 min;"
Comedy, Drama, Romance            ";Judd Apatow
27;28.;Creed;(2015);133 min;"
Drama, Sport            ";Ryan Coogler
28;29.;Tomorrowland;(2015);130 min;"
Action, Adventure, Family            ";Brad Bird
29;30.;Get Hard;(2015);100 min;"
Comedy, Crime            ";Etan Cohen
30;31.;Terminator Genisys;(2015);126 min;"
Action, Adventure, Sci-Fi            ";Alan Taylor
31;32.;Sisters;(III) (2015);118 min;"
Comedy            ";Jason Moore
32;33.;Alvin and the Chipmunks: The Road Chip;(2015);92 min;"
Animation, Adventure, Comedy            ";Walt Becker
33;34.;Maze Runner: The Scorch Trials;(2015);132 min;"
Action, Sci-Fi, Thriller            ";Wes Ball
34;35.;Ted 2;(2015);115 min;"
Comedy            ";Seth MacFarlane
35;36.;Goosebumps;(2015);103 min;"
Adventure, Comedy, Family            ";Rob Letterman
36;37.;Pixels;(2015);106 min;"
Action, Comedy, Sci-Fi            ";Chris Columbus
37;38.;The Intern;(I) (2015);121 min;"
Comedy, Drama            ";Nancy Meyers
38;39.;Bridge of Spies;(2015);142 min;"
Drama, History, Thriller            ";Steven Spielberg
39;40.;Paul Blart: Mall Cop 2;(2015);94 min;"
Action, Comedy, Crime            ";Andy Fickman
40;41.;The Big Short;(2015);130 min;"
Biography, Comedy, Drama            ";Adam McKay
41;42.;War Room;(2015);120 min;"
Drama            ";Alex Kendrick
42;43.;Magic Mike XXL;(2015);115 min;"
Comedy, Drama, Music            ";Gregory Jacobs
43;44.;The Visit;(I) (2015);94 min;"
Horror, Thriller            ";M. Night Shyamalan
44;45.;The Wedding Ringer;(2015);101 min;"
Comedy            ";Jeremy Garelick
45;46.;Black Mass;(2015);123 min;"
Biography, Crime, Drama            ";Scott Cooper
46;47.;Vacation;(I) (2015);99 min;"
Adventure, Comedy            ";John Francis Daley
47;48.;The Perfect Guy;(I) (2015);100 min;"
Drama, Thriller            ";David M. Rosenthal
48;49.;Joy;(I) (2015);124 min;"
Drama            ";David O. Russell
49;50.;Fantastic Four;(2015);100 min;"
Action, Adventure, Sci-Fi            ";Josh Trank
50;51.;The Hateful Eight;(2015);187 min;"
Crime, Drama, Mystery            ";Quentin Tarantino
51;52.;Focus;(II) (2015);105 min;"
Comedy, Crime, Drama            ";Glenn Ficarra
52;53.;Southpaw;(2015);124 min;"
Drama, Sport            ";Antoine Fuqua
53;54.;Insidious: Chapitre 3;(2015);97 min;"
Horror, Thriller            ";Leigh Whannell
54;55.;Poltergeist;(2015);93 min;"
Horror, Thriller            ";Gil Kenan
55;56.;Jupiter Ascending;(2015);127 min;"
Action, Adventure, Sci-Fi            ";Lana Wachowski
56;57.;Sicario;(2015);121 min;"
Action, Crime, Drama            ";Denis Villeneuve
57;58.;The Man from U.N.C.L.E.;(2015);116 min;"
Action, Adventure, Comedy            ";Guy Ritchie
58;59.;Spotlight;(I) (2015);128 min;"
Crime, Drama, History            ";Tom McCarthy
59;60.;McFarland, USA;(2015);129 min;"
Biography, Drama, Sport            ";Niki Caro
60;61.;The Gift;(VI) (2015);108 min;"
Mystery, Thriller            ";Joel Edgerton
61;62.;Everest;(2015);121 min;"
Action, Adventure, Drama            ";Baltasar Kormákur
62;63.;The Night Before;(II) (2015);101 min;"
Comedy            ";Jonathan Levine
63;64.;Max;(I) (2015);111 min;"
Adventure, Family            ";Boaz Yakin
64;65.;Krampus;(I) (2015);98 min;"
Comedy, Fantasy, Horror            ";Michael Dougherty
65;66.;The Age of Adaline;(2015);112 min;"
Drama, Fantasy, Romance            ";Lee Toland Krieger
66;67.;Brooklyn;(2015);117 min;"
Drama, Romance            ";John Crowley
67;68.;The Longest Ride;(2015);123 min;"
Drama, Romance            ";George Tillman Jr.
68;69.;The Boy Next Door;(2015);91 min;"
Mystery, Thriller            ";Rob Cohen
69;70.;Pan;(2015);111 min;"
Adventure, Family, Fantasy            ";Joe Wright
70;71.;Concussion;(2015);123 min;"
Biography, Drama, Sport            ";Peter Landesman
71;72.;Hot Pursuit;(2015);87 min;"
Action, Comedy, Crime            ";Anne Fletcher
72;73.;The DUFF;(2015);101 min;"
Comedy            ";Ari Sandel
73;74.;Woman in Gold;(2015);109 min;"
Biography, Drama, History            ";Simon Curtis
74;75.;The Second Best Exotic Marigold Hotel;(2015);122 min;"
Comedy, Drama            ";John Madden
75;76.;Entourage;(2015);104 min;"
Comedy            ";Doug Ellin
76;77.;Paper Towns;(2015);109 min;"
Drama, Mystery, Romance            ";Jake Schreier
77;78.;Chappie;(2015);120 min;"
Action, Crime, Drama            ";Neill Blomkamp
78;79.;Crimson Peak;(2015);119 min;"
Drama, Fantasy, Horror            ";Guillermo del Toro
79;80.;A Walk in the Woods;(2015);104 min;"
Adventure, Biography, Comedy            ";Ken Kwapis
80;81.;Point Break;(2015);114 min;"
Action, Crime, Sport            ";Ericson Core
81;82.;Sinister 2;(2015);97 min;"
Horror, Mystery, Thriller            ";Ciarán Foy
82;83.;The Last Witch Hunter;(2015);106 min;"
Action, Adventure, Fantasy            ";Breck Eisner
83;84.;No Escape;(I) (2015);103 min;"
Action, Thriller            ";John Erick Dowdle
84;85.;Ricki and the Flash;(2015);101 min;"
Comedy, Drama, Music            ";Jonathan Demme
85;86.;Run All Night;(2015);114 min;"
Action, Crime, Drama            ";Jaume Collet-Serra
86;87.;Love the Coopers;(2015);107 min;"
Comedy            ";Jessie Nelson
87;88.;The Lazarus Effect;(2015);83 min;"
Horror, Mystery, Sci-Fi            ";David Gelb
88;89.;The Witch;(2015);92 min;"
Horror, Mystery            ";Robert Eggers
89;90.;In the Heart of the Sea;(2015);122 min;"
Action, Adventure, Biography            ";Ron Howard
90;91.;The Gallows;(2015);81 min;"
Horror, Thriller            ";Travis Cluff
91;92.;Hitman: Agent 47;(2015);96 min;"
Action, Crime, Thriller            ";Aleksander Bach
92;93.;Project Almanac;(2015);106 min;"
Sci-Fi, Thriller            ";Dean Israelite
93;94.;Aloha;(I) (2015);105 min;"
Comedy, Drama, Romance            ";Cameron Crowe
94;95.;Shaun the Sheep Movie;(2015);85 min;"
Animation, Adventure, Comedy            ";Mark Burton
95;96.;Eye in the Sky;(2015);102 min;"
Drama, Thriller, War            ";Gavin Hood
96;97.;Paranormal Activity: The Ghost Dimension;(2015);88 min;"
Horror            ";Gregory Plotkin
97;98.;Steve Jobs;(2015);122 min;"
Biography, Drama            ";Danny Boyle
98;99.;Mr. Holmes;(2015);104 min;"
Drama, Mystery            ";Bill Condon
99;100.;Dope;(2015);103 min;"
Comedy, Crime, Drama            ";Rick Famuyiwa
