;classement;titre;annee;durée;categorie
0;1.;The Avengers;(2012);143 min;Action, Sci-Fi            
1;2.;The Dark Knight Rises;(2012);164 min;Action, Thriller            
2;3.;The Hunger Games;(2012);142 min;Action, Adventure, Sci-Fi            
3;4.;Skyfall;(2012);143 min;Action, Adventure, Thriller            
4;5.;The Hobbit: An Unexpected Journey;(2012);169 min;Adventure, Fantasy            
5;6.;The Twilight Saga: Breaking Dawn - Part 2;(2012);115 min;Adventure, Drama, Fantasy            
6;7.;The Amazing Spider-Man;(2012);136 min;Action, Adventure            
7;8.;Brave;(2012);93 min;Animation, Adventure, Comedy            
8;9.;Ted;(2012);106 min;Comedy, Fantasy            
9;10.;Madagascar 3: Europe's Most Wanted;(2012);93 min;Animation, Adventure, Comedy            
10;11.;The Lorax;(2012);86 min;Animation, Adventure, Comedy            
11;12.;Wreck-It Ralph;(2012);101 min;Animation, Adventure, Comedy            
12;13.;Lincoln;(2012);150 min;Biography, Drama, History            
13;14.;Men in Black 3;(2012);106 min;Action, Adventure, Comedy            
14;15.;Django Unchained;(2012);165 min;Drama, Western            
15;16.;Ice Age: Continental Drift;(2012);88 min;Animation, Adventure, Comedy            
16;17.;Snow White and the Huntsman;(2012);127 min;Action, Adventure, Drama            
17;18.;Les Misérables;(2012);158 min;Drama, Musical, Romance            
18;19.;Hotel Transylvania;(2012);91 min;Animation, Comedy, Family            
19;20.;Taken 2;(2012);92 min;Action, Crime, Thriller            
20;21.;21 Jump Street;(2012);110 min;Action, Comedy, Crime            
21;22.;Argo;(2012);120 min;Biography, Drama, History            
22;23.;Silver Linings Playbook;(2012);122 min;Comedy, Drama, Romance            
23;24.;Prometheus;(I) (2012);124 min;Adventure, Mystery, Sci-Fi            
24;25.;Sécurité rapprochée;(2012);115 min;Action, Crime, Mystery            
25;26.;The Vow;(2012);104 min;Drama, Romance            
26;27.;Life of Pi;(2012);127 min;Adventure, Drama, Fantasy            
27;28.;Magic Mike;(2012);110 min;Comedy, Drama            
28;29.;The Bourne Legacy;(2012);135 min;Action, Adventure, Mystery            
29;30.;Journey 2: The Mysterious Island;(2012);94 min;Action, Adventure, Comedy            
30;31.;Rise of the Guardians;(2012);97 min;Animation, Adventure, Family            
31;32.;Zero Dark Thirty;(2012);157 min;Drama, History, Thriller            
32;33.;Flight;(I) (2012);138 min;Drama, Thriller            
33;34.;Think Like a Man;(2012);122 min;Comedy, Romance            
34;35.;The Campaign;(2012);85 min;Comedy            
35;36.;The Expendables 2;(2012);103 min;Action, Adventure, Thriller            
36;37.;Wrath of the Titans;(2012);99 min;Action, Adventure, Fantasy            
37;38.;Dark Shadows;(2012);113 min;Comedy, Fantasy, Horror            
38;39.;Parental Guidance;(2012);105 min;Comedy, Family            
39;40.;John Carter;(2012);132 min;Action, Adventure, Sci-Fi            
40;41.;Act of Valor;(2012);110 min;Action, Adventure, Drama            
41;42.;This Is 40;(2012);134 min;Comedy, Romance            
42;43.;Contraband;(2012);109 min;Action, Crime, Drama            
43;44.;Looper;(2012);119 min;Action, Crime, Drama            
44;45.;Madea's Witness Protection;(2012);114 min;Comedy, Crime, Drama            
45;46.;Battleship;(2012);131 min;Action, Adventure, Sci-Fi            
46;47.;Pitch Perfect;(2012);112 min;Comedy, Music, Romance            
47;48.;Mirror Mirror;(I) (2012);106 min;Adventure, Comedy, Drama            
48;49.;Chronicle;(2012);84 min;Sci-Fi, Thriller            
49;50.;Hope Springs;(2012);100 min;Comedy, Drama, Romance            
50;51.;Underworld: Awakening;(2012);88 min;Action, Fantasy, Horror            
51;52.;The Lucky One;(2012);101 min;Drama, Romance            
52;53.;The Dictator;(2012);83 min;Comedy            
53;54.;Total Recall;(I) (2012);118 min;Action, Adventure, Mystery            
54;55.;Jack Reacher;(2012);130 min;Action, Crime, Mystery            
55;56.;American Reunion;(2012);113 min;Comedy            
56;57.;ParaNorman;(2012);92 min;Animation, Adventure, Comedy            
57;58.;This Means War;(2012);103 min;Action, Comedy, Romance            
58;59.;Project X;(2012);88 min;Comedy            
59;60.;The Woman in Black;(2012);95 min;Drama, Fantasy, Horror            
60;61.;Paranormal Activity 4;(2012);88 min;Horror            
61;62.;The Devil Inside;(2012);83 min;Horror            
62;63.;The Odd Life of Timothy Green;(2012);105 min;Comedy, Drama, Family            
63;64.;Red Tails;(2012);125 min;Action, Adventure, Drama            
64;65.;The Possession;(I) (2012);92 min;Horror, Thriller            
65;66.;Diary of a Wimpy Kid: Dog Days;(2012);94 min;Comedy, Family            
66;67.;Sinister;(I) (2012);110 min;Horror, Mystery            
67;68.;Savages;(2012);131 min;Crime, Drama, Thriller            
68;69.;Moonrise Kingdom;(2012);94 min;Adventure, Comedy, Drama            
69;70.;Here Comes the Boom;(2012);105 min;Action, Comedy, Sport            
70;71.;Red Dawn;(2012);93 min;Action, Thriller            
71;72.;The Three Stooges;(2012);92 min;Comedy, Family            
72;73.;Resident Evil: Retribution;(2012);96 min;Action, Horror, Sci-Fi            
73;74.;The Cabin in the Woods;(2012);95 min;Horror            
74;75.;What to Expect When You're Expecting;(2012);110 min;Comedy, Drama, Romance            
75;76.;End of Watch;(2012);109 min;Crime, Drama, Thriller            
76;77.;Rock of Ages;(2012);123 min;Comedy, Drama, Musical            
77;78.;Abraham Lincoln: Vampire Hunter;(2012);105 min;Action, Fantasy, Horror            
78;79.;Lawless;(2012);116 min;Crime, Drama            
79;80.;The Guilt Trip;(2012);95 min;Comedy, Drama            
80;81.;That's My Boy;(2012);116 min;Comedy            
81;82.;Trouble with the Curve;(2012);111 min;Drama, Sport            
82;83.;Frankenweenie;(2012);87 min;Animation, Comedy, Family            
83;84.;Step Up Revolution;(2012);99 min;Drama, Music, Romance            
84;85.;Good Deeds;(2012);110 min;Comedy, Drama, Romance            
85;86.;The Watch;(I) (2012);102 min;Action, Comedy, Sci-Fi            
86;87.;2016: Obama's America;(2012);87 min;Documentary            
87;88.;La maison au bout de la rue;(2012);101 min;Drama, Horror, Thriller            
88;89.;The Pirates! Band of Misfits;(2012);88 min;Animation, Adventure, Comedy            
89;90.;Joyful Noise;(2012);118 min;Comedy, Music            
90;91.;Chimpanzés;(2012);78 min;Documentary            
91;92.;The Five-Year Engagement;(2012);124 min;Comedy, Romance            
92;93.;Cloud Atlas;(2012);172 min;Drama, Sci-Fi            
93;94.;One for the Money;(2012);91 min;Action, Comedy, Crime            
94;95.;Alex Cross;(2012);101 min;Action, Crime, Mystery            
95;96.;Katy Perry: Part of Me;(2012);93 min;Documentary, Music            
96;97.;Sparkle;(I) (2012);116 min;Drama, Music            
97;98.;Mud;(2012);130 min;Drama            
98;99.;The Place Beyond the Pines;(2012);140 min;Crime, Drama, Thriller            
99;100.;Premium Rush;(2012);91 min;Action, Crime, Thriller            
