;classement;titre;annee;durée;categorie
0;1.;Harry Potter and the Deathly Hallows: Part 2;(2011);130 min;Adventure, Drama, Fantasy            
1;2.;Transformers: Dark of the Moon;(2011);154 min;Action, Adventure, Sci-Fi            
2;3.;The Twilight Saga: Breaking Dawn - Part 1;(2011);117 min;Adventure, Drama, Fantasy            
3;4.;The Hangover Part II;(2011);102 min;Comedy, Mystery            
4;5.;Pirates of the Caribbean: On Stranger Tides;(2011);136 min;Action, Adventure, Fantasy            
5;6.;Fast Five;(2011);131 min;Action, Crime, Thriller            
6;7.;Mission: Impossible - Ghost Protocol;(2011);133 min;Action, Adventure, Thriller            
7;8.;Cars 2;(2011);106 min;Animation, Adventure, Comedy            
8;9.;Sherlock Holmes: A Game of Shadows;(2011);129 min;Action, Adventure, Crime            
9;10.;Thor;(2011);115 min;Action, Adventure, Fantasy            
10;11.;Rise of the Planet of the Apes;(2011);105 min;Action, Drama, Sci-Fi            
11;12.;Captain America: The First Avenger;(2011);124 min;Action, Adventure, Sci-Fi            
12;13.;The Help;(2011);146 min;Drama            
13;14.;Bridesmaids;(I) (2011);125 min;Comedy, Romance            
14;15.;Kung Fu Panda 2;(2011);90 min;Animation, Action, Adventure            
15;16.;Puss in Boots;(2011);90 min;Animation, Action, Adventure            
16;17.;X-Men: First Class;(2011);132 min;Action, Adventure, Sci-Fi            
17;18.;Rio;(2011);96 min;Animation, Adventure, Comedy            
18;19.;The Smurfs;(2011);103 min;Animation, Adventure, Comedy            
19;20.;Alvin and the Chipmunks: Chipwrecked;(2011);87 min;Animation, Adventure, Comedy            
20;21.;Super 8;(2011);112 min;Mystery, Sci-Fi, Thriller            
21;22.;Rango;(2011);107 min;Animation, Adventure, Comedy            
22;23.;Horrible Bosses;(2011);98 min;Comedy, Crime            
23;24.;Green Lantern;(2011);114 min;Action, Adventure, Sci-Fi            
24;25.;Hop;(2011);95 min;Animation, Adventure, Comedy            
25;26.;Paranormal Activity 3;(2011);83 min;Horror            
26;27.;Just Go with It;(2011);117 min;Comedy, Romance            
27;28.;The Girl with the Dragon Tattoo;(2011);158 min;Crime, Drama, Mystery            
28;29.;Bad Teacher;(2011);92 min;Comedy            
29;30.;Cowboys & Aliens;(2011);119 min;Action, Sci-Fi, Thriller            
30;31.;Gnomeo & Juliet;(2011);84 min;Animation, Comedy, Family            
31;32.;The Green Hornet;(2011);119 min;Action, Comedy, Crime            
32;33.;The Muppets;(2011);103 min;Adventure, Comedy, Family            
33;34.;Real Steel;(2011);127 min;Action, Drama, Family            
34;35.;Crazy, Stupid, Love.;(2011);118 min;Comedy, Drama, Romance            
35;36.;Battle Los Angeles;(2011);116 min;Action, Sci-Fi            
36;37.;Immortals;(2011);110 min;Action, Drama, Fantasy            
37;38.;The Descendants;(2011);115 min;Comedy, Drama            
38;39.;Zookeeper;(2011);102 min;Comedy, Family, Romance            
39;40.;War Horse;(2011);146 min;Drama, War            
40;41.;Limitless;(I) (2011);105 min;Mystery, Sci-Fi, Thriller            
41;42.;Tower Heist;(2011);104 min;Action, Comedy, Crime            
42;43.;The Adventures of Tintin;(2011);107 min;Animation, Action, Adventure            
43;44.;Contagion;(2011);106 min;Drama, Thriller            
44;45.;We Bought a Zoo;(2011);124 min;Comedy, Drama, Family            
45;46.;Moneyball;(2011);133 min;Biography, Drama, Sport            
46;47.;Jack and Jill;(I) (2011);91 min;Comedy            
47;48.;Hugo;(2011);126 min;Adventure, Drama, Family            
48;49.;Justin Bieber: Never Say Never;(2011);105 min;Documentary, Music            
49;50.;Dolphin Tale;(2011);113 min;Drama, Family            
50;51.;No Strings Attached;(I) (2011);108 min;Comedy, Romance            
51;52.;Mr. Popper's Penguins;(2011);94 min;Comedy, Family, Fantasy            
52;53.;Happy Feet 2;(2011);100 min;Animation, Comedy, Family            
53;54.;The Adjustment Bureau;(2011);106 min;Romance, Sci-Fi, Thriller            
54;55.;Unknown;(I) (2011);113 min;Action, Mystery, Thriller            
55;56.;Water for Elephants;(2011);120 min;Drama, Romance            
56;57.;The Lincoln Lawyer;(2011);118 min;Crime, Drama, Thriller            
57;58.;Midnight in Paris;(2011);94 min;Comedy, Fantasy, Romance            
58;59.;Friends with Benefits;(2011);109 min;Comedy, Romance            
59;60.;I Am Number Four;(2011);109 min;Action, Adventure, Sci-Fi            
