;classement;titre;annee;duree;categorie;realisateur
0;1.;Harry Potter and the Sorcerer's Stone;(2001);152 min;"
Adventure, Family, Fantasy            ";Chris Columbus
1;2.;The Lord of the Rings: The Fellowship of the Ring;(2001);178 min;"
Adventure, Drama, Fantasy            ";Peter Jackson
2;3.;Monsters, Inc.;(2001);92 min;"
Animation, Adventure, Comedy            ";Pete Docter
3;4.;Shrek;(2001);90 min;"
Animation, Adventure, Comedy            ";Andrew Adamson
4;5.;Rush Hour 2;(2001);90 min;"
Action, Comedy, Crime            ";Brett Ratner
5;6.;The Mummy Returns;(2001);130 min;"
Action, Adventure, Fantasy            ";Stephen Sommers
6;7.;Pearl Harbor;(2001);183 min;"
Action, Drama, History            ";Michael Bay
7;8.;Ocean's Eleven;(2001);116 min;"
Crime, Thriller            ";Steven Soderbergh
8;9.;Jurassic Park III;(2001);92 min;"
Action, Adventure, Sci-Fi            ";Joe Johnston
9;10.;Planet of the Apes;(2001);119 min;"
Action, Adventure, Sci-Fi            ";Tim Burton
10;11.;A Beautiful Mind;(2001);135 min;"
Biography, Drama            ";Ron Howard
11;12.;Hannibal;(2001);131 min;"
Crime, Drama, Thriller            ";Ridley Scott
12;13.;American Pie 2;(2001);108 min;"
Comedy            ";J.B. Rogers
13;14.;The Fast and the Furious;(2001);106 min;"
Action, Crime, Thriller            ";Rob Cohen
14;15.;Lara Croft: Tomb Raider;(2001);100 min;"
Action, Adventure, Fantasy            ";Simon West
15;16.;Dr. Dolittle 2;(2001);87 min;"
Comedy, Family, Fantasy            ";Steve Carr
16;17.;Spy Kids;(2001);88 min;"
Action, Adventure, Comedy            ";Robert Rodriguez
17;18.;Black Hawk Down;(2001);144 min;"
Drama, History, War            ";Ridley Scott
18;19.;The Princess Diaries;(2001);111 min;"
Comedy, Family, Romance            ";Garry Marshall
19;20.;Vanilla Sky;(2001);136 min;"
Fantasy, Mystery, Romance            ";Cameron Crowe
20;21.;Les autres;(2001);104 min;"
Horror, Mystery, Thriller            ";Alejandro Amenábar
21;22.;Legally Blonde;(2001);96 min;"
Comedy, Romance            ";Robert Luketic
22;23.;America's Sweethearts;(2001);102 min;"
Comedy, Romance            ";Joe Roth
23;24.;Cats & Dogs;(2001);87 min;"
Action, Comedy, Family            ";Lawrence Guterman
24;25.;Save the Last Dance;(2001);112 min;"
Drama, Music, Romance            ";Thomas Carter
25;26.;Atlantis: The Lost Empire;(2001);95 min;"
Animation, Action, Adventure            ";Gary Trousdale
26;27.;Jimmy Neutron: Boy Genius;(2001);82 min;"
Animation, Action, Adventure            ";John A. Davis
27;28.;A.I. Artificial Intelligence;(2001);146 min;"
Adventure, Drama, Sci-Fi            ";Steven Spielberg
28;29.;Training Day;(2001);122 min;"
Crime, Drama, Thriller            ";Antoine Fuqua
29;30.;Along Came a Spider;(2001);104 min;"
Crime, Drama, Thriller            ";Lee Tamahori
30;31.;Bridget Jones's Diary;(2001);97 min;"
Comedy, Drama, Romance            ";Sharon Maguire
31;32.;Scary Movie 2;(2001);83 min;"
Comedy            ";Keenen Ivory Wayans
32;33.;The Score;(2001);124 min;"
Crime, Drama, Thriller            ";Frank Oz
33;34.;Shallow Hal;(2001);114 min;"
Comedy, Drama, Fantasy            ";Bobby Farrelly
34;35.;Swordfish;(2001);99 min;"
Action, Crime, Thriller            ";Dominic Sena
