;classement;titre;annee;durée;categorie
0;1.;Star Wars: Episode III - Revenge of the Sith;(2005);140 min;Action, Adventure, Fantasy            
1;2.;The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;(2005);143 min;Adventure, Family, Fantasy            
2;3.;Harry Potter and the Goblet of Fire;(2005);157 min;Adventure, Family, Fantasy            
3;4.;War of the Worlds;(2005);116 min;Adventure, Sci-Fi, Thriller            
4;5.;King Kong;(2005);187 min;Action, Adventure, Drama            
5;6.;Wedding Crashers;(2005);119 min;Comedy, Romance            
6;7.;Charlie and the Chocolate Factory;(2005);115 min;Adventure, Comedy, Family            
7;8.;Batman Begins;(2005);140 min;Action, Adventure            
8;9.;Madagascar;(2005);86 min;Animation, Adventure, Comedy            
9;10.;Mr. & Mrs. Smith;(2005);120 min;Action, Comedy, Crime            
10;11.;Hitch;(I) (2005);118 min;Comedy, Romance            
11;12.;The Longest Yard;(2005);113 min;Comedy, Crime, Sport            
12;13.;Fantastic Four;(I) (2005);106 min;Action, Adventure, Family            
13;14.;Chicken Little;(2005);81 min;Animation, Adventure, Comedy            
14;15.;Robots;(2005);91 min;Animation, Adventure, Comedy            
15;16.;Walk the Line;(2005);136 min;Biography, Drama, Music            
16;17.;Baby-sittor;(2005);95 min;Action, Comedy, Drama            
17;18.;Fun with Dick and Jane;(2005);90 min;Comedy, Crime            
18;19.;The 40-Year-Old Virgin;(2005);116 min;Comedy, Romance            
19;20.;Flightplan;(2005);98 min;Drama, Mystery, Thriller            
20;21.;Saw II;(2005);93 min;Horror, Mystery            
21;22.;Brokeback Mountain;(2005);134 min;Drama, Romance            
22;23.;Sa mère ou moi!;(2005);101 min;Comedy, Romance            
23;24.;Cheaper by the Dozen 2;(2005);94 min;Adventure, Comedy, Family            
24;25.;Are We There Yet?;(2005);95 min;Adventure, Comedy, Family            
25;26.;The Dukes of Hazzard;(2005);104 min;Action, Adventure, Comedy            
26;27.;March of the Penguins;(2005);80 min;Documentary, Family            
27;28.;The Ring Two;(2005);110 min;Horror, Mystery            
28;29.;Constantine;(2005);121 min;Drama, Fantasy, Horror            
29;30.;The Exorcism of Emily Rose;(2005);119 min;Drama, Horror, Thriller            
30;31.;Four Brothers;(2005);109 min;Action, Crime, Drama            
31;32.;Sin City;(2005);124 min;Crime, Thriller            
32;33.;The Interpreter;(2005);128 min;Crime, Mystery, Thriller            
