|character|text|type|character_clean|gender
796||"54.
58   EXT. RICHARD'S HOUSE - NIGHT                                       58"|unknown||
797||"A pink Studebaker whips backward out the driveway. Easy
runs alongside trying to stop Daphne as she screeches into
the street."|stage direction||
798||EASY|unknown||
799||Hey, wait a minute!|location||
800||She speeds off down the canyon.|stage direction||
801||EASY|unknown||
802||Dammit!|location||
803||He stands in the middle of the street, watching her go.|stage direction||
804||59   INT. EASY'S CAR - SUNRISE                                          59|unknown||
805||"Fiery orange light bounces off the hood of the car into
Easy's face as he turns the corner onto his block. He is
surprised to see
A WHITE CADILLAC parked in front of his house.      And now it's
his front door that's open.
BACK TO EASY
He pulls in behind the Caddy and gets out."|stage direction||
806||60   INT. EASY'S HOUSE                                                  60|unknown||
807||"He pushes open the door. Shariff loiters just inside,
grinning at him, and Manny stands in the middle of the
living room looking at the floor. From a RADIO in another
room Tommy Dorsey plays ""Blue Skies"" with Frank Sinatra out
front. And so Easy walks past the two hoods into
THE KITCHEN
Albright turns from looking out the backyard window with a
porcelain coffee cup cradled in his right hand."|stage direction||
808||ALBRIGHT|unknown||
809||Easy.|location||
810||"Easy looks at the coffee pot on the stove and again at
Albright, smiling loose and friendly but looking tired in
the same clothes he had on at the pier."|stage direction||
811||EASY|unknown||
812||What you doin' in my house, man?|location||
813||ALBRIGHT|unknown||
814||"I expected you to be home, so Manny
used a screwdriver on the door.
What happened to your face?"|location||
815||"55.
60   CONTINUED:                                                      60"|unknown||
816|EASY|"You got no excuse to be breakin'
into my house -- What if I broke
into your place?"|speech|EASY|M
817||(still smiling)|unknown||
818|ALBRIGHT|"I'd tear your nigger head out by
its root."|speech|ALBRIGHT|M
819||"Easy boils inside and then goes over to the counter to pour
himself a cup of coffee."|stage direction||
820|EASY|So what do you want?|speech|EASY|M
821|ALBRIGHT|"Where have you been this time of
morning, Easy?"|speech|ALBRIGHT|M
822|EASY|"I went to see a girl. Don't you
get none, Mr. Albright?"|speech|EASY|M
823||"The smile leaves Albright's face and his eyes turn even
colder."|stage direction||
824|ALBRIGHT|"I didn't come here to play, boy.
You got my money in your pocket and
we've been over at that address
waitin' all night for Frank Green
and now we've found out that he
moved from there over a year ago."|speech|ALBRIGHT|M
