|character|text|type
77||"A bloodcurdling scream. A pursuing guard tumbles down
the sewer chute. The three men press themselves against
the wall. The man hurtles by... is impaled on the
spikes.
A draft of fresh air from the roof of the tunnel. Using
the spiked guard as a ladder, Robin climbs. Removes a
grating."|stage direction
78||EXT. ARAB STREET - NIGHT|location
79||"Robin's head appears... ducks back down, as a squad of
mounted soldiers thunders right over him... he reappears.
All clear. They're outside the prison wall. Robin helps
Peter up."|stage direction
80|ROBIN|God willing, we may now be safe.|speech
81||"(CONTINUED)
6."|unknown
82||"CONTINUED:
Swoosh. An arrow pierces through Peter's chest -- fired
from the prison wall. He reels... Robin leads him under
the wall for protection. Shouts of alarm. Soldiers
approaching."|stage direction
83||ROBIN|unknown
84|ROBIN|Come, Peter.    We must hurry.|speech
85||Raising his sword, Peter faces the oncoming soldiers.|stage direction
86||PETER|unknown
87|ROBIN|It is mortal.    Leave me.|speech
88|ROBIN|Hold on to my shoulder.|speech
89||Peter shakes him off.|stage direction
90|PETER|"My mother... my little sister.
Tell them I love them. Tell them
I died a free Englishman."|speech
91||Robin looks despairingly to the Saracen.|stage direction
92|SARACEN|"His wound is by the heart.    We
cannot save him."|speech
93||"Robin knows it's true. Peter pulls an insignia ring from
a hidden pouch in his clothes. Thrusts it into Robin's
hand."|stage direction
94|PETER|"Take this to my sister. Swear you
will protect her for me... Swear
it, Robin!"|speech
95||(reluctantly)|unknown
96|ROBIN|I swear it.|speech
97||"Summoning hidden resources of strength, Peter charges at
the oncoming soldiers, brandishing his sword."|stage direction
98||PETER|unknown
99|ROBIN|For England.|speech
100||He fells the first Arab.   The Saracen pulls Robin away.|stage direction
101|SARACEN|"Come now! Do not fail your friend.
Make his sacrifice an act of honor."|speech
102||"They vanish into the night. Fighting like a man pos-
sessed, Peter is swallowed in a sea of enemy soldiers."|stage direction
103||7.|unknown
104||"DESERTED ALLEY - LATER
Robin and the Saracen catch their breath."|stage direction
105||ROBIN|unknown
106||"Farewell, friend. God speed you
on your way."|location
107||SARACEN|unknown
108||"Our way is together. With the
speed of Allah."|location
109||He grins.    This strange man has a sense of humor.|stage direction
110||ROBIN|unknown
111||I go to England.|location
112||SARACEN|unknown
113||Then I go to England.|location
114||ROBIN|unknown
115||England?   Why?|location
116||SARACEN|unknown
117||"You saved my life. I must stay
with you until I save yours."|location
118||ROBIN|unknown
119||"Go your own way. I relieve you of
your obligation."|location
120||SARACEN|unknown
121||Only Allah can do that.|location
122||ROBIN|unknown
123||And if I don't want you?|location
124||SARACEN|unknown
125||"You have no choice... unless you
think you can kill me."|location
126||He grins broadly.      Offers his hand.|stage direction
127||SARACEN|unknown
128||My name is Aslan.|location
129||Resigned, Robin takes the proferred hand.|stage direction
130||ROBIN|unknown
131||"Robin of Locksley. You know a
short route to England, Aslan?"|location
132||"CUT TO:
8."|unknown
133||EXT. LOCKSLEY CASTLE (NOTTINGHAMSHIRE, ENGLAND)|location
