;genre;nb_of_movies;nb_male;nb_female;nb_total_iloveu;nb_male_iloveu;nb_female_iloveu;nb_male_help;nb_female_help
0;Action;87;1618;553;89;36;38;73;31
1;Adventure;59;1071;400;78;44;25;60;18
2;Animation;15;213;112;18;7;8;11;6
3;Biography;18;423;168;30;13;7;9;7
4;Comedy;71;991;717;202;72;80;44;29
5;Crime;58;1044;468;90;34;32;36;17
6;Drama;110;1596;1065;256;86;90;62;51
7;Family;1;3;19;2;0;2;0;1
8;Fantasy;14;220;118;43;21;18;5;14
9;History;4;67;42;3;0;2;0;2
10;Horror;28;261;309;34;10;20;24;41
11;Music;2;15;34;1;0;1;0;1
12;Mystery;23;253;211;21;14;3;28;22
13;Romance;20;203;283;72;18;36;11;18
14;Sci-Fi;13;212;106;30;14;11;22;7
15;Thriller;13;194;125;18;8;7;12;6
16;War;2;62;8;1;1;0;0;0
