|character|text|type|character_clean|gender
974|BILLY|Houdini'd been proud of you.|speech|BILLY|M
975||INT. MAGIC CASTLE - REPOSITORY - NIGHT|location||
976||"Undusted shelves piled high with manuscripts, old books, and
posters in every direction."|stage direction||
977||(impressed)|location||
978|BILLY|Whoa...|speech|BILLY|M
979||"On the wall, plaster LIFE-MASKS.  In glass cases, the tools
of the great magicians:  KNIVES, KEYS, GUNS, WANDS, even an
IRON MAIDEN.  Billy is in awe.  He wanders around wide-eyed
while Harry scans the shelves. The dialogue runs as they
investigate."|stage direction||
980|BILLY|I hear Mrs. Swann's quite a babe.|speech|BILLY|M
981|HARRY|You heard right.|speech|HARRY|M
982|BILLY|You ever been married?|speech|BILLY|M
983|HARRY|"Yeah.  She was killed in a car
crash.  Her lawyer was driving. She
was filing for divorce."|speech|HARRY|M
984|BILLY|Why?|speech|BILLY|M
985|HARRY|My life was too weird for her.|speech|HARRY|M
986||(grinning)|location||
987|BILLY|I love weird.|speech|BILLY|M
988||Harry has seen a small SIGIL carved onto one of the shelves.|stage direction||
989|HARRY|"Billy?  This was on Miller's
forehead.  Any idea what it is?"|speech|HARRY|M
990|BILLY|Nope.|speech|BILLY|M
991||Harry presses it.  The entire bookcase opens up, CREAKING.|stage direction||
992|BILLY|"What did I tell you?  So fucking
hokey."|speech|BILLY|M
993||Inside, there is a small shelf.  On it, FILES and PAPERS.|stage direction||
994|HARRY|What have we got here?|speech|HARRY|M
995||"Ever-eager, Billy steps into the recess.  And --
two spiked, latticed gates close on his arm!
Harry grabs the gates before they snap closed, inches from
skewering Billy's flesh and bone!  He keeps them open, his
sinews straining."|stage direction||
996|HARRY|Grab the files!|speech|HARRY|M
997||"Billy reaches in and pulls out a handful of the files. As he
steps out of range. Harry lets go and the gates close with a
CLANG!"|stage direction||
998|BILLY|Jesus!|speech|BILLY|M
999||He slams the files down.  He's trembling.|stage direction||
1000|BILLY|I could have lost my fucking hands.|speech|BILLY|M
1001|HARRY|"That would have kept you out of the
Magic Circle."|speech|HARRY|M
1002||(he studies the files)|location||
