|character|text|type
43||"don't like it. It would cost a fortune
to make our house fit for a royal visit.
Money we don't have.
(MORE)
(CONTINUED)
6.
And what if theDY ELIZABETH(cont'd)
LA king doesn't like her?
Or if she sleeps with him but gives him
a girl?
SIR THOMAS
And what if you were to look on the
bright side? Just once?
An ominous clap of thunder outside..
SIR THOMAS
Risk nothing, you gain nothing."|unknown
44||ADY ELIZABETH stares at her husband..|stage direction
45||LADY ELIZABETH|unknown
46|ADY ELIZABETH|hen was it that people stopped thinking|speech
47||"of ambition as a sin, and started
thinking of it as a virtue?
SIR THOMAS
Easy for you to say. You've had power
and wealth all your life.
LADY ELIZABETH
Until I married you, Thomas. And I was
happy to give it up.
LADY ELIZABETH turns, and walks back inside."|unknown
48||INT. CORRIDOR - NIGHT|location
49||"8                                                                    8
ANNE knocks on the door of her father's study. She waits.
Presently, the door opens. We see SIR THOMAS inside..
ANNE
You asked to see me father?
SIR THOMAS
Yes. Come in.
SIR THOMAS closes the door."|unknown
50||INT. HEVER CASTLE - NIGHT|location
51||"9                                                                    9
MARY is in a bathroom. Being prepared by ANNE for her wedding
night. ANNE brushes her sister's hair. Rubs oil in her skin.
MARY"|unknown
52|ADY ELIZABETH|o - the King himself is coming to|speech
53||"Hever. I'm so happy for George.
ANNE
Yes. But Father took me aside. It seems
he has ambitions for me, too.
(a beat)
(MORE)
(CONTINUED)
1
7."|unknown
54|ADY ELIZABETH|He thinks I'm ANNE(coage dnow...and of not|speech
55||of an nt' )|unknown
56|ADY ELIZABETH|unpleasing appearance...|speech
57|MARY|What? What are you saying..?|speech
58|ANNE|"It's known the King has a wandering eye.
Imagine...if he were to like me?"|speech
59||MARY|unknown
60|ANNE|"But...you could never be more than his
mistress. And that's no substitute for a
husband."|speech
61|ANNE|"But as the King's mistress the least I'd
get after he finished with me would be
an Earl. And if I fell pregnant? And
gave him what his wife has failed to?"|speech
62||a beat)|unknown
63|ANNE|"Quite apart from the money, it'd be a
Duke at least."|speech
64|MARY|"But what about your happiness? Your
future?"|speech
65||ANNE shrugs, smiles..|stage direction
66|ANNE|I could be a happy Duchess.|speech
67||INT. BEDROOOM - NIGHT|location
68||0                                                             10|unknown
69||"MARY and ANNE enter the bedroom. A sea of candles. MARY stares
at the bed. A child. Suddenly terrified."|stage direction
70|ANNE|Are you nervous?|speech
71|MARY|A little.|speech
72|ANNE|"You'll tell me everything in the
morning?"|speech
73|MARY|I promise.|speech
74|ANNE|No details spared?|speech
75||The two SISTERS hug tightly. Visibly emotional.|stage direction
76||"The door opens, and WILLIAM CAREY appears in the doorway. ANNE
curtseys, gives MARY a last `Good luck' kiss, then goes.
MARY stares at her husband.
MARY
Hold me a moment?
WILLIAM CAREY envelops MARY with his arms..
MARY (cont'd)
I'm so lucky to have a man who is
content with what he has.
MARY looks at him..
MARY (cont'd)
You are, aren't you?
WILLIAM CAREY smiles, looks at his gorgeous bride..
WILLIAM
I am the luckiest man in the world.
WILLIAM reaches for the wine..
WILLIAM (cont'd)
Drink?
MARY shakes her head. But WILLIAM tenderly insists..
WILLIAM (cont'd)
You should. It will hurt less.
MARY nervously drinks..
WILLIAM (cont'd)
Lie back.
MARY lies down. Then she lifts up her nightdress. WILLIAM pulls
down his trousers.
MARY extends her hands. Inviting him to join her. WILLIAM slowly
lowers himself on top of her. He enters her.
MARY smiles, in anticipation of pleasure. A side to her one
might not have imagined.
But one or two strokes later, and WILLIAM's knuckles whiten, his
face reddens, then he cries out, and slumps on top of her.
MARY looks up. Surely that wasn't it?
WILLIAM (cont'd)
Thank you.
(CONTINUED)
9."|unknown
77||"WILLIAM rolls over. MARY stares. Soon WILLIAM snores
contentedly. MARY is wide awake. Confused."|stage direction
78||aybe this is how it's meant to be.|location
79||FADE TO BLACK:|unknown
80||EXT. ENGLISH COUNTRYSIDE - DAY|location
81||11                                                                11|unknown
82||"The thunder of horses' hooves. A huge cloud of dust.
The Royal Standard flutters in the wind. Beneath it, a SOLDIER
in the KING's uniform, riding hard, dirt kicking up in his wake.
The SOLDIER is flanked by a dozen other of the KING's SOLDIERS,
who lead a coloumn of fifty or more RIDERS..
It's like an army. A legion riding into battle. But it's not,
This is just the KING OF ENGLAND going away for the week-end.
Behind the advance party, is the KING himself, (30's), handsome,
in his prime, surrounded by a dozen or so of his closest
COURTIERS, (among them the DUKE of NORFOLK), a grand, tough,
intimidating lot.
Behind them, comes the KING's CONFESSOR, a Priest with a large
ornate crucifix, a small library of religious books..
Then, in a riot of colour, come the MUSICIANS, the FOOL and the
PLAYERS, led by the MASTER of the REVELS.
Behind them, come the SQUIRES and PAGES, carrying the King's
weapons, his jousting kit, his swords, his armour, his lance,
etc.
Then come the animals: FALCONS, in cages, and the HUNTING
HOUNDS, beagles and pinchers, barking in excitement, and an
assortment of FRESH HORSES for travelling, and hunting.
And finally, bringing up the rear, another unit of ARMED GUARDS,
and a second STANDARD BEARER.."|stage direction
83||1|unknown
84||EXT. HEVER - DAY|location
85||2                                                                12|unknown
86||"The BOLEYN family page, (WILLIAM STAFFORD), is perched on a
hill. Keeping watch. Staring into the distance..
Presently, he sees clouds of dust and the sound of thunder
approaching. His expression changes..."|stage direction
87||EXT. HEVER - ESTATE - DAY|location
88||13                                                                13|unknown
89||"Pandemonium breaks out among STAFF and FAMILY MEMBERS as
STAFFORD calls out, ""The King!"""|stage direction
90||10.|unknown
91||INT. HEVER - DAY|location
92||14                                                                14|unknown
93||"ANNE is being dressed by MAIDS. Hearing the commotion outside,
she rushes over to the window to see the approaching RIDERS.
ANNE looks out of the window. Scans the approaching RIDERS until
she finds the KING.."|stage direction
94||ANNE|unknown
95|ANNE|There he is!|speech
96||"The young HENRY TUDOR is a dazzling, magnetic, intensely
glamorous and handsome figure. A total contrast from the
bloated, bearded figure of his later years."|stage direction
97|ANNE|You think he will like me?|speech
98|MARY|Of course, sister. How could he not?|speech
99||ANNE turns to face MARY. The two SISTERS embrace tightly.|stage direction
100||EXT. HEVER - DAY|location
101||15                                                                15|unknown
102||"The entire BOLEYN FAMILY is nervously assembled outside the
house, (which we notice has been transformed at great cost. Huge
marquees in the gardens. Fountains. Additional staff. Smart
uniforms. New extensions to the stables and kitchens).
MARY is discreetly hidden, among the CROWDS. ANNE is pride of
place. Visibly nervous. SIR THOMAS and LADY ELIZABETH are beside
her. The proud PARENTS.
Everyone bows deeply in deference as the King arrives."|stage direction
103|SIR THOMAS|Your Majesty, you are most welcome.|speech
104||"The King dismounts athletically. His DOGS are unleashed, bark
excitedly.."|stage direction
105|HENRY|Sir Thomas.|speech
106||kisses hand)|unknown
107|HENRY|Lady Elizabeth..|speech
108||"A SERVANT in stiff, new uniform, with trembling hands, brings
wine on a tray. HENRY takes a glass.."|stage direction
109|SIR THOMAS|May I present my son, George.|speech
110||"GEORGE, visibly nervous, bows deeply from the neck. But HENRY's
attention has been caught by a beautiful woman behind GEORGE.."|stage direction
111||"(CONTINUED)
11."|unknown
112||(while staring at MARY)|unknown
113|HENRY|"Your Uncle tells me I should have you at
court. Should I?"|speech
114|GEORGE|It would be a great honour, Sir.|speech
115||MARY dutifully, modestly averts her eyes..|stage direction
116|SIR THOMAS|And our daughter, Anne.|speech
117||ENRY turns to see ANNE.|location
118||ENRY|unknown
119|SIR THOMAS|No one said anything of a daughter.|speech
120||ANNE curtseys deeply...|stage direction
121|HENRY|Had we known, we might have come sooner.|speech
122|ANNE|Your Majesty..|speech
123|SIR THOMAS|"Perhaps you'll allow Anne to show you
around our modest house?"|speech
124||HENRY|unknown
125|SIR THOMAS|A pleasure.|speech
126||"ANNE offers HENRY her hand. He takes it, then leads ANNE away.
MARY shoots ANNE a look, `Good luck'.
EXT/INT. HEVER - DAY"|stage direction
127||16                                                               16|unknown
128||"ANNE leads the KING through the house. She is followed at a
distance by SIR THOMAS BOLEYN. And watched by MARY and GEORGE
from a gallery above.."|stage direction
129|ANNE|Here is the library.|speech
130||HENRY|unknown
131|ANNE|Charming.|speech
132|ANNE|And through here, the observatory..|speech
133||HENRY|unknown
134|ANNE|Lovely..|speech
135||HENRY looks up, his eye having been caught by something..|stage direction
136||"(CONTINUED)
H"|unknown
137|ANNE|A|speech
138||"12.
HENRY"|unknown
139|ANNE|What's that?|speech
140||HENRY points at an emblem above a doorway..|stage direction
141||"ANNE
falcon, your Grace."|unknown
142|HENRY|"I can see that. But what's it doing
there? More to the point.."|speech
143||(turns 360)|unknown
144|HENRY|"..not just there, but in every corner in
the house?"|speech
145|ANNE|I have no idea. Ask my father.|speech
146||a beat)|unknown
147|ANNE|"Perhaps because falcons are vaguely
associative with field sports - field
sports with aristocracy - and in the
absence of a genuine coat of arms.."|speech
148||(shrugs)|unknown
149|ANNE|"...a man with ambition will do the
strangest things."|speech
150||HENRY is delighted by ANNE's candour..|stage direction
151||ENRY|unknown
152|ANNE|That's a sharp tongue you have.|speech
153||a beat)|unknown
154|ANNE|"I wonder what it might say about me
behind my back?"|speech
155|ANNE|"Oh, his Majesty has nothing to fear from
me. Unless he fears an excess of
compliments."|speech
156||HENRY smiles, visibly charmed..|stage direction
157|HENRY|Really? And what would they be..?|speech
158||"WATCHING FROM ABOVE, MARY smiles to herself, ""Well done, Anne"",
as HENRY and ANNE continue down a corridor.."|stage direction
159||INT. BOLEYN HOUSE - EVENING|location
160||17                                                             17|unknown
161||"The entire BOLEYN FAMILY is assembled, frantically changing ANNE
from her day attire to her finest evening clothes. SIR THOMAS
watches.."|stage direction
162||(CONTINUED)|unknown
163||"K
M"|stage direction
164||13.|unknown
165|SIR THOMAS|"Bravo, Anne! The King was quite smitten!
Told me so himself. And has requested
you sit beside him at dinner."|speech
166||SIR THOMAS adjusts her hair..|stage direction
167|SIR THOMAS|"My girl. My dear, remarkable girl. I
knew you would up to the task."|speech
168||"MARY watches. A momentary stab of jealousy at FATHER's
attention. But as ANNE looks over at MARY for support..
MARY smiles. Shakes herself out of it. It's her sister. What was
she thinking?"|stage direction
169||INT. BOLEYN HOME - NIGHT|location
170||18                                                               18|unknown
171||"MUSIC is being played. Everyone is dressed in their finest, a
packed banquet hall. MUSICIANS come to a climax, loud and
enthusiastic applause from everyone. HENRY gets to his feet.."|stage direction
172|HENRY|Well played! And, may I say..|speech
173||(a modest smile)|unknown
174|HENRY|..an excellent choice of music too!|speech
175||nowing smiles from the COURTIERS, SIR THOMAS and LADY|location
176||ELIZABETH, the DUKE of NORFOLK, etc..|stage direction
177|HENRY|"Sir Thomas, Lady Elizabeth, dear Anne.
Your health."|speech
178||H|stage direction
179||ENRY raises his glass. Cheers and applause from the COURTIERS.|location
180||A beaming SIR THOMAS raises his glass.|stage direction
181||CUT TO:|unknown
182||"LATER: dinner is served. Everyone is eating. HENRY and several
close COURTIERS are engaged in debate.."|stage direction
183|HENRY|"..I had it from the lips of the Spanish
ambassador himself. That our musicians
are the envy of all Europe."|speech
184|BRANDON|"..then he was flattering you, your
Grace."|speech
185|HENRY|Our Universities and philosophers, too.|speech
186||"(CONTINUED)
H
B
14.
BRANDON
...another lie. That honour would have
to go to the Germans.
HENRY
What of our painters, then?
RANDON
Years behind their Italian counterparts.
The truth is far from leading the world,
we're a provincial outpost, lagging far
behind.
HENRY
What? Is no one proud to be English?
(turns to ANNE)
Anne? What say you?
ANNE gulps. The clanking of cutlery. All eyes on her.
ANNE
Me, my Lord?
clears throat)
I know little of such matters, but I've
not heard mention of our armies.
Undefeated, I believe, in a generation.
ENRY
Well said.
ANNE
Or our navy? The finest in the world.
HENRY
It's true.
ANNE
The universities in Spain and the
philosophers in Germany may be strong,
but are they really the equal of Oxford
and Thomas More?
HENRY
Never!
ANNE
I doubt there is a country that is
fairer in Government, or better
protected by nature from her enemies,
whose people are happier or more
prosperous..
HENRY
She's right, by God! She's right!
HENRY is delighted. SIR THOMAS stares proudly across the room at
ANNE. Who's hand, we notice, is shaking.
(CONTINUED)"|unknown
187||"A
I
T"|stage direction
188||15.|unknown
189||Her heart pounding in her chest.|stage direction
190||INT. STAIRCASE - BOLEYN HOUSE - NIGHT|location
191||19                                                             19|unknown
192||SIR THOMAS stops ANNE on her way upstairs.|stage direction
193|SIR THOMAS|"You did well tonight. Very well. Quite
enough to be invited to court, I am sure
of it."|speech
194||SIR THOMAS kisses ANNE's forehead..|stage direction
195|SIR THOMAS|"Now go to bed. Get a good night's sleep.
Because there's still the hunt tomorrow."|speech
196||a beat)|unknown
197|SIR THOMAS|You must excel at that.|speech
198||"SIR THOMAS watches ANNE go. Admiring her. Then he turns to see
his wife, ELIZABETH. She turns away in disgust."|stage direction
199||INT. GIRLS' BEDROOM - NIGHT|location
200||20                                                             20|unknown
201||"MARY and ANNE lie together. In spoons position. ANNE is fast
asleep. MARY strokes her sister's hair. Eyes open."|stage direction
202||wo vulnerable, young children.|location
203||21                                                             21|unknown
204||EXT. HEVER CASTLE - STABLE YARD - DAY|location
205||"The following morning..
Thirty or more RIDERS, STABLE-BOYS and HORSES are gathered. To
one side, a deafening pack of DEER-HOUNDS, (wire-haired
Lurchers), barking frantically."|stage direction
206||t's a scene of great activity, excitement, and anticipation.|location
207||"The MASTER OF THE HORSE helps HENRY mount his steed - the
biggest and most glamorous stallion of all, with wonderful,
ornate saddlery."|stage direction
208||number of OTHER LADIES are also going hunting, and we notice|unknown
209||"they ride pillion, (ie), riding on the same horse as their MEN,
sitting behind them, holding onto them..
F"|stage direction
210||inally, ANNE comes out. The KING turns..|location
211|HENRY|Good morning, Anne.|speech
212||ANNE curtseys deeply..|stage direction
213||(CONTINUED)|unknown
214||H|stage direction
215|HENRY|B|speech
216||A|unknown
217|HENRY|W|speech
218||16.|unknown
219|ANNE|Good morning, your Grace.|speech
220||ho will you be riding with?|unknown
221||"It's clearly an invitation. He indicates there is room for ANNE
on the back of his saddle. But ANNE fails to read the signal."|stage direction
222|ANNE|On my own your Grace.|speech
223||HENRY|unknown
224|ANNE|Your own..?|speech
225||A STABLE-BOY leads out her horse.|stage direction
226|ANNE|"They have invented a new saddle which
allows ladies to ride on their own."|speech
227||ANNE skilfully mounts the horse, and sits upright..|stage direction
228||ut with no man to hold onto? How will|unknown
229|HENRY|you stay on the horse?|speech
230|ANNE|"Why? The same way you hold onto yours,
your Grace."|speech
231||"A flicker behind HENRY's eyes. It's the first wrong move ANNE
has made."|stage direction
232||HENRY|unknown
233|ANNE|We'll see.|speech
234||ENRY yanks the reins on his horse..|location
235||HENRY|unknown
236|ANNE|Let's away!|speech
237||ANNE shoots a look at MARY. Then follows.|stage direction
238||EXT. COUNTRYSIDE - DAY|location
239||22                                                             22|unknown
240||"The thunder of hooves..
WILLIAM STAFFORD leads the way out with a pack of some forty or
fifty hounds. It's a stirring sight. Following the hounds, come
thirty or forty RIDERS, led by the KING himself."|stage direction
241||(kicking his horse)|unknown
242|HENRY|Hah!|speech
243||"(CONTINUED)
R"|unknown
244||"T
I"|stage direction
245||17.|unknown
246||"Up ahead, the HOUNDS start to bark. Their pace increases.
They've got a scent. The BUGLER blows his horn..
The DOGS begin to increase their pace. The RIDERS urge their
horses to gallop. The LADIES hold tight to their MEN.."|stage direction
247||2|unknown
248||EXT. FIELDS - DAY|location
249||3                                                                23|unknown
250||"Up ahead, a STAG, wide-eyed, innocent, lifts it's head..
The sound of the hunting bugle and the roar of approaching
footsteps, like thunder.
The STAG twitches in fear, then bolts off towards the forest."|stage direction
251||EXT. FIELDS - DAY|location
252||24                                                                24|unknown
253||"The DOGS and RIDERS roar across fields. The hounds snarl, almost
delirious with primal agitation..
Among the RIDERS, the more advanced HORSEMEN have already opened
up a clear lead on their weaker counterparts.."|stage direction
254||n the advanced group, are HENRY, several COURTIERS, his GUARDS|location
255||"and, of course, ANNE..
They jump over a hedge. One of HENRY's COURTIERS catches the
hedge and falls. HENRY smiles, then turns to see..
ANNE comfortably jumping the hedge herself. HENRY's smile fades.
He urges his horse to greater speed.."|stage direction
256||"HENRY
(kicking his horse)"|unknown
257|HENRY|Hah..!|speech
258||EXT. FIELDS - DAY|location
259||25                                                                25|unknown
260||"The terrified DEER bolts into safety of the forest. The barking
HOUNDS, locked into the scent, follow."|stage direction
261||he RIDERS see this, and some pull up.|location
262||IDER|unknown
263|HENRY|We've lost him. He's in the forest.|speech
264||"Galloping through trees and thick forest is not for the
fainthearted. But HENRY charges past, kicking up dirt.."|stage direction
265|HENRY|Then we must follow.|speech
266||H|stage direction
267|HENRY|T|speech
268||H|unknown
269||"S
T
H"|stage direction
270||"2
18."|unknown
271||INT. FOREST - DAY|location
272||26                                                                26|unknown
273||"HENRY weaves skilfully through low-hanging branches. He looks
over his shoulder, ANNE follows, close behind..
Sharp branches tear at HENRY's face. Some draw blood. Behind
him, several other COURTIERS suffer lashes from the branches,
and pull up. But not ANNE. She kicks her horse harder. Seemingly
impervious to the whipping branches.."|stage direction
274||ANNE|unknown
275|HENRY|Hah!|speech
276||Ahead, the DEER darts and weaves. The HOUNDS give chase.|stage direction
277||EXT. FOREST - RAVINE - DAY|location
278||7                                                                27|unknown
279||alf a mile ahead..|location
280||"A steep ravine, with a sheer drop of twenty-five feet deep. At
the bottom, a brook with dangerous rocks, then another sheer
climb of twenty-five feet the other side.
The DEER arrives, looks, then scampers down the ravine, pursued
by the HOUNDS."|stage direction
281||he remaining RIDERS arrive. They see the DEER scramble up the|location
282||"other side, followed by the DOGS, slipping in the mud, and
struggling with the brook."|stage direction
283||everal DOGS fall. Yelping in fright and pain as they lose|location
284||"footing and fall on the rocks. The KING pulls up his horse..
HENRY raises his hat, and salutes the DEER."|stage direction
285||"ENRY
he King of England defeated by a humble"|unknown
286|HENRY|fawn.|speech
287||"The COURTIERS laugh, then they turn their horses around and head
off. ANNE stares. It's a clear opportunity to impress. She looks
down at the rocks. A long stare, then.."|stage direction
288||(suddenly kicking horse)|unknown
