;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;How the Grinch Stole Christmas;(2000);104 min;"
Comedy, Family, Fantasy            ";Ron Howard;;
1;2.0;Cast Away;(2000);143 min;"
Adventure, Drama, Romance            ";Robert Zemeckis;http://www.imsdb.com/Movie Scripts/Cast Away Script.html;http://www.imsdb.com/scripts/Cast-Away.html
2;3.0;Mission: Impossible II;(2000);123 min;"
Action, Adventure, Thriller            ";John Woo;;
3;4.0;Gladiator;(2000);155 min;"
Action, Adventure, Drama            ";Ridley Scott;http://www.imsdb.com/Movie Scripts/Gladiator Script.html;http://www.imsdb.com/scripts/Gladiator.html
4;5.0;What Women Want;(2000);127 min;"
Comedy, Fantasy, Romance            ";Nancy Meyers;;
5;6.0;The Perfect Storm;(2000);130 min;"
Action, Adventure, Drama            ";Wolfgang Petersen;;
6;7.0;Meet the Parents;(2000);108 min;"
Comedy, Romance            ";Jay Roach;;
7;8.0;X-Men;(2000);104 min;"
Action, Adventure, Sci-Fi            ";Bryan Singer;http://www.imsdb.com/Movie Scripts/X-Men Script.html;http://www.imsdb.com/scripts/X-Men.html
8;9.0;Scary Movie;(2000);88 min;"
Comedy            ";Keenen Ivory Wayans;;
9;10.0;What Lies Beneath;(2000);130 min;"
Drama, Fantasy, Horror            ";Robert Zemeckis;http://www.imsdb.com/Movie Scripts/What Lies Beneath Script.html;http://www.imsdb.com/scripts/What-Lies-Beneath.html
10;11.0;Dinosaur;(2000);82 min;"
Animation, Adventure, Family            ";Eric Leighton;;
11;12.0;Crouching Tiger, Hidden Dragon;(2000);120 min;"
Action, Adventure, Fantasy            ";Ang Lee;http://www.imsdb.com/Movie Scripts/Crouching Tiger, Hidden Dragon Script.html;http://www.imsdb.com/scripts/Crouching-Tiger,-Hidden-Dragon.html
12;13.0;Erin Brockovich;(2000);131 min;"
Biography, Drama            ";Steven Soderbergh;http://www.imsdb.com/Movie Scripts/Erin Brockovich Script.html;http://www.imsdb.com/scripts/Erin-Brockovich.html
13;14.0;Charlie's Angels;(2000);98 min;"
Action, Adventure, Comedy            ";McG;http://www.imsdb.com/Movie Scripts/Charlie's Angels Script.html;http://www.imsdb.com/scripts/Charlie's-Angels.html
14;15.0;Traffic;(2000);147 min;"
Crime, Drama, Thriller            ";Steven Soderbergh;http://www.imsdb.com/Movie Scripts/Traffic Script.html;http://www.imsdb.com/scripts/Traffic.html
15;16.0;Nutty Professor II: The Klumps;(2000);106 min;"
Comedy, Romance, Sci-Fi            ";Peter Segal;;
16;17.0;Big Momma's House;(2000);99 min;"
Action, Comedy, Crime            ";Raja Gosnell;;
17;18.0;Remember the Titans;(2000);113 min;"
Biography, Drama, Sport            ";Boaz Yakin;;
18;19.0;The Patriot;(2000);165 min;"
Action, Drama, History            ";Roland Emmerich;;
19;20.0;Miss Congeniality;(2000);109 min;"
Action, Comedy, Crime            ";Donald Petrie;;
20;21.0;Chicken Run;(2000);84 min;"
Animation, Adventure, Comedy            ";Peter Lord;;
21;22.0;Gone in Sixty Seconds;(2000);118 min;"
Action, Crime, Thriller            ";Dominic Sena;;
22;23.0;Unbreakable;(2000);106 min;"
Drama, Mystery, Sci-Fi            ";M. Night Shyamalan;http://www.imsdb.com/Movie Scripts/Unbreakable Script.html;http://www.imsdb.com/scripts/Unbreakable.html
23;24.0;Me, Myself & Irene;(2000);116 min;"
Comedy            ";Bobby Farrelly;;
24;25.0;Space Cowboys;(2000);130 min;"
Action, Adventure, Thriller            ";Clint Eastwood;;
25;26.0;The Emperor's New Groove;(2000);78 min;"
Animation, Adventure, Comedy            ";Mark Dindal;;
26;27.0;Scream 3;(2000);116 min;"
Horror, Mystery            ";Wes Craven;http://www.imsdb.com/Movie Scripts/Scream 3 Script.html;http://www.imsdb.com/scripts/Scream-3.html
27;28.0;U-571;(2000);116 min;"
Action, War            ";Jonathan Mostow;;
28;29.0;Rugrats in Paris: The Movie;(2000);78 min;"
Animation, Adventure, Comedy            ";Stig Bergqvist;;
29;30.0;The Family Man;(2000);125 min;"
Comedy, Drama, Fantasy            ";Brett Ratner;;
30;31.0;Hollow Man;(2000);112 min;"
Action, Horror, Sci-Fi            ";Paul Verhoeven;http://www.imsdb.com/Movie Scripts/Hollow Man Script.html;http://www.imsdb.com/scripts/Hollow-Man.html
31;32.0;Chocolat;(2000);121 min;"
Drama, Romance            ";Lasse Hallström;;
32;33.0;Shaft;(2000);99 min;"
Action, Crime, Thriller            ";John Singleton;;
33;34.0;The Kid;(2000);104 min;"
Comedy, Family, Fantasy            ";Jon Turteltaub;;
34;35.0;Road Trip;(2000);93 min;"
Adventure, Comedy            ";Todd Phillips;;
35;36.0;Vertical Limit;(2000);124 min;"
Action, Adventure, Drama            ";Martin Campbell;;
36;37.0;Bring It On;(2000);98 min;"
Comedy, Romance, Sport            ";Peyton Reed;;
37;38.0;102 Dalmatians;(2000);100 min;"
Adventure, Comedy, Family            ";Kevin Lima;;
38;39.0;Rules of Engagement;(2000);128 min;"
Drama, Thriller, War            ";William Friedkin;;
39;40.0;The Cell;(2000);107 min;"
Horror, Sci-Fi, Thriller            ";Tarsem Singh;;
40;41.0;Mission to Mars;(2000);114 min;"
Adventure, Sci-Fi, Thriller            ";Brian De Palma;http://www.imsdb.com/Movie Scripts/Mission to Mars Script.html;http://www.imsdb.com/scripts/Mission-to-Mars.html
41;42.0;Coyote Ugly;(2000);100 min;"
Comedy, Drama, Music            ";David McNally;;
42;43.0;Snow Day;(2000);89 min;"
Adventure, Comedy, Family            ";Chris Koch;;
43;44.0;The Whole Nine Yards;(2000);98 min;"
Comedy, Crime            ";Jonathan Lynn;;
44;45.0;Next Friday;(2000);98 min;"
Comedy            ";Steve Carr;http://www.imsdb.com/Movie Scripts/Next Friday Script.html;http://www.imsdb.com/scripts/Next-Friday.html
45;46.0;Shanghai Noon;(2000);110 min;"
Action, Adventure, Comedy            ";Tom Dey;;
46;47.0;Romeo Must Die;(2000);115 min;"
Action, Crime, Thriller            ";Andrzej Bartkowiak;;
47;48.0;Destination finale;(2000);98 min;"
Horror, Thriller            ";James Wong;;
48;49.0;Finding Forrester;(2000);136 min;"
Drama            ";Gus Van Sant;;
49;50.0;The Road to El Dorado;(2000);89 min;"
Animation, Adventure, Comedy            ";Bibo Bergeron;;
50;51.0;Men of Honor;(2000);129 min;"
Biography, Drama            ";George Tillman Jr.;;
51;52.0;Dude, Where's My Car?;(2000);83 min;"
Comedy, Mystery, Sci-Fi            ";Danny Leiner;;
52;53.0;The Tigger Movie;(2000);77 min;"
Animation, Comedy, Drama            ";Jun Falkenstein;;
53;54.0;O Brother, Where Art Thou?;(2000);107 min;"
Adventure, Comedy, Crime            ";Joel Coen;;
54;55.0;Frequency;(2000);118 min;"
Crime, Drama, Mystery            ";Gregory Hoblit;http://www.imsdb.com/Movie Scripts/Frequency Script.html;http://www.imsdb.com/scripts/Frequency.html
55;56.0;The Replacements;(2000);118 min;"
Comedy, Sport            ";Howard Deutch;;
56;57.0;The Beach;(I) (2000);119 min;"
Adventure, Drama, Romance            ";Danny Boyle;;
