;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Saving Private Ryan;(1998);169 min;"
Drama, War            ";Steven Spielberg;http://www.imsdb.com/Movie Scripts/Saving Private Ryan Script.html;http://www.imsdb.com/scripts/Saving-Private-Ryan.html
1;2.0;Armageddon;(1998);151 min;"
Action, Adventure, Sci-Fi            ";Michael Bay;http://www.imsdb.com/Movie Scripts/Armageddon Script.html;http://www.imsdb.com/scripts/Armageddon.html
2;3.0;There's Something About Mary;(1998);119 min;"
Comedy, Romance            ";Bobby Farrelly;http://www.imsdb.com/Movie Scripts/There's Something About Mary Script.html;http://www.imsdb.com/scripts/There's-Something-About-Mary.html
3;4.0;A Bug's Life;(1998);95 min;"
Animation, Adventure, Comedy            ";John Lasseter;;
4;5.0;The Waterboy;(1998);90 min;"
Comedy, Sport            ";Frank Coraci;;
5;6.0;Doctor Dolittle;(1998);85 min;"
Comedy, Family, Fantasy            ";Betty Thomas;;
6;7.0;Rush Hour;(1998);98 min;"
Action, Comedy, Crime            ";Brett Ratner;http://www.imsdb.com/Movie Scripts/Rush Hour Script.html;http://www.imsdb.com/scripts/Rush-Hour.html
7;8.0;Deep Impact;(1998);120 min;"
Action, Drama, Romance            ";Mimi Leder;;
8;9.0;Godzilla;(I) (1998);139 min;"
Action, Sci-Fi, Thriller            ";Roland Emmerich;http://www.imsdb.com/Movie Scripts/Godzilla Script.html;http://www.imsdb.com/scripts/Godzilla.html
9;10.0;Patch Adams;(1998);115 min;"
Biography, Comedy, Drama            ";Tom Shadyac;;
10;11.0;Lethal Weapon 4;(1998);127 min;"
Action, Crime, Thriller            ";Richard Donner;http://www.imsdb.com/Movie Scripts/Lethal Weapon 4 Script.html;
11;12.0;The Truman Show;(1998);103 min;"
Comedy, Drama, Sci-Fi            ";Peter Weir;;
12;13.0;Mulan;(1998);88 min;"
Animation, Adventure, Family            ";Tony Bancroft;http://www.imsdb.com/Movie Scripts/Mulan Script.html;http://www.imsdb.com/scripts/Mulan.html
13;14.0;You've Got Mail;(1998);119 min;"
Comedy, Drama, Romance            ";Nora Ephron;http://www.imsdb.com/Movie Scripts/You've Got Mail Script.html;http://www.imsdb.com/scripts/You've-Got-Mail.html
14;15.0;Enemy of the State;(1998);132 min;"
Action, Thriller            ";Tony Scott;http://www.imsdb.com/Movie Scripts/Enemy of the State Script.html;http://www.imsdb.com/scripts/Enemy-of-the-State.html
