;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Star Wars: Episode I - The Phantom Menace;(1999);136 min;"
Action, Adventure, Fantasy            ";George Lucas;;
1;2.0;The Sixth Sense;(1999);107 min;"
Drama, Mystery, Thriller            ";M. Night Shyamalan;;
2;3.0;Toy Story 2;(1999);92 min;"
Animation, Adventure, Comedy            ";John Lasseter;;
3;4.0;Austin Powers: The Spy Who Shagged Me;(1999);95 min;"
Action, Adventure, Comedy            ";Jay Roach;;
4;5.0;The Matrix;(1999);136 min;"
Action, Sci-Fi            ";Lana Wachowski;;
5;6.0;Tarzan;(1999);88 min;"
Animation, Adventure, Family            ";Chris Buck;;
6;7.0;Big Daddy;(1999);93 min;"
Comedy, Drama, Family            ";Dennis Dugan;;
7;8.0;The Mummy;(1999);125 min;"
Action, Adventure, Fantasy            ";Stephen Sommers;;
8;9.0;Runaway Bride;(1999);116 min;"
Comedy, Romance            ";Garry Marshall;http://www.imsdb.com/Movie Scripts/Runaway Bride Script.html;http://www.imsdb.com/scripts/Runaway-Bride.html
9;10.0;The Blair Witch Project;(1999);81 min;"
Horror, Mystery            ";Daniel Myrick;;
10;11.0;Stuart Little;(1999);84 min;"
Adventure, Comedy, Family            ";Rob Minkoff;;
11;12.0;The Green Mile;(1999);189 min;"
Crime, Drama, Fantasy            ";Frank Darabont;;
12;13.0;American Beauty;(1999);122 min;"
Drama, Romance            ";Sam Mendes;http://www.imsdb.com/Movie Scripts/American Beauty Script.html;http://www.imsdb.com/scripts/American-Beauty.html
13;14.0;The World Is Not Enough;(1999);128 min;"
Action, Adventure, Thriller            ";Michael Apted;;
14;15.0;Double Jeopardy;(1999);105 min;"
Crime, Drama, Mystery            ";Bruce Beresford;;
15;16.0;Notting Hill;(1999);124 min;"
Comedy, Drama, Romance            ";Roger Michell;http://www.imsdb.com/Movie Scripts/Notting Hill Script.html;http://www.imsdb.com/scripts/Notting-Hill.html
16;17.0;Wild Wild West;(1999);106 min;"
Action, Comedy, Sci-Fi            ";Barry Sonnenfeld;http://www.imsdb.com/Movie Scripts/Wild Wild West Script.html;http://www.imsdb.com/scripts/Wild-Wild-West.html
17;18.0;Analyze This;(1999);103 min;"
Comedy, Crime            ";Harold Ramis;http://www.imsdb.com/Movie Scripts/Analyze This Script.html;http://www.imsdb.com/scripts/Analyze-This.html
18;19.0;The General's Daughter;(1999);116 min;"
Crime, Drama, Mystery            ";Simon West;;
