;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Finding Nemo;(2003);100 min;"
Animation, Adventure, Comedy            ";Andrew Stanton;http://www.imsdb.com/Movie Scripts/Finding Nemo Script.html;http://www.imsdb.com/scripts/Finding-Nemo.html
1;2.0;The Lord of the Rings: The Return of the King;(2003);201 min;"
Adventure, Drama, Fantasy            ";Peter Jackson;;
2;3.0;Pirates of the Caribbean: The Curse of the Black Pearl;(2003);143 min;"
Action, Adventure, Fantasy            ";Gore Verbinski;;
3;4.0;The Matrix Reloaded;(2003);138 min;"
Action, Sci-Fi            ";Lana Wachowski;;
4;5.0;Bruce Almighty;(2003);101 min;"
Comedy, Drama, Fantasy            ";Tom Shadyac;http://www.imsdb.com/Movie Scripts/Bruce Almighty Script.html;http://www.imsdb.com/scripts/Bruce-Almighty.html
5;6.0;X-Men 2;(2003);134 min;"
Action, Adventure, Fantasy            ";Bryan Singer;;
6;7.0;Elf;(2003);97 min;"
Comedy, Family, Fantasy            ";Jon Favreau;;
7;8.0;Terminator 3: Rise of the Machines;(2003);109 min;"
Action, Sci-Fi, Thriller            ";Jonathan Mostow;;
8;9.0;Matrix Revolutions;(2003);129 min;"
Action, Sci-Fi            ";Lana Wachowski;;
9;10.0;Cheaper by the Dozen;(2003);98 min;"
Comedy, Family            ";Shawn Levy;;
10;11.0;Bad Boys II;(2003);147 min;"
Action, Comedy, Crime            ";Michael Bay;;
11;12.0;Anger Management;(2003);106 min;"
Comedy            ";Peter Segal;;
12;13.0;Bringing Down the House;(2003);105 min;"
Comedy            ";Adam Shankman;;
13;14.0;Hulk;(2003);138 min;"
Action, Sci-Fi            ";Ang Lee;;
14;15.0;2 Fast 2 Furious;(2003);107 min;"
Action, Crime, Thriller            ";John Singleton;;
15;16.0;Something's Gotta Give;(2003);128 min;"
Comedy, Drama, Romance            ";Nancy Meyers;http://www.imsdb.com/Movie Scripts/Something's Gotta Give Script.html;http://www.imsdb.com/scripts/Something's-Gotta-Give.html
16;17.0;Seabiscuit;(2003);140 min;"
Drama, History, Sport            ";Gary Ross;;
17;18.0;S.W.A.T.;(2003);117 min;"
Action, Adventure, Crime            ";Clark Johnson;;
18;19.0;Spy Kids 3-D: Game Over;(2003);84 min;"
Action, Adventure, Comedy            ";Robert Rodriguez;;
19;20.0;The Last Samurai;(2003);154 min;"
Action, Drama, History            ";Edward Zwick;;
20;21.0;Freaky Friday;(2003);97 min;"
Comedy, Family, Fantasy            ";Mark Waters;;
21;22.0;Scary Movie 3;(2003);84 min;"
Comedy            ";David Zucker;;
