;classement;titre;annee;duree;categorie;realisateur;url;url_script
0;1.0;Avatar;(2009);162 min;"
Action, Adventure, Fantasy            ";James Cameron;http://www.imsdb.com/Movie Scripts/Avatar Script.html;http://www.imsdb.com/scripts/Avatar.html
1;2.0;Transformers: Revenge of the Fallen;(2009);150 min;"
Action, Adventure, Sci-Fi            ";Michael Bay;;
2;3.0;Harry Potter and the Half-Blood Prince;(2009);153 min;"
Adventure, Family, Fantasy            ";David Yates;http://www.imsdb.com/Movie Scripts/Harry Potter and the Half-Blood Prince Script.html;
3;4.0;The Twilight Saga: New Moon;(2009);130 min;"
Adventure, Drama, Fantasy            ";Chris Weitz;;
4;5.0;Up;(2009);96 min;"
Animation, Adventure, Comedy            ";Pete Docter;http://www.imsdb.com/Movie Scripts/Up Script.html;http://www.imsdb.com/scripts/Up.html
5;6.0;The Hangover;(2009);100 min;"
Comedy            ";Todd Phillips;;
6;7.0;Star Trek;(2009);127 min;"
Action, Adventure, Sci-Fi            ";J.J. Abrams;http://www.imsdb.com/Movie Scripts/Star Trek Script.html;http://www.imsdb.com/scripts/Star-Trek.html
7;8.0;The Blind Side;(2009);129 min;"
Biography, Drama, Sport            ";John Lee Hancock;;
8;9.0;Alvin and the Chipmunks: The Squeakquel;(2009);88 min;"
Animation, Comedy, Family            ";Betty Thomas;;
9;10.0;Sherlock Holmes;(2009);128 min;"
Action, Adventure, Crime            ";Guy Ritchie;http://www.imsdb.com/Movie Scripts/Sherlock Holmes Script.html;http://www.imsdb.com/scripts/Sherlock-Holmes.html
10;11.0;Monsters vs. Aliens;(2009);94 min;"
Animation, Action, Adventure            ";Rob Letterman;;
11;12.0;Ice Age: Dawn of the Dinosaurs;(2009);94 min;"
Animation, Action, Adventure            ";Carlos Saldanha;;
12;13.0;X-Men Origins: Wolverine;(2009);107 min;"
Action, Adventure, Sci-Fi            ";Gavin Hood;http://www.imsdb.com/Movie Scripts/X-Men Origins: Wolverine Script.html;http://www.imsdb.com/scripts/X-Men-Origins-Wolverine.html
13;14.0;Night at the Museum: Battle of the Smithsonian;(2009);105 min;"
Adventure, Comedy, Family            ";Shawn Levy;;
14;15.0;2012;(I) (2009);158 min;"
Action, Adventure, Sci-Fi            ";Roland Emmerich;http://www.imsdb.com/Movie Scripts/2012 Script.html;http://www.imsdb.com/scripts/2012.html
15;16.0;The Proposal;(I) (2009);108 min;"
Comedy, Drama, Romance            ";Anne Fletcher;;
16;17.0;Fast & Furious;(2009);107 min;"
Action, Crime, Thriller            ";Justin Lin;;
