|character|text|type|character_clean|gender|principal_character
1215||"(CONTINUED)
82.
125   CONTINUED:                                                  125"|unknown|||
1216||Danny moves off.|location|||
1217||126   INT. MUSEUM -- ELSEWHERE                                    126|unknown|||
1218||Basher is being questioned by Danny.|location|||
1219|BASHER|"Not since we first got here. About
an hour ago."|speech|BASHER|F|True
1220||Danny moves away.|location|||
1221||(to Danny's back)|unknown|||
1222|BASHER (cont'd)|And where's Saul and Linus?|speech|BASHER|F|True
1223||127   INT. ROME HOTEL ROOM -- DAY                                 127|unknown|||
1224||"Isabel enters her room. Suddenly she spins and draws her
pistol.   Her gun ends up in Rusty's face."|location|||
1225|ISABEL|"Jesus, Robert. I could've killed
you."|speech|ISABEL|F|True
1226||He shrugs. A long beat as she takes a look at him.|location|||
1227||RUSTY|unknown|||
1228|ISABEL|I'm older.|speech|ISABEL|F|True
1229|ISABEL|"I hope so. What are you doing in my
room?"|speech|ISABEL|F|True
1230|RUSTY|"I thought maybe we could get some
coffee."|speech|RUSTY|M|True
1231|ISABEL|No, thanks.|speech|ISABEL|F|True
1232|RUSTY|"Okay, how about a two week trip to
Zanzibar?"|speech|RUSTY|M|True
1233|ISABEL|Please don't.|speech|ISABEL|F|True
1234||"(CONTINUED)
83.
127   CONTINUED:                                             127"|unknown|||
1235|RUSTY|"Fine, coffee then. Whatever you
say."|speech|RUSTY|M|True
1236||Isabel gives an exasperated sigh.|location|||
1237|ISABEL|"Why do I want to have coffee with
you?"|speech|ISABEL|F|True
1238|RUSTY|"How should I know? sorry about your
mom."|speech|RUSTY|M|True
1239||Isable nods.|location|||
1240|RUSTY (cont'd)|She was a real...|speech|RUSTY|M|True
1241|ISABEL|She hated you.|speech|ISABEL|F|True
1242|RUSTY|"Well, she was nice enough to hide
it from me. Some people can't even
do that."|speech|RUSTY|M|True
1243|ISABEL|She hated everybody.|speech|ISABEL|F|True
1244||Rusty nods.    He remembers.|location|||
1245|ISABEL|You'll never get it by the way.|speech|ISABEL|F|True
1246||RUSTY|unknown|||
1247|ISABEL|Get what?|speech|ISABEL|F|True
1248|ISABEL|"You'll think you've got it, you'll
be so close that you'll be able to
taste it and then this guy, the
Night Fox or whoever he is, will
just take it -- right out of your
hand -- just like he did in
Amsterdam. He's as good as LeMarc."|speech|ISABEL|F|True
1249|RUSTY|It's not possible.|speech|RUSTY|M|True
1250|ISABEL|You're in a bubble.|speech|ISABEL|F|True
1251||"(CONTINUED)
84.
127   CONTINUED: (2)                                           127"|unknown|||
1252||Rusty looks at her.|location|||
1253||128   INT. ROME WAREHOUSE -- DAY                               128|unknown|||
1254||"A mock up of the room the egg will be displayed in. A dummy
egg sits on a cradle in the center of the room. Infra-red
motion detectors cover the room. Motion sensitive lasers
shine directly onto the egg.
Danny, Basher, Yen, Frank, and Livingston try to figure out
how to get around the security systems."|location|||
1255||"LIVINGSTON (IN THE BACKGROUND)
No, that won't work either. The IR
will pick it up before you even get
close."|unknown|||
1256||This is depressing to everyone.|location|||
1257||"FRANK
Look, if we're having this much
trouble, and we've got ten guys
Toulour must be pulling his hair
out.
129   INTERCUT -- EXT. POOLSIDE -- DAY                         129"|unknown|||
1258||Toulour lies in a lounge chair.|location|||
1259||130   BACK TO SCENE -- INT. ROME WAREHOUSE -- DAY              130|unknown|||
1260||"The group agrees Toulour must be suffering like them.
Rusty strides in. Everyone looks at him. He looks at the mock
up of the egg."|location|||
1261||"RUSTY
Would you call that bubble-shaped?
DANNY
What?"|unknown|||
1262||Rusty shrugs it off.|location|||
1263||"RUSTY
She pulled a gun on me."|unknown|||
1264||He sits.|location|||
1265||"(CONTINUED)
85.
130   CONTINUED:                                                  130"|unknown|||
1266|RUSTY (cont'd)|She won't back off.|speech|RUSTY|M|True
1267|FRANK|Are you back on?|speech|FRANK|M|True
1268|RUSTY|I'm selling. She ain't buying.|speech|RUSTY|M|True
1269|DANNY|"More importantly, what kind of
reception is the Italian Police
giving her?"|speech|DANNY|M|True
1270||131   INT. ROME POLICE HEADQUARTERS -- DAY                        131|unknown|||
1271||A SUBORDINATE OFFICER leads Isabel down a hallway.|location|||
1272|SUBORDINATE OFFICER|"Captain Giordano is handling an
urgent interrogation. He'll be up
as soon as it is completed. Please
wait in here."|speech|SUBORDINATE OFFICER|?|
1273||"He leads Isabel and Hess into the Captain's office.    A large
clock on the wall reads 11:45 am.
The open windows in the office look out onto one of Rome's
famous courtyards. Captain Giordano stands with three other
officers. They are having a loud, tense conversation in
Italian.
Isabel watches as Giordano's temper really flares.    He jabs
his finger at one of the other cops."|location|||
1274|CAPTAIN GIORDANO (SUBTITLED)|"Naples sucks! They're a joke! The
only decent player they have is
Pasqualli -- and he's a pussy."|speech|CAPTAIN GIORDANO|F|True
1275|ITALIAN COP 1 (SUBTITLED)|"Pasqualli runs circles around
Bologna's backfield every time."|speech|ITALIAN COP 1|?|
1276|ITALIAN COP 2 (SUBTITLED)|Pasqualli could single-handedly--|speech|ITALIAN COP 2|?|
1277||Isabel turns to the officer who escorted her in.|location|||
1278|ISABEL|What are they talking about?|speech|ISABEL|F|True
1279||"(CONTINUED)
86.
131   CONTINUED:                                                  131"|unknown|||
1280|SUBORDINATE OFFICER|It's an internal matter, Madame.|speech|SUBORDINATE OFFICER|?|
1281||Isabel and Hess look at each other.|location|||
1282||132   EXT. COURTYARD -- DAY                                       132|unknown|||
1283||"The Captain continues to argue. Those involved in the
discussion are being brought lunch."|location|||
1284||133   INT. CAPTAIN GIORDANO'S OFFICE -- DAY                       133|unknown|||
1285||"Isabel's sitting on the couch now, her eye lids drooping.
Hess checks his PDA."|location|||
1286|ITALIAN COP 3 (O.S., SUBTITLED)|"--and her friends could trounce
NapIes!"|speech|ITALIAN COP 3|?|
1287||"The clock on the wall reads 2:20 PM.    Isabel's been here two
and a half hours."|location|||
1288||134   INT. ROME WAREHOUSE -- DAY                                  134|unknown|||
1289||"Livingston, Yen, Danny, and Rusty are experimenting with a
way for Yen to drop from the ceiling so that he's hanging
right over the egg.
Their mock-up alarm rings.    A red light flashes."|location|||
1290||LIVINGSTON|unknown|||
1291|ITALIAN COP 3 (O.S., SUBTITLED)|Damn-it.|speech|ITALIAN COP 3|?|
1292||"Danny rubs his face. This is feeling impossible.      He goes
into the corner and clicks a walkie-talkie.
in the background we see Rusty trying to keep everybody's
spirits high."|location|||
1293|RUSTY|"All right, okay. Let's not be
defeatists.... What about that
mirror trick that Akimbo tried at
the--"|speech|RUSTY|M|True
1294|LIVINGSTON|"--There's no mirror thin enough to
avoid tripping the lasers."|speech|LIVINGSTON|M|True
1295||"(CONTINUED)
87.
134   CONTINUED:                                              134"|unknown|||
1296||In the foreground, Danny on the walkie-talkie.|location|||
1297|DANNY|What's he doing now?|speech|DANNY|M|True
1298|VIRGIL (RADIO V.O.)|"Nothing.   Just reading the papers
at a cafe. Oh, no, wait. A woman
just sat down next to him.... He's
getting her phone number."|speech|VIRGIL|M|True
1299|TURK (RADIO V.O.)|Wow. What are those?|speech|TURK|M|True
1300||VIRGIL (RADIO V.O.)|unknown|||
1301|TURK (RADIO V.O.)|Jimmy Chu.|speech|TURK|M|True
1302|TURK (RADIO V.O.)|I've never seen that color.|speech|TURK|M|True
1303||(into walkie)|unknown|||
1304|DANNY|Okay, take it easy over there.|speech|DANNY|M|True
1305||Saul and Linus enter.|location|||
1306|DANNY|What happened?|speech|DANNY|M|True
1307||Linus puts his BACKPACK down.|location|||
1308|LINUS|"We thought someone was following
us."|speech|LINUS|M|True
1309|SAUL|"We gave 'em the shake. Caught 'em
napping."|speech|SAUL|M|True
1310||135   INT. CAPTAIN GIORDANO'S OFFICE -- DAY                   135|unknown|||
1311||"Isabel is asleep on the couch. It's 5:30 PM. A hand taps
her shoulder. She wakes up and is shocked to see Captain
Giordano, finally, standing above her."|location|||
1312||(doing the introductions)|unknown|||
1313|SUBORDINATE OFFICER|"Captain Giordano, Rome Police
Special Investigations. Isabel
Lahiri, Europol, Major Theft Task
Force."|speech|SUBORDINATE OFFICER|?|
1314||"(CONTINUED)
88.
135   CONTINUED:                                                  135"|unknown|||
1315||"The Captain nods. Isabel looks over at Hess, who is still
asleep."|location|||
1316||136   MOMENTS LATER                                               136|unknown|||
1317||"Isabel and the Captain are alone now. Giordano is looking
right into her eyes, with laser focus. There isn't even a
hint of lasciviousness about him. He's all business."|location|||
1318|ISABEL|...reason to believe these men...|speech|ISABEL|F|True
1319||"(lays out photos of Danny,
Rusty, and Toulour)"|unknown|||
1320|ISABEL|"...are going to try to steal the
Coronation Egg when it is actually
put on display next week. I need
official authorization to surveil
and pursue these suspected
criminals on Italian soil."|speech|ISABEL|F|True
1321|CAPTAIN GIORDANO|Yes, absolutely.|speech|CAPTAIN GIORDANO|F|True
1322|ISABEL|"And I'll need substantial resources
from your department. Can I count
on that?"|speech|ISABEL|F|True
1323|CAPTAIN GIORDANO|Yes, absolutely.|speech|CAPTAIN GIORDANO|F|True
1324||Isabel stops.   Starts to wonder.|location|||
1325|ISABEL|"So, Captain, what do you think of
my skirt?"|speech|ISABEL|F|True
1326||He smiles and looks at her.|location|||
1327|CAPTAIN GIORDANO|"I think it's very beautiful. Why,
don't you like it?"|speech|CAPTAIN GIORDANO|F|True
1328||137   EXT. ROME CAFE -- DAY                                       137|unknown|||
1329||"Danny and Toulour. A waiter brings them coffee, Danny SPOONS
in a lot of sugar, then stirs."|location|||
1330||"(CONTINUED)
89.
137   CONTINUED:                                               137"|unknown|||
1331|TOULOUR|"I don't usually call for a second
date. For you I make an exception."|speech|TOULOUR|M|True
1332|DANNY|Thanks.|speech|DANNY|M|True
1333|TOULOUR|"I think it's good that we talk. You
see, you should stop following me.
You're wasting your time. I'm going
to let you go first and get caught.
Then they will increase the
security even more, and then I will
steal the Egg. Then Lemarc can make
his decision."|speech|TOULOUR|M|True
1334|DANNY|You sound confident.|speech|DANNY|M|True
1335|TOULOUR|"Confident? This is a very American
word. I am arrogant. There's a
difference."|speech|TOULOUR|M|True
1336|DANNY|"Doesn't matter if you're that good.
Are you that good?"|speech|DANNY|M|True
1337|TOULOUR|I can move objects with my mind.|speech|TOULOUR|M|True
1338||Danny just looks at him.|location|||
1339|TOULOUR|You don't believe it?|speech|TOULOUR|M|True
1340|DANNY|Do you?|speech|DANNY|M|True
1341|TOULOUR|Are you done stirring your sugar?|speech|TOULOUR|M|True
1342||Danny stops, lifts the spoon. It's completely BENT.|location|||
1343|DANNY|That's fantastic.|speech|DANNY|M|True
1344||(starts to go)|unknown|||
1345|DANNY|"Listen, I appreciate the call, and,
best of luck."|speech|DANNY|M|True
1346||"(CONTINUED)
90.
137   CONTINUED: (2)                                            137"|unknown|||
1347|TOULOUR|"Danny. I'm serious. Sit down,
please."|speech|TOULOUR|M|True
1348||Danny site down and looks at him.|location|||
1349|DANNY|"You're telekinetic, is that what
you're telling me?"|speech|DANNY|M|True
1350|TOULOUR|"Yes. But...it's a curse. A
nightmare. Everything is too easy.
But then LeMarc says I'm still not
the best. So I take his challenge.
And you will fail, and I will win,
and so what? What does it prove?
What is he trying to show me?"|speech|TOULOUR|M|True
1351||Danny just looks at him.|location|||
1352||138   INT. CAPTAIN GIORDANO'S OFFICE -- DAY                     138|unknown|||
1353|CAPTAIN GIORDANO|"Ms. Lahiri, you're in Italy now.
We are a sovereign nation. We're
not some adjunct, some
administrative district of the EU.
When Europol calls we don't jump up
and tap dance for you. If you want
to work in Italy, then you have to
do it under Italian authority...and
that means you have to talk to
Commander Andriotti...who, I'm
sure, will be happy to meet with
you some time next week--"|speech|CAPTAIN GIORDANO|F|True
1354||ISABEL|unknown|||
1355|CAPTAIN GIORDANO|Next week!|speech|CAPTAIN GIORDANO|F|True
1356|CAPTAIN GIORDANO|--when he returns from vacation.|speech|CAPTAIN GIORDANO|F|True
1357||Isabel slumps back into her chair.   Stares up to the heavens.|location|||
1358||139   INT. POLICE HEADQUARTERS IN ROME, HALLWAY -- DAY          139|unknown|||
1359||Isabel and Hess walk.|location|||
1360||"(CONTINUED)
91.
139   CONTINUED:                                                139"|unknown|||
1361|HESS|"He said he has to get approval from
someone else and they're on sick
leave."|speech|HESS|M|True
1362||ISABEL|unknown|||
1363|HESS|Vacation.|speech|HESS|M|True
1364|HESS|Sorry I fell asleep.|speech|HESS|M|True
1365|ISABEL|We both did. I'm exhausted.|speech|ISABEL|F|True
1366||140   EXT. CAFE JUST OFF PIAZZA NAVONA -- DAY                   140|unknown|||
1367||"An exasperated Isabel tries to regain her equilibrium with a
cappuccino. A piece of music comes over the cafe loudspeaker
that catches Isabel's attention. A CHEESY WAVY SCREEN
TRANSITION TO:"|location|||
1368||141   ISABEL'S FLASHBACK                                        141|unknown|||
1369||"Years ago. Isabel's sitting at the very same cafe reading
the newspaper when she hears frantic police whistles. She
looks up to see a man running down the street at full bore.
As he gets closer we realize it's Rusty. Eight cops are
chasing him.
Rusty rushes past the cafe. As he does he notices Isabel,
they make eye contact. Then he's gone. Sprints around the
corner. The cops rush past her. She hears sirens converging
from all directions."|location|||
1370||142   INT. POLICE HEADQUARTERS (STILL IN FLASHBACK)             142|unknown|||
1371||Isabel shows her Europol identification to a detective.|location|||
1372|ISABEL|"Hi, this isn't official business.
Actually, I'm here on vacation. But
I was sitting in a cafe this
afternoon, near the Piazza Navona
and...the police were chasing
someone on foot. I was just
wondering if you caught him or...do
you know anything about that case?"|speech|ISABEL|F|True
1373||"(CONTINUED)
92.
142   CONTINUED:                                                   142"|unknown|||
