|character|text|type|character_clean|gender|principal_character
0||"OCEAN'S TWELVE
Written by
George Nolfi
ROUGH DRAFT
1    A MULTI-COLORED SCREEN                                      1
After a few introductory credits, we pull back to reveal the
source of this kaleidoscopic backdrop: A SINGLE, STRIPED
TULIP, planted in a long row of other tulips. A HAND reaches
in and pulls the tulip from the ground. We then cut to:
1A   A BASKET of tulips, carried by hand to a truck, where it    1A
is loaded with hundreds of other baskets. The door of the
truck is SHUT and we cut to:
1B   The door of the truck OPENING to reveal that the tulips    1B
are now boxed and crated. A forklift moves the crates onto a
wagon, which is driven by a MANNED CART across the biggest
warehouse on the planet, the Bloenen Markt (CHECK THIS--
steven) in Amsterdam, Netherlands. The cart and wagons we
were following disappear into a maze of synchronized
activity.
1C   The cart arrives in the AUCTION ROOM, which is             1C
constructed like an ampitheater: the buyers sit in a steeply
raked semi-circle, facing two giant, clock-shaped scoreboards
that display the bids on the flowers being viewed. The
striped tulips fetch a very high price.
1D   The carts of striped tulips are delivered to an automated 1D
sorting apparatus of enormous size and complexity. They end
up on a truck heading for the airport.
1E   The tulips are loaded onto a plane. During the transatlantic
flight, they sit nestled in the cargo hold.
1F   The tulips are unloaded from the plane, driven across an    1F
airport tarmac and loaded onto another plane.
1G   The tulips are unloaded from the plane and loaded onto a   1G
truck. The truck drives through a small town and pulls into
the back of a
2    EXT./INT. FLOWER SHOP -- DAY                                2
A YOUNG MAN takes delivery of the flowers and carries them
through the rear of the store to the display area up front.
We stay on the tulips as we hear the following conversation:
CUSTOMER"|unknown|||
1||Wow. How do they do that?|stage direction|||
2||"(CONTINUED)
2.
2   CONTINUED:                                                  2
OWNER
It's an accident. It means the
flower developed a virus early
in the bulb stage. The flaws
create the unusual coloring.
CUSTOMER
Can you arrange something for me
with those?
OWNER
Of course. What kind of price range
are you looking for?
Now we SEE the customer: TESS.
TESS
Well, it's for my parent's
anniversary. They don't know I'm
coming. I just want it to be
beautiful. Can you just do whatever
you think looks best?
OWNER
I'll need a few minutes.
TESS
Take your time, please. And thank
you.
The Owner moves toward a corner of the store where the
flowers are arranged. Tess walks around, looking at the rest
of the store.
Tess looks out the window. A black sedan is pulling up at the
curb.
OWNER
That should be some surprise.
TESS
Which?
OWNER
For your parents.
TESS
Oh. Yes. I hope so.
One of the POWER TWINS gets out of the driver's side door and
crosses in front of the car. Tess starts moving away from the
window.
(CONTINUED)
3.
2   CONTINUED: (2)                                               2
OWNER
Which one is it?
TESS
I'm sorry?
OWNER
Anniversary.
TESS
Oh. Fortieth
OWNER
Wow. Okay. I think I have an idea.
Something classic.
The Power Twin opens the rear passenger side door, revealing
TERRY BENEDICT.
Tess turns away from the window.
TESS
Do you have a bathroom?
OWNER
Straight back, on the left. It's
unisex.
TESS
Thank you.
Tess scurries to the back.
OWNER
(to Tess, a caveat)
It's unisex!
Tess flies past the bathroom and heads for the back door. She
pushes through it and runs right into Power Twin No. 2.
CUT TO:
3   EXT. HOUSE -- DAY                                           3
A nice place on the eastern seaboard. We hear the faint sound
of a phone ring.
4.
4   INT. HOUSE -- DAY                                             4
Danny Ocean picks up the receiver, checks the caller ID. He
smiles and answers:
DANNY
Miguel Diaz speaking.
Almost immediately, his expression clouds. He looks at his
watch.
DANNY (cont'd)
Tess, Tess. It's okay. You remember
what we talked about, if this
happened? All right. Call me in
twenty-four hours on that number.
He hangs up the phone and runs out of the house. He doesn't
take anything with him.
5   EXT. HOUSE -- DAY                                             5
Danny runs out of the house and down the street, leaving his
car in the driveway.
6   INT. CAR -- DAY                                               6
Tess, floral arrangement in her lap, sits in the car with
Benedict.
BENEDICT
The Baldwins.
TESS
What about them?
BENEDICT
We had dinner with them three years
ago. You talked about your parent's
anniversary.
She says nothing.
BENEDICT (cont'd)
I'm getting married next month.
TESS
So am I.
(CONTINUED)
5.
6    CONTINUED:                                                     6
A beat.
BENEDICT"|unknown|||
3||"Well, I hope Danny is as good as he
thinks he is. A bouquet toss in
prison can get pretty ugly."|stage direction|||
4||"7    INT. BANK VAULT -- DAY                                        7
Danny takes a safe deposit box out of a wall, He opens the
box, revealing a CELL PHONE and some CASH.
8    EXT. TRAIN STATION (NOT A BIG ONE) -- DAY                     8
Danny boards a train.
9    INT. AMTRAK TRAIN -- DAY                                      9
The landscape hurtles by. We pan over to find Danny sitting
next to the window. We continue to pan and find REUBEN
TISHKOFF seated next to a group of male commuters."|unknown|||
5||(over)|unknown|||
6||"I really think you're being too
sensitive. She's crazy about you. I
can tell."|stage direction|||
7||"10   INT. SPA -- DAY                                              10
REUBEN lies in a mud bath, his face covered with a dried
exfoliating ""mask"" treatment. There is a cigar in one hand
and a cellphone in the other. His eyes are closed to the sun."|unknown|||
8||"Joyce, she's ninety-two. I'm all
she has left."|stage direction|||
9||(beat)|unknown|||
10||"The wheelchair thing was an
accident, she's having some trouble
with the joystick. I'll adjust it."|stage direction|||
11||(beat)|unknown|||
12||"I told you, when her mouth hangs
open like that, that means she's
happy."|stage direction|||
13||(beat)|unknown|||
14||I am. When are you coming over?|stage direction|||
15||(beat)|unknown|||
16||"(CONTINUED)
6.
10   CONTINUED:                                                    10"|unknown|||
17||"You're tired because you work too
much. You don't have to work all
the time. Don't you want to take a
break? Those trays look so heavy."|stage direction|||
18||(beat)|unknown|||
19||Of course. How could you ask that?|stage direction|||
20||(beat)|unknown|||
21||"Because when I heard you laugh, all
my problems disappeared."|stage direction|||
22||"A SHADOW crosses over Reuben's face, and Reuben squints open
one eye. There, with the sun like an aura behind his head, is
TERRY BENEDICT.
11   INT. AMTRAK TRAIN -- DAY                                    11
Reuben is handed a bloody mary by the porter, who then
continues on, bringing a glass of white wine to THE AMAZING
YEN.
12   INT. POOL -- DAY                                            12
Yen swims a strong, steady freestyle. Pull back to reveal
that he is swimming in a 9' by 5' ""Endless Pool"" in his 15th
floor Shanghai apartment.
A HAND MOVES INTO FRAME and turns off the water current. Yen
immediately slams into the end of his jacuzzi-sized pool. He
lifts his head out of the water to SEE the POWER TWINS
standing ""poolside.""
He spits out a stream of invective, in Chinese. The Power
Twins look at each other.
13   INT. AMTRAK TRAIN -- DAY                                    13
Yen sets his magazine down and heads for the bathroom, where
TURK and VIRGIL MALLOY are waiting in line.
TURK"|unknown|||
23||The opening doesn't work.|stage direction|||
24||VIRGIL|unknown|||
25||Duh.|stage direction|||
26||TURK|unknown|||
27||"She shouldn't have the same dream
as Franklin. He's the antagonist."|stage direction|||
28||"(CONTINUED)
7.
13   CONTINUED:                                                13
VIRGIL"|unknown|||
29||It was your idea.|stage direction|||
30||TURK|unknown|||
31||No it wasn't.|stage direction|||
32||VIRGIL|unknown|||
33||"Well, it wasn't mine. It couldn't
be; it's too stupid."|stage direction|||
34||TURK|unknown|||
35||"Why do you do that? why do you have
to get personal?"|stage direction|||
36||VIRGIL|unknown|||
37||It's not personal, it's a fact.|stage direction|||
38||"14   INT. YOGA STUDIO -- DAY                                   14
VIRGIL and TURK MALLOY, in GTX lycra yoga gear lead a class
(mostly female) through the vinyassa. The studio is mirrored
on three sides.
TURK"|unknown|||
39||"It's personal. You don't argue
logically. You attack."|stage direction|||
40||(to the class)|unknown|||
41||"Bring the right foot back even with
the left, buttocks raised high...."|stage direction|||
42||(to Virgil)|unknown|||
43||"...you have to have reasons, to
support your argument..."|stage direction|||
44||(to the class)|unknown|||
45||"...flattening the back so the body
forms a triangle."|stage direction|||
46||VIRGIL|unknown|||
47||"I can't listen to you anymore. It
makes me physically sick."|stage direction|||
48||"Turk looks to him, but also sees a GUY in the class staring
at all of the women ""raising their buttocks high"". He
indicates this to Virgil, who goes over to the guy.
TURK"|unknown|||
49||"Relax the crown of the head toward
the floor. Draw the hips away from
the hands, len--gthening the spine.
And press the heels toward the floor."|stage direction|||
50||"(CONTINUED)
8.
14   CONTINUED:                                                14
Virgil steps on the guy's back and leans down to whisper in
his ear.
VIRGIL
This a serious class. No pigs
allowed. Okay?
GUY
Sorry.
TURK
Virge.
Virgil stands up. Benedict and the Power Twins are standing
right behind him. His expression changes as he sees them in
the mirror.
15   INT. AMTRAK TRAIN -- DAY                                  15
The Malloys and Yen are still waiting for the bathroom.
TURK
You're hallucinating.
VIRGIL
Yeah, whatever, OJ.
Finally, the lock OPENS and RUSTY RYAN exits. We follow him
to his seat, where he puts on a pair of headphones.
16   TIGHT SHOT                                                16
Of molten metal bubbling in a small iron cask, a jeweler's
cask. MOVE to REVEAL a GARAGE filled mostly with cars in some
state of restoration
FIND RUSTY as he painstakingly works on a new piece that is
just BELOW FRAME. Whatever it is, it is clearly getting to
him. He shakes his head; it's not right. It's just not good
enough. Rusty glances at the digital thermometer attached to
the cask of molten metal. It reads: 736.18 degrees.
RUSTY
You are kidding me.
9.
17   INT. RUSTY'S CAR -- DAY                                     17
Rusty glances in his rearview as he drives through the city
talking on his cell phone. He's keeping an eye on a white
Cadillac that seem to be following him.
RUSTY"|unknown|||
51||"736.18 degrees Fahrenheit, Felix.
I watched it."|stage direction|||
52||FELIX (TELEPHONE V.O.)|unknown|||
53||Rusty. What do you want from me?|stage direction|||
54||"Rusty turns a corner, then glances in his rearview again.
RUSTY"|unknown|||
55||I want what I paid for.|stage direction|||
56||FELIX|unknown|||
57||And that's what I sent.|stage direction|||
58||RUSTY|unknown|||
59||"No, Felix, no. I paid for pure. And
if my workshop were on top of Mount
Everest it would be pure. But I'm
at sea level, Felix, and at sea
level it should liquefy at 736.95.
If it's pure, that is. Which this
isn't."|stage direction|||
60||"Rusty makes another turn. A few seconds later, the Cadillac
turns behind him.
FELIX (TELEPHONE V.O.)"|unknown|||
61||"Well, I didn't know you were going
to liquefy it."|stage direction|||
62||"Rusty pulls to a stop light. The Cadillac pulls up three cars
behind him.
RUSTY"|unknown|||
63||"Let me ask you something: When
Christo calls his cotton supplier
and asks for 100% cotton cloth, do
you think his supplier sends him
98% cotton and 2% polyester and
when that doesn't work, says to
Christo, ""Well, you should have
told me you were going to wrap the
coast of Australia""?"|stage direction|||
64||"(CONTINUED)
10.
17   CONTINUED:                                                 17
FELIX"|unknown|||
65||Who's Christo?|stage direction|||
66||"Rusty looks to the heavens.
RUSTY"|unknown|||
67||"Felix, you're in a shame spiral.
Have your assistant lose my number."|stage direction|||
68||"Rusty snaps his phone shut.
RUSTY (cont'd)"|unknown|||
69||My god.|stage direction|||
70||"Rusty looks into the rear view mirror and then slows the car
to a stop. He gets out of his car and slams the door shut.
He walks back to the Cadillac and knocks on the window. It
rolls down electronically to reveal Benedict.
RUSTY (contd)"|unknown|||
71||How long you gonna give us?|stage direction|||
72||"18   INT. AMTRAK TRAIN -- DAY                                  18
Rusty continues to listen to his headset. We pan over to see
FRANK CATTON seated opposite him.
19   INT. RITZ CARLTON HOTEL, NEW YORK -- DAY                  19
The penthouse apartment. It takes the entire floor and has a
360 degree view. Right now, all of the furniture inside of it
is being taken away by movers. Frank enters frame.
BENEDICT"|unknown|||
73||Four weeks.|stage direction|||
74||FRANK|unknown|||
75||"We stole that money fair and
square. You bought people off to
find me. You took advantage during
an economic downturn, and made them
say some shit they shouldn't have
said. It's not fair, it's not just,
and it aint' cool."|stage direction|||
76||"A long beat. Benedict stares back at him.
FRANK (cont'd)"|unknown|||
77||Did you hear what I just said?|stage direction|||
78||"(CONTINUED)
11.
19    CONTINUED:                                                   19"|unknown|||
79|BENEDICT|"I heard what you said, Frank. Did
you hear what I said?"|speech|BENEDICT|M|
80||Frank looks at Benedict and the Power Twins.|location|||
81||20.   INT. AMTRAK TRAIN -- DAY                                    20|unknown|||
82||Frank takes us to Livingston.|location|||
83||21    INT. STAGE -- NIGHT                                         21|unknown|||
84||Livingston performs a stand-up routine.|location|||
85|LIVINGSTON|"How many people here tonight were
stupid enough to have children?"|speech|LIVINGSTON|M|True
86||A few people raise their hands.|location|||
87|LIVINGSTON (cont'd)|"Wow. No, seriously, that's great. I
have a child. A daughter. She's
five. They get to you, right? Am I
right? Like emotionally. I mean,
sometimes she'll turn to me with
her little face and her little
shiny eyes, and she'll say, ""Daddy,
please stop hitting me,"" and it
just breaks my heart.'"|speech|LIVINGSTON|M|True
88||People aren't sure what to make of this.|location|||
89|LIVINGSTON (cont'd)|"I'm Livingston Dell. Thanks for
listening. See you at ten."|speech|LIVINGSTON|M|True
90||"Livingston strides off stage as we see that he is at the
Bellagio, in the lounge. Benedict and the Power Twins are
waiting for him. Somehow he isn't surprised."|location|||
91||(to Benedict)|unknown|||
92|LIVINGSTON (cont'd)|"I appreciate you letting me finish
my run. You've been very patient."|speech|LIVINGSTON|M|True
93|BENEDICT|What can I say? You're a funny guy.|speech|BENEDICT|M|
94||"12.
22   INT. AMTRAK TRAIN -- DAY                                  22
Livingston takes us to Saul Bloom, reading the Racing Form.
23   INT. THE WASPIEST IMAGINABLE MEN'S CLUB -- DAY            23
All dark wood and oriental rugs. MOVE across a row of oil
paintings that flatter stodgy club members from the 1800s to
the present. Land on Saul, sitting in window light that
mimics the aforementioned portraits.
SAUL"|unknown|||
95||"What it is about horses? I ask you.
Is it the strength? The beauty? The
fearlessness? The grace? Of course.
But there's something else.
Something in the eyes."|stage direction|||
96||"The person with him nods.
SAUL (cont'd)"|unknown|||
97||"Yes. When I look into a horse's
eyes, I can tell: This one's a
winner."|stage direction|||
98||"A jacketed WAITER appears, holding a tray.
WAITER"|unknown|||
99||Excuse me, Mr. Bloom?|stage direction|||
100||SAUL|unknown|||
101||Yes?|stage direction|||
102||"There appears to be a problem with
your card."|stage direction|||
103||"The waiter tips the tray to reveal Saul's credit card, which
has been CUT INTO TINY PIECES. Without missing a beat, he
reaches for his wallet.
SAUL"|unknown|||
104||You take Visa?|stage direction|||
105||WAITER|unknown|||
106||"I was acting on instructions from
your business manager."|stage direction|||
107||SAUL|unknown|||
108||My business manager?|stage direction|||
109||"(CONTINUED)
13.
23   CONTINUED:                                                   23
WAITER"|unknown|||
110||Mr. Benedict.|stage direction|||
111||"24   INT. AMTRAK TRAIN -- DAY                                    24
Saul leads us to Basher.
25   INT. RECORDING STUDIO -- NIGHT                              25
Basher is putting the finishing touches on a song. A producer
and engineer sit behind a huge mixing console. It's good--
Basher's really got something going here.
26   INT. RECORDING BOOTH -- MOMENTS LATER                       26
Basher is leaning over a thick legal document, and Benedict
is leaning over him. The music has been turned off.
BENEDICT"|unknown|||
112||"Look at it this way...Eugene....if
the album goes platinum it'll cover
what you owe. And if the second one
goes gold, that should cover the
interest."|stage direction|||
113||"27   INT. AMTRAK TRAIN -- DAY                                    27
Basher takes us to Linus.
28   INT. CAR -- DAY                                             28
Linus looking from the front seat to the back, talking to
Benedict.
LINUS"|unknown|||
114||"I'm responsible for myself. I have
my own life and my own plans. I've
never asked for anything but a fair
shake. We make a deal, I stick to
the deal."|stage direction|||
115||"He turns forward, thinking. Then after a beat, he turns back
to Benedict.
(CONTINUED)
14.
28   CONTINUED:                                                    28
LINUS (cont'd)"|unknown|||
116||"I just need to be absolutely clear
that we have an understanding: If
you contact my father, I'll kill
myself, and you'll never get the
rest of your money."|stage direction|||
117||"Benedict nods. Linus turns forward and exhales, relieved.
29   INT. AMTRAK TRAIN -- DAY                                     29
Linus takes us back to Danny. The train hurtles onward.
CUT TO:
30   ABSOLUTE BEDLAM                                              30
Reuben, Yen, the Malloys, Frank, Livingston, Saul, Basher,
and Linus are all talking at once -- right at us. Right at
Danny. And they are not happy.
The group is in an abandoned WAREHOUSE somewhere near NYC.
Danny is overwhelmed, like a deer caught in the headlights.
He throws a desperate glance at Rusty, who's looking out the
window serenely, letting Danny flounder.
31   MOMENTS LATER                                                31
Total silence. Everyone just stares at Danny, waiting for an
answer.
DANNY"|unknown|||
118||How many can't make the deadline?|stage direction|||
119||"Everyone raises their hands except Reuben.
REUBEN
(off their looks)"|unknown|||
120||"So I'm smarter than those schmucks
on Wall Street. Whose fault is that?"|stage direction|||
121||"Fair enough.
DANNY"|unknown|||
122||"How many think if they run, they'll
be found?"|stage direction|||
123||"(CONTINUED)
15.
31   CONTINUED:                                                   31
Everyone raises their hands. Including Reuben. Danny gets up,
walks over to Rusty.
The rest of the guys shrug and begin talking amongst
themselves.
After a long beat.
DANNY (cont'd)"|unknown|||
124||Well, the only other--|stage direction|||
125||RUSTY|unknown|||
126||We're on the five o'clock.|stage direction|||
127||DANNY|unknown|||
128||Good.|stage direction|||
129||"A beat.
DANNY (cont'd)"|unknown|||
130||Where?|stage direction|||
131||RUSTY|unknown|||
132||Amsterdam.|stage direction|||
133||"Danny steps back.
DANNY"|unknown|||
134||AMSTERDAM!?|stage direction|||
135||"Danny's tone draws everyone's attention. Noticing this, Danny
and Rusty move into a nearby dilapidated office doorway.
The guys go back to talking, mostly about what they were
doing when they were found. This rises steadily in volume
until the din is obliterated by a LOUD VOICE:
DANNY (cont'd)"|unknown|||
136||"I'M TELLING YOU THIS IS A DEATH
SENTENCE!"|stage direction|||
137||RUSTY|unknown|||
138||FINE, THEN STAY HERE!|stage direction|||
139||"The guys exchange glances. Danny walks over to them and
sighs.
CUT TO:
16.
32   INT. AIRPORT TERMINAL -- TICKETING AREA                   32
Livingston hands his passport to a KLM AGENT.
LIVINGSTON"|unknown|||
140||Flight 144 to Amsterdam.|stage direction|||
141||"JUMP CUT TO the agent handing Livingston his boarding pass.
KLM AGENT"|unknown|||
142||"You're in seat 43J. Enjoy your
flight."|stage direction|||
143||LIVINGSTON|unknown|||
144||"Uh...there must be some mistake. I
mean...unless...is your first class
section in the back of the plane?"|stage direction|||
145||"The agent looks back at him, confused.
KLM AGENT"|unknown|||
146||No.|stage direction|||
147||"JUMP CUT TO the agent handing Linus his boarding pass:
KLM AGENT (cont'd)"|unknown|||
148||32E.|stage direction|||
149||"CUT TO the agent handing Virgil and Turk their tickets.
KLM AGENT (contd)"|unknown|||
150||41C and D.|stage direction|||
151||"JUMP CUT TO the agent handing Saul his boarding pass:
KLM AGENT (cont'd)"|unknown|||
152||55K.|stage direction|||
153||SAUL|unknown|||
154||"Fifty-five K? There's a fifty-five
K?"|stage direction|||
155||KLM AGENT|unknown|||
156||"We've increased capacity by
employing advanced design
technology."|stage direction|||
157||SAUL|unknown|||
158||"You made the seats smaller. Can you
just say that? You made the seats
smaller."|stage direction|||
159||"(CONTINUED)
17.
32   CONTINUED:                                                 32
JUMP CUT to show Frank:
FRANK"|unknown|||
160||"See, you're not hearing me. What
I'm trying to tell you is the
reservations agent made a mistake
when she issued the ticket, because
on the rare occasions that I fly
commercially, I always book a first-
class ticket with no restrictions--"|stage direction|||
161||"The desk agent looks back at him skeptically.
KLM AGENT"|unknown|||
162||"She may have, air, but this is the
only ticket available to you on
this flight. I need you to step
aside so I can take care of the
next customer."|stage direction|||
163||FRANK|unknown|||
164||"Now, listen: Don't make me get
black."|stage direction|||
165||"33   INT. SECURITY AREA                                        33
Frank stands with his arm outstretched, shoes and belt off.
Two TSA officers run metal detecting wands over every inch of
his body. Three more guys pick through his luggage: they
squeeze toothpaste from his Sensodyne tube, sniff his hair
products, unroll his ""tighty-whitey"" briefs....
PAN to REVEAL that Basher is getting the exact same
treatment, right next to him. They exchange looks.
REVERSE ANGLE: the rest of the group stands sipping iced
lattes from Starbucks and watching the show. Reuben walks up."|unknown|||
166||Reuben.|stage direction|||
167||REUBEN|unknown|||
168||"I wanted to wish you luck. And
listen: I want to do something
for you."|stage direction|||
169||"Reuben hands Danny an envelope.
DANNY"|unknown|||
170||What's this?|stage direction|||
171||"(CONTINUED)
18.
33   CONTINUED:                                                   33
REUBEN"|unknown|||
172||"Take it. Take it. This is the
least I can do. I've got a friend
who owns the Bellagio of Amsterdam
and I've made reservations for all
of you there. It's all taken care
of."|stage direction|||
173||RUSTY|unknown|||
174||That's very touching, Reuben.|stage direction|||
175||REUBEN|unknown|||
176||"It's the least I could do. I love
you guys. Enjoy."|stage direction|||
177||"Yen says something in Chinese.
REUBEN (cont'd)"|unknown|||
178||No, thank you.|stage direction|||
179||"34   INT. 747 -- NIGHT                                           34
Yen sits in First Class, playing an in-seat video. Virgil and
Turk kneel on either side, watching his progress.
VIRGIL"|unknown|||
180||Nice.|stage direction|||
181||TURK|unknown|||
182||Great anticipation.|stage direction|||
183||FLIGHT ATTENDANT|unknown|||
184||"Gentlemen, you'll have to go back
to your seats now."|stage direction|||
185||"Reluctantly, they do. We follow them back to coach, where
they pass Linus, talking to himself."|unknown|||
186||"Ground level. First floor. Day one.
Planning stages."|stage direction|||
187||(beat)|unknown|||
188||Planning stages.|stage direction|||
189||"We move on to find Livingston, who grabs Turk by the arm.
LIVINGSTON"|unknown|||
190||How'd he get that seat?|stage direction|||
191||TURK|unknown|||
192||What seat?|stage direction|||
193||"(CONTINUED)
19.
34   CONTINUED:                                                    34
Turk moves on, taking us past a sleeping Saul and landing on
Danny and Rusty, who watch a movie with fixed expressions. A
reverse angle shows us that the video screen is twenty rows
away--it is impossible to discern any detail at all. Rusty
takes his headphones off and exhales. Danny notices this and
does the same. After a beat:
RUSTY"|unknown|||
194||"Call me an elitist asshole, call me
a bourgeois clown, call me anything
you want, but 'economy' is
bullshit."|stage direction|||
195||DANNY|unknown|||
196||Oh, I don't know...it's not that ba-|stage direction|||
197||"The guy in front of Danny moves his seat back suddenly and
spills Danny's drink all over Danny's lap.
Linus approaches Danny and Rusty.
LINUS"|unknown|||
198||Hey. You guys have a minute?|stage direction|||
199||DANNY|unknown|||
200||Sure, Linus.|stage direction|||
201||RUSTY|unknown|||
202||What's on your mind?|stage direction|||
203||LINUS|unknown|||
204||"Well, I know this may not be the
exact right time to bring this up,
but I've been thinking
about...well, about where I want to
be in five years, career-wise, and
I've decided I really want to be
more than just a role-player. I
really see myself as kind of an
idea man, like you guys. I mean, I
know you do your part and you're in
the trenches with us and all, but
it's really your show, and like I
said, five years from now, I want
to be running my own show...."|stage direction|||
205||"Danny and Rusty exchange a look...then look back at Linus.
DANNY                            RUSTY
Uh-huh.                          Right.
(CONTINUED)
20.
34   CONTINUED: (2)                                           34
LINUS"|unknown|||
206||"So if there's any opportunity for
me to be involved in the, you know,
planning stages of things, I would
really appreciate it. I really feel
like I'm ready for more
responsibility and that I could
really make a contribution."|stage direction|||
207||"Rusty turns to Danny.
RUSTY"|unknown|||
208||Are you thinking what I'm thinking?|stage direction|||
209||DANNY|unknown|||
210||Evelyn.|stage direction|||
211||"RUSTY
(to Linus)"|unknown|||
212||"We're negotiating the terms with
her tomorrow. You feel up to
taking the lead?"|stage direction|||
213||LINUS|unknown|||
214||Are you serious?|stage direction|||
215||DANNY|unknown|||
216||Absolutely.|stage direction|||
217||LINUS|unknown|||
218||This isn't some gag?|stage direction|||
219||RUSTY|unknown|||
220||No gag.|stage direction|||
221||LINUS|unknown|||
222||Wow. Yeah. That would be awesome.|stage direction|||
223||DANNY|unknown|||
224||Okay, then.|stage direction|||
225||LINUS|unknown|||
226||"Man. I wasn't sure if I should say
anything. Now I'm glad I did."|stage direction|||
227||DANNY|unknown|||
228||So are we.|stage direction|||
229||RUSTY|unknown|||
230||We're here to listen.|stage direction|||
231||"(CONTINUED)
21.
34   CONTINUED: (3)                                               34
LINUS"|unknown|||
232||"Great. Thanks. Really. You won't
regret this."|stage direction|||
233||"Linus leaves. Danny and Rusty put their headphones back on.
Now they look content.
Basher and Frank watch Linus go.
BASHER"|unknown|||
234||Tom.|stage direction|||
235||SAUL|unknown|||
236||He can be a Tom?|stage direction|||
237||BASHER|unknown|||
238||Anybody can be a Tom.|stage direction|||
239||"You gotta make your own
opportunities. This ain't a
rehearsal."|stage direction|||
240||BASHER|unknown|||
241||Tom.|stage direction|||
242||"Saul chews his economy class trail mix.
SAUL"|unknown|||
243||Boy, you're tough.|stage direction|||
244||BASHER|unknown|||
245||"Stop calling me ""boy""."|stage direction|||
246||"Saul stops chewing. They look at each other.
CUT TO:
35   EXT. AMSTERDAM -- DAY                                        35
Establishing shots of the city.
36   EXT. RED LIGHT DISTRICT -- DAY                               36
The group makes their way down a damp cobblestone street.
They stop in front of a window and look up.
REVERSE ANGLE
(CONTINUED)
22.
36   CONTINUED:                                                   36
They have stopped in front of a narrow townhouse that has
been converted to a hotel. The sign says ""Bellagio of
Amsterdam.""
37   INT. BELLAGIO OF AMSTERDAM -- DAY                             37
A single room with 12 bunks in it. Their noses are wrinkled
up because the place stinks.
LIVINGSTON"|unknown|||
247||How could he lie to us like that?|stage direction|||
248||RUSTY|unknown|||
249||"The sign said 'the Bellagio of
Amsterdam'."|stage direction|||
250||"Everyone looks at each other and turns to leave.
LINUS (?)"|unknown|||
251||Wait a minute. That's it?|stage direction|||
252||DANNY|unknown|||
253||Yeah.|stage direction|||
254||LINUS|unknown|||
255||"Look, you guys no frills, no perks,
run-and-gun, all that stuff, and I
said no problem because I believed
you were right that we shouldn't go
deeper into debt and spend money we
don't have. I mean, am I the only
one who thinks this might actually
be a good thing? That we could use
a little humility? That maybe we
were a little too pleased and
impressed with ourselves after the
Benedict job? Okay, I grant you
that maybe this isn't what we
deserve, but maybe it's what we
need. We can do this. No, I take it
back: We have to do this."|stage direction|||
256||"A long beat.
CUT TO:
38   EXT. AMSTERDAM'S FINEST FIVE-STAR HOTEL                       38
Four black mercedes skid to a stop outside Amsterdam's finest
five-star hotel.
(CONTINUED)
23.
38   CONTINUED:                                                    38
Everyone emerges with big smiles on their faces. Everyone
except Linus. He scowls, yanks his bag back from the hotel
doorman who rushed over to take it for him.
39   EXT. CONVENIENCE STORE, UNITED STATES -- DAY                 39
Tess enters and buys a phone card.
40   EXT. PHONE BOOTH -- DAY                                      40
Tess talks to Danny. Across the street, a BLACK SEDAN is
parked.
TESS"|unknown|||
257||What are you doing in Amsterdam?|stage direction|||
258||DANNY (PHONE V.O)|unknown|||
259||"Only what I have to do to get
Benedict off our backs."|stage direction|||
260||TESS|unknown|||
261||Be careful, Danny. Please.|stage direction|||
262||DANNY|unknown|||
263||How's work?|stage direction|||
264||TESS|unknown|||
265||It's the same. I'm distracted.|stage direction|||
266||DANNY|unknown|||
267||I'm sorry.|stage direction|||
268||TESS|unknown|||
269||It's not your fault.|stage direction|||
270||DANNY (TELEPHONE V.O.)|unknown|||
271||"I keep trying to figure out what I
did wrong. How did he find us?"|stage direction|||
272||"Tess can't bring herself to tell Danny the truth, that it was
entirely her fault.
TESS"|unknown|||
273||"Danny, don't keep thinking about
it."|stage direction|||
274||DANNY (TELEPHONE V.O.)|unknown|||
275||"I did something wrong. He should
never have found us."|stage direction|||
276||"(CONTINUED)
24.
40   CONTINUED:                                                   40
TESS"|unknown|||
277||I'll call you tomorrow. I love you.|stage direction|||
278||DANNY|unknown|||
279||I love you.|stage direction|||
280||"41   INT. AMSTERDAM HOTEL SUITE -- NIGHT                          41
Danny hangs up the phone and site.
CUT TO:
42   INT. HOTEL -- NIGHT                                          42
In other rooms, the guys get themselves settled in. Each
takes a step toward personalizing their suite.
43   EXT. AMSTERDAM COFFEE HOUSE -- DAY                           43
Danny and Rusty lead an obviously eager Linus towards a
coffee house.
RUSTY"|unknown|||
281||"She'll try and use her looks to
distract you. Don't let her."|stage direction|||
282||DANNY|unknown|||
283||Be polite, but firm.|stage direction|||
284||LINUS|unknown|||
285||Right.|stage direction|||
286||RUSTY|unknown|||
287||"Don't get soft on us. Don't make
too many concessions."|stage direction|||
288||LINUS|unknown|||
289||I won't.|stage direction|||
290||"Danny and Rusty nod. Okay.
44   INT. COFFEE HOUSE -- CLOSE ON EVELYN.                        44
Who is obviously a MAN IN DRAG.
Linus looks to Danny and Rusty but they give him nothing.
(CONTINUED)
25.
44   CONTINUED:                                                    44
EVELYN"|unknown|||
291||"The onset of summer is like a woman
who owns too many shoes."|stage direction|||
292||"She/He looks to Linus, who looks to Danny and Rusty.
DANNY
(bailing Linus out)"|unknown|||
293||"If animals were capable of
flattery, the World Bank would be
open until 8pm."|stage direction|||
294||EVELYN|unknown|||
