|text|type
182|65.|stage direction
183|INT. MINE - END OF TUNNEL|location
184|INT./EXT. NEST HELICOPTER|location
185|EXT. 4WD TRAIL|location
186|INT. HUMVEE|location
187|EXT. 4WD TRAIL|location
188|INT. MINE - END OF TUNNEL|location
189|66.|stage direction
190|EXT. 4WD TRAIL|location
191|INT. MINE - END OF TUNNEL|location
192|EXT. 4WD TRAIL|location
193|67.|stage direction
194|INT. NEST HELICOPTER|location
195|EXT. COLORADO RIVER RIVER BANK|location
196|INT. MCMURRAN CONTROL ROOM|location
197|EXT. 4WD TRAIL|location
198|EXT. COLORADO RIVER - RIVER BANK|location
199|INT. MCMURRAN CONTROL ROOM|location
200|EXT. 4WD TRAIL|location
201|INT. MCMURRAN CONTROL ROOM|location
202|68.|stage direction
203|INT. PENTAGON -- SITUATION ROOM|location
204|EXT. 4WD TRAIL|location
205|69.|stage direction
206|EXT. COLORADO RIVER - RIVER BANK|location
207|70.|stage direction
208|71.|stage direction
209|EXT. 4WD TRAIL|location
210|EXT. COLORADO RIVER - RIVERBANK TRAIL|location
211|72.|stage direction
212|73.|stage direction
213|EXT. LAKE POWELL - TRANSFER POINT|location
214|74.|stage direction
215|INT. PENTAGON - SITUATION ROOM|location
216|EXT. LAKE POWELL|location
217|EXT. LAKE POWELL - TRANSFER POINT|location
218|75.|stage direction
219|INT. PENTAGON SITUATION ROOM|location
220|EXT. LAKE POWELL - MARINA|location
221|76.|stage direction
222|EXT./INT. WILKINS' HELICOPTER - IN FLIGHT|location
223|INT. TRUCK|location
224|INT. WILKINS' HELICOPTER|location
225|77.|stage direction
226|INT. TRUCK|location
227|78.|stage direction
228|INT. WILKIN'S HELICOPTER|location
229|EXT. TRAIN|location
230|79.|stage direction
231|INT. WILKINS' HELICOPTER|location
232|80.|stage direction
233|EXT. TRAIN|location
234|INT. TRAIN ENGINE - DRIVER'S COMPARTMENT|location
235|INT. TRAIN ENGINE ENGINE AREA|location
236|INT. DRIVER'S COMPARTMENT|location
237|81.|stage direction
238|INT. TRAIN ENGINE - ENGINE AREA|location
239|EXT. TRAIN - BETWEEN ENGINE AND BOXCAR|location
240|EXT. GAS STATION AND MINI-MART|location
241|INT. NUKE BOXCAR|location
242|82.|stage direction
243|83.|stage direction
244|INT. PENTAGON SITUATION ROOM|location
245|INT. NUKE BOXCAR|location
246|84.|stage direction
247|EXT. TRAIN|location
248|85.|stage direction
249|INT. NUKE BOXCAR|location
250|EXT. TRAIN - CABOOSE|location
251|INT. HELICOPTER|location
252|86.|stage direction
253|EXT. TRAIN|location
254|87.|stage direction
255|88.|stage direction
256|89.|stage direction
257|EXT. CAR CARRIER|location
258|EXT. WILKINS' HELICOPTER - BESIDE TRAIN TRACKS|location
259|INT. TRAIN ENGINE - DRIVER'S COMPARTMENT|location
260|INT. BOXCAR|location
261|EXT. ON TOP OF BOXCAR|location
262|90.|stage direction
263|INT. BOXCAR|location
264|EXT. CAR CARRIER|location
265|EXT. ROOF OF TRAIN|location
266|91.|stage direction
267|92.|stage direction
268|EXT. CAR CARRIER|location
269|INT. NUKE BOXCAR|location
270|93.|stage direction
271|EXT. CAR CARRIER|location
272|INT. BOXCAR|location
273|94.|stage direction
274|EXT. TRAIN|location
275|INT. BOXCAR|location
276|EXT. THE TRAIN AXLE|location
277|INT. BOXCAR|location
278|95.|stage direction
279|EXT. TRAIN|location
280|INT. BOXCAR|location
281|EXT. THE TRAIN|location
282|INT. BOXCAR|location
283|96.|stage direction
284|97.|stage direction
285|EXT. TRAIN TRACKS|location
286|98.|stage direction
287|99.|stage direction
