|character|text|type|character_clean|gender
48|KAREN|"(yelling above Claire)
Did you talk to her? Tell me you talked
to her. God! I have to do everything!
Just get Claire to ballet. She's late."|speech|KAREN|F
49|BOB|Well, I really have to finish my--|speech|BOB|M
50|KAREN|"Your little article for the ""Web""
magazine, Bob?"|speech|KAREN|F
51|(MORE)|"""wild Hogs"" writers first draft 7/06/05 6."|speech||
52|KAREN (CONT'D)|"I have a shareholder meeting. And we
agreed that my career would be the
priority, and you would work out of the
house. You might not like it, but my job
is higher paying. And I don't see you
complaining about that hundred dollar
shirt you're wearing.
Bob looks down at his too-hip dress shirt."|speech|KAREN|F
53|BOB|"You bought this shirt for me. I was fine
with my t-shirts--"|speech|BOB|M
54|KAREN|"Oh, you don't like the shirt now? Fine.
Take it off."|speech|KAREN|F
55|BOB|What?|speech|BOB|M
56|KAREN|"Take it off! You don't want to wear nice
things, don't. Off!
Bob sighs and takes the shirt off. Karen snatches it
from him."|speech|KAREN|F
57|KAREN (CONT'D)|"Now take Claire to her ballet class.
It's starts in five minutes."|speech|KAREN|F
58|BOB|Well, I have to get another--|speech|BOB|M
59|KAREN|"Go! Five minutes!
Karen pushes Bob out the door, with Claire skipping
happily behind him."|speech|KAREN|F
60||INT. BOB'S CAR - A MOMENT LATER|location||
61|KAREN|"Bob sits in the car, SHIRTLESS, next to Claire. He looks
over at her, and notices a pink hoodie in her lap."|speech|KAREN|F
62|BOB|You going to wear that?|speech|BOB|M
63|CLAIRE|"For five dollars, I'm not.
Bob sighs and reaches for his wallet.
""Wild Hogs"" writers first draft 7/06/05 7."|speech|CLAIRE|F
64||INT. CHILDREN'S DANCE STUDIO - FIVE MINUTES LATER|location||
65|CLAIRE|"A bunch of kids in dance leotards are starting a class.
Claire comes running into the group, as Bob enters behind
her, wearing the pink hoodie. It's way too small, and
doesn't quite cover his belly. He sits with the parents
and nods awkwardly to them. It's embarrassing.
FADE TO BLACK:
FADE BACK IN ON:"|speech|CLAIRE|F
66||INT. MODERN HOUSE - MORNING|location||
67|CLAIRE|"We see the pristine living room of an expensive,
architectural house.
MALE VOICE (O.C.)
Woody."|speech|CLAIRE|F
68|(GETTING ANGRY)|"Woody Stevens!
We see WOODY STEVENS, 40s, handsome, but with shifty eyes
and a Michael Keaton hairline, walk through the stylish
house speaking into a cordless headset."|speech||
69|WOODY|".No, you listen to me. You're not
going to push me around. We agreed on a
price, and that's the price I'll pay. If
you don't like it, walk away... but you
can kiss your business good bye, because
that's what happens when you screw with
Woody Stevens. You go down. Hard.
As Woody talks, he passes by framed magazine covers of a
beautiful model, (CLAUDIA) as well as some pictures of"|speech|WOODY|M
70||"his wedding day with her, their exotic vacations, and one
blownup glamour shot of Woody, shirtless, oiled and"|stage direction||
71|WOODY|holding a greasy wrench.|speech|WOODY|M
72||WOODY (CONT'D)|location||
73||.No, money's not the problem (LAUGHS)|stage direction||
74|WOODY|"Money's never a problem. You just need
to honor the correct price. Got it?
Woody gets his answer, and angrily throws the headset
down on a stack of moving boxes. He marches to the front
door and throws it open.
""Wild Hogs"" writers first draft 7/06/05 8."|speech|WOODY|M
75||EXT. WOODY'S HOUSE - CONTINUOUS|location||
76|WOODY|Woody yells out the front door.|speech|WOODY|M
77|WOODY|".Then go home, Toby! You make me sick!
ANGLE ON: The front yard. A ten-year-old boy is
standing with a rake, surrounded by leaves. He clicks
off his cellphone and shrugs."|speech|WOODY|M
78|TOBY|"I can't do this many leaves for ten
bucks! It'll take two hours!"|speech|TOBY|M
79|WOODY|"Well, you should have thought of that
before you put the ""any yard for ten
bucks"" flyer on the telephone pole.
You're done on this block, now. And that
goes for your band fund-raisers, too.
I'm not buying any candy bars no matter
what parade you dorks have to get to!
Woody slams the door closed. Toby kicks at a pile of
leaves, then starts home."|speech|WOODY|M
80|FADE OUT:|FADE BACK IN ON:|speech|FADE OUT:|?
81||INT. CLUTTERED OFFICE - MORNING|location||
82|FADE OUT:|"We see an office crowded with disassembled Apple
computers, motherboards, and abandoned monitors."|speech|FADE OUT:|?
83|COMPUTER VOICE|"Dudley?
ANGLE ON: DUDLEY FRANK (late 30s), an odd-looking, curly-
haired guy with black plastic glasses that are slightly
too big for his face. He stares at a computer in front
of him."|speech|COMPUTER VOICE|?
84|DUDLEY|Yeah, hey, Mac. How's it go--|speech|DUDLEY|M
85|COMPUTER VOICE|"It is now nine o'clock am.
""Wild Hogs"" writers first draft 7/06/05 9."|speech|COMPUTER VOICE|?
86|DUDLEY|"Thanks, Mac. Open internet, okay?
A pause."|speech|DUDLEY|M
87|COMPUTER VOICE|Command unknown.|speech|COMPUTER VOICE|?
88|DUDLEY|"Mac. Open. Internet.
A pause."|speech|DUDLEY|M
89|COMPUTER VOICE|It is now nine o'clock am.|speech|COMPUTER VOICE|?
90|DUDLEY|"Alright, Mac. I'll show you.
Dudley clicks a few keys and nods satisfactorily."|speech|DUDLEY|M
91|COMPUTER VOICE|"Internet open.
Dudley laughs good-naturedly."|speech|COMPUTER VOICE|?
92|DUDLEY|Right, because I just opened it.|speech|DUDLEY|M
93|(SIGHS)|"I guess I need to research alternative
specs."|speech||
94|COMPUTER VOICE|"Searching ""alternative sex."""|speech|COMPUTER VOICE|?
95|DUDLEY|"What? No!
Dudley jumps forward and starts hitting the keys."|speech|DUDLEY|M
96|COMPUTER VOICE|Two million websites found.|speech|COMPUTER VOICE|?
97|DUDLEY|"I didn't want to search that! I said
specs... ""all the data to be compiled."""|speech|DUDLEY|M
98|COMPUTER VOICE|"Searching ""sex all the day with child."""|speech|COMPUTER VOICE|?
99|DUDLEY|"Ahhh, No!!
""Wild Hogs"" writers first draft 7/06/05 10.
Dudley frantically starts ripping the power wires out of
the computer. The monitor goes dark. Dudley touches it
sadly, then looks over at a cat sitting on the edge of
the desk."|speech|DUDLEY|M
100|"DUDLEY (CONT'D)
(TO CAT)"|"Looks like it's still just you and me,
icat.
Dudley reaches out to pet the cat. It hisses at him
angrily, and he quickly pulls his hand back."|speech|DUDLEY|M
101|DUDLEY (CONT'D)|Sorry.|speech|DUDLEY|M
102||INT. DOUG MATTHEW'S OFFICE - THAT AFTERNOON|location||
103|CUT TO:|"DOUG, now in his lab coat, sits at his desk, playing with
a model of a mouth. The phone rings and Doug answers it."|speech|CUT TO:|?
104|"DOUG
(INTO PHONE)"|"Hey, honey.
INTERCUT WITH KELLY: On the phone at home."|speech|DOUG|M
105|KELLY|You busy?|speech|KELLY|M
106|DOUG|"Me? Oh, yeah. I've got a mouth right
here in front of me.
Doug takes a dental tool and hammers on the plastic
mouth."|speech|DOUG|M
107|KELLY|Don't they mind you being on the phone?|speech|KELLY|M
108|DOUG|"Well, it's not attached to a head,
really. More research.
Doug hits the mouth too hard and all the teeth fall out.
He fumbles to stop them from scattering everywhere.
""Wild Hogs"" writers first draft 7/06/05 11."|speech|DOUG|M
109|KELLY|"Oh. Well, I just wanted to tell you I
found a great rate for the Ritz-Carlton
tomorrow night. I Thought it might be
romantic. Mom can stay here with Billy."|speech|KELLY|M
110|DOUG|"I don't know. Do you think we really
need to stay at a hotel? I mean, Billy
has his own room. Why don't we just buy
new sheets? Like, hotel-colored ones.
It'll be like the Ritz, but we won't have
to pay to make phone calls!"|speech|DOUG|M
111|"KELLY
DOUG--
DOUG"|"What? I'm just saying--
Suddenly, the speaker comes on overhead.
VOICE ON SPEAKER
Dr. Matthews? Patient emergency in room
eight.
Doug snaps to attention."|speech|KELLYDOUG--DOUG|?
112|DOUG|Emergency?|speech|DOUG|M
113|(INTO PHONE)|"I've got to go! Emergency!
Doug jumps out of his seat and scrambles over his desk
and out the door."|speech||
114||INT. DENTAL EXAM ROOM - A SECOND LATER|location||
115|(INTO PHONE)|"Doug flies into an exam room, where a hygienist, DANA, is
looking into a male patient's mouth."|speech||
116|DANA|"Doctor Matthews. Finally. Take a look
at this.
Doug looks in the man's mouth and nods."|speech|DANA|M
117|DOUG|"Acute molar abscess. That's going to
need emergency surgery.
""Wild Hogs"" writers first draft 7/06/05 12."|speech|DOUG|M
118|DANA|"That's what I thought. Thank God you got
here."|speech|DANA|M
119|DOUG|Yeah.|speech|DOUG|M
120|(BEAT)|"Well, let's send him over to an
Orthopedic surgeon."|speech||
121|DANA|"Absolutely. Thanks, doctor.
Doug nods. He looks around for something else to do, but
there's nothing. He moves a dental tool away from the
edge of a tray, smiles politely and exits."|speech|DANA|M
122||EXT. DOUG'S HOUSE - DRIVEWAY - LATER THAT AFTERNOON|location||
123|DISSOLVE TO:|"DOUG, looking depressed, pulls into the driveway. He
looks over and sees BILLY and three of his friends
shooting baskets. He smiles, gets out of the car and
struts over."|speech|DISSOLVE TO:|?
124|"DOUG
(TO KIDS)"|"Yo! Matthews is open.
Billy looks up and cringes a little bit, but passes the
ball to DOUG. Doug dribbles it under his leg and charges
the basket."|speech|DOUG|M
125|DOUG (CONT'D)|"Taking it into the paint. Who's got the
D? Whoop, too late, dudes! Booya!
Doug jumps up to slam the ball, but only hammers it into
the rim. The rim clangs loudly and the ball goes flying
backwards. Billy's friends laugh a little. Doug
notices."|speech|DOUG|M
126|DOUG (CONT'D)|"Well, that's not really my shot. I
usually hit from downtown, you know?
Doug grabs the ball out of the bushes and dribbles back
to the three point line.
""Wild Hogs"" writers first draft 7/06/05 13."|speech|DOUG|M
127|DOUG (CONT'D)|"That's where the big games get won. Back
here from the three--
Doug swivels, jumps up and releases the ball. It heads
towards the basket, then falls down five feet before it.
It looks more like a pass than a shot. Billy hangs his
head, humiliated."|speech|DOUG|M
128|DOUG (CONT'D)|"That was a pass, dudes!
It wasn't.
Doug nods with false confidence to the kids, stands there
awkwardly for a moment, then quietly heads inside."|speech|DOUG|M
129||INT. DOUG'S HOUSE - KITCHEN - A MOMENT LATER|location||
130|DOUG (CONT'D)|DOUG enters and finds KELLY. She smiles and kisses him.|speech|DOUG|M
131|KELLY|"Hey, honey. Snack?
Kelly hands Doug a sandwich bag of celery. He looks over
to the table, where Kelly has laid out Ritz crackers
covered in cheez whiz, for the kids. Doug puts the bag
of celery down."|speech|KELLY|M
132|DOUG|"I'm okay. I think I'm just going to go
meet the guys for a beer."|speech|DOUG|M
133|KELLY|"Okay. Lite beer, if you want to stick to
that diet."|speech|KELLY|M
134|DOUG|"Right. Yes. Lite beer. No carbs. Just
delicious beer... water.
Doug smiles and heads upstairs. Kelly looks concerned."|speech|DOUG|M
135||INT. DOUG'S BEDROOM - A MOMENT LATER|location||
