|character|text|type
52|MATRIX|"Matrix's Blazer is parked here. Father and daughter
sit across from each other-she has a cone, he has a
dish. He uses his spoon to steal some of her flavor
and jimmies...he gets away with this twice before she
pokes him on the nose with the cone. He wipes ice cream
from his face."|speech
53||EXT. CABIN STREAM AREA - DAY 26|location
54|MATRIX|"Matrix and Jenny are trout fishing in a beautiful
stream. A deer tentatively approaches and matrix and
Jenny take food from a knapsack and hold it out for
the deer. The deer comes closer, takes the food from
them, then licks their hands."|speech
55|"DISSOLVE TO:
MATRIX 26-A"|"shows Jenny karate moves. She tries a move on him
and he pretends she's knocked him over."|speech
56|"DISSOLVE TO:
MATRIX 26-B"|"gives Jenny a piggyback ride over the bridge that
crosses the stream, as they head back to the cabin."|speech
57||INT. CABIN - DAY 27|location
58|"CUT TO:
A85
7"|"Matrix goes to open the refrigerator in his cabin a
stops. Taped to the door is a cutout of a heart:
Jenny is peeking at Matrix from around the corner of the
kitchen. He sees her, he smiles, and they meet and hug.
MUSIC AND TITLES END."|speech
59||INT. HOUSE DINING ROOM - LATER - DAY 28|location
60|"CUT TO:
A85
7"|"Matrix sits at the table as Jenny serves lunch. The
view through the expansive picture window is breathtaking.
Matrix leafs through some of Jenny's rock'n'roll
magazines."|speech
61|MATRIX|"When I was a boy and rock and
roll came to East Germany, the
communists said it was subversive..."|speech
62|(SLIGHT SMILE)|.They were right...|speech
63|"(BITES INTO
SANDWICH JENNY
BROUGHT HIM)"|.What's in this?|speech
64|JENNY|"You don't want to know.
Suddenly Matrix gets an odd look on his face ...he stands,
cocks his head."|speech
65|JENNY|"What's wrong?
He shushes her, puts his hand up to block the sun as he
peers through the picture window. Now Jenny -- and the
audience -- can SEE what matrix's keen senses have
already heard-an approaching aircraft.
MATRIX'S P.O.V. - HELICOPTER 29
with U.S. Army markings, coming towards the house...
then veering off for a landing."|speech
66|"TWO SHOT 30
JENNY"|"You said you wouldn't go away
again. You said you were through --"|speech
67|MATRIX|"I'm not going anywhere.
Cont."|speech
68||30 Cont.|stage direction
69||JENNY|location
70||Promise?|stage direction
71||MATRIX|location
72||Promise.|stage direction
73|THE COPTER 31|"It lands. Three men get out.
GENERAL FRANKLIN KIRBY is in the lead. He's in his early
50's, fit, energetic -- and, as we can SEE -- the pilot
of the craft. He's wearing rugged Army Class ""C's.""
The two young soldiers with him are HARRIS and JACKSON.
They wear BDU's and carry carbines. At a look from
Kirby they fan out, and watch the cabin."|speech
74|KIRBY 32|Kirby approaches the cabin.|speech
75|"KIRBY
(CALLING OUT)"|John, come on out. It's Kirby.|speech
76||(o.s.)|stage direction
77|MATRIX|"I know.
Startled, Kirby whirls to see Matrix standing behind him."|speech
78|KIRBY|"Silent and smooth...just like
always.
He smiles and he and Matrix come together and shake hands."|speech
79|MATRIX|"I better be. You taught me.
He affectionately squeezes Kirby's shoulder.
Jenny comes out of the cabin toward the two men."|speech
80|KIRBY|I need to talk to your dad, Jenny.|speech
81|JENNY|"No way, Jose.
Matrix gives her a sharp look and Jenny grudgingly goes
back inside. Kirby and Matrix begin to walk as clouds
billow high above the mountaintops around them.
Cont."|speech
