|character|text|type
65||"DR. SELVIG clacks away at the keyboard and sees on the
monitoring his worst nightmares. Suddenly- the Tesseract
THUNDERS and SHAKES the entire facility. Big enough where both
Agents Hill and Coulson can feel and they're at different ends
of the facility.
The flaring rings and glow of the cube spout out brighter and
louder, like a boiling pot of water. The Tesseract's energy
builds up into a BEAM much like the Bifrost Bridge, which HITS
at the end of a platform that is wired to the CMS device. The
great maelstrom beam FIRES the TESSERACT energy. The beam then
forms a VORTEX, which then opens up a PORTAL.
A BLACK HOLE IS CREATED. From the portal, the blackness of
SPACE, beautiful and mysterious, strewn with a billion stars
appears and a GUST of BLUE ENERGY CLOUDS fill the room, blinding
everyone.
The Tesseract's energy forms into a cloud that reaches to the
top the facility's vacuum chamber ceiling. It's abnormally
quiet. Then... HEAVY BREATHING is heard from the platform.
SHIELD GUARDS slowly approach, weapons in hands. A figure is
kneeling on the platform, smoke coming off it. It's LOKI.
Smiling in his mischievous manner, he raises his head. The smile
dies down. He looks deep into the eyes of Fury, Barton and
Selvig. He stands up, holing the scepter."|stage direction
66|NICK FURY|Sir, please put down the spear!|speech
67||"Loki looks at his spear then suddenly points it at where Fury
and Barton are standing and SHOOTS OUT A BLUE EXPLODING LIGHT
TOWARDS THEM. BARTON TACKLES Fury and they both barely miss
Loki's fired shot.
ALL HELL BREAKS. Machine gun fire is shot at Loki, but the
bullets bounce off him like a boss. Loki jumps high from the
platform and ATTACKS those firing at him.
In the blink of an eye, Loki takes down several guards with his
KNIVES and ENERGY BLASTS from the scepter. He stops and waits to
see who will attack him next. Honestly, the whole lab has almost
gone to shit.
Barton tries to stand up. Loki quickly walks towards him. Barton
raises his gun, but Loki grabs Barton's hand."|stage direction
68|LOKI|You have heart.|speech
69||"Loki points the head of his spear at Barton's head. Barton's
eyes suddenly glow BLACK. The ability to control Barton's mind
is now in Loki's hand. Barton puts his piece away and stands
straight.
As Loki is busy using his abilities to control the minds of
several S.H.I.E.L.D. personnel, Fury takes the Tesseract,
placing it back into its case and tries to leave the lab.Then..."|stage direction
70|LOKI|Please don't. I still need that.|speech
71|"NICK FURY
(TURNING)"|This doesn't have to get any messier.|speech
72|LOKI|"Of course it does. I've come too far
for anything else. I am Loki of Asgard,
and I am burdened with glorious
purpose."|speech
73|SELVIG|Loki? Brother of Thor?|speech
74|NICK FURY|We have no quarrel with your people.|speech
75|LOKI|An ant has no quarrel with a boot.|speech
76|NICK FURY|You planning to step on us?|speech
77|LOKI|"I come with glad tidings, of a world
made free."|speech
78|NICK FURY|Free from what?|speech
79|LOKI|"Freedom. Freedom is life's great lie.
Once you accept that, in your heart..."|speech
80||"Like a gunslinger, Loki turns to face Selvig who's
standingbehind him and places his spear against Selvig's heart.
Selvig's eyes glow BLACK."|stage direction
81|LOKI|You will know peace.|speech
82|NICK FURY|"Yeah, you say peace, I kind of think
you mean the other thing."|speech
83||"From the vacuum chamber ceiling, Tesseract's energy cloud
RAPIDLY builds into what may be an implosion."|stage direction
84|CLINT BARTON|"Sir, Director Fury is stalling. This
place is about to blow. Drop a hundred
feet of rock on us. He means to bury
us."|speech
85|NICK FURY|Like The Pharaohs of Odin.|speech
86|SELVIG|"He's right. The portal is collapsing in
on itself. You got maybe two minutes
before this goes critical."|speech
87|LOKI|Well, then...|speech
88||"Loki, looking at Barton, who doesn't even hesitate, SHOOTS FURY
WHO FALLS TO THE GROUND. Barton grabs the case containing the
Tesseract and leaves the lab with Loki, Selvig and the other
S.H.I.E.L.D personnel Loki is controlling."|stage direction
89||INT. P.E.G.A.S.U.S BUNKER, ENTRANCE OF EXITING TUNNEL ­ NIGHT|location
90||"Loki, Barton, Selvig and the other S.H.I.E.L.D personnel are in
the parking lot of the facility, quickly gathering certain
weapons. Agent Hill watches in confusion, referring to Loki."|stage direction
91|CLINT BARTON|"(pointing to the Loki team)
Need these vehicles.
AGENT MARIA HILL
Who's that?"|speech
92|CLINT BARTON|He didn't tell me.|speech
93||"Agent Hill looks suspiciously at them as they get into the truck
and turns to leave, as she's walking away..."|stage direction
94|NICK FURY|"(through the walkie talkie)
Hill, do you copy?!"|speech
95||"Loki and Barton SHARPLY look at Agent Hill.
BACK AT THE LAB
Fury is sitting up, pulling out the bullet, breathing heavily."|stage direction
96|NICK FURY|Barton is...|speech
97||INT. P.E.G.A.S.U.S BUNKER ­ NIGHT|location
98||"Suddenly, Hill turns to SHOOT AT BARTON, but Barton is already
POINTING HIS GUN at her and starts SHOOTING, he moves the
driver's seat of the truck and DRIVES OFF as Hill keeps
shooting.
BACK AT THE LAB
Fury is holding his side, running."|stage direction
99|NICK FURY|He's got the Tesseract! Track it down!|speech
100||"The energy is really brewing a fucking shit storm from the
vacuum chamber ceiling."|stage direction
101||INT. P.E.G.A.S.U.S BUNKER/TUNNEL ­ NIGHT|location
102||"Agent Hill SLIPS into a JEEP and follows after Barton's
truck.Loki's trucks SCREECH across the tunnel. Several SHIELD
trucks pull up to them. A drive-by shooting ensues.
Loki, who stands on top of the bed of the truck, uses his
scepter and EMITS energy blasts, flipping over SHIELD trucks.
They get in, the cars roar out after them. Agent Hill puts
herself at a distance."|stage direction
103||INT. FACILITY FLOOR ­ NIGHT|location
104||"Fury races out of the hallway, avoiding falling pipes. The
entire facility is now in a full earthquake."|stage direction
105||INT. FACILITY FLOOR, ELSEWHERE ­ CONTINUOUS|location
106||"Agent Coulson and several SHIELD agents fall down the steps,
dropping SILVER CASES of information. They attempt to grab them,
but..."|stage direction
107|NICK FURY|"AGENT PHIL COULSON
No! Leave it!"|speech
108||They run out of there like a bat from hell.|stage direction
109||INT. P.E.G.A.S.U.S TUNNEL ­ NIGHT|location
110||"Agent Hill's JEEP ROARS out of a side of Barton's truck and
pulls up alongside them on the left. She goes way ahead and
pulls her brake, swerving into a 360, facing Barton's truck and
driving in reverse.
Barton's ARMS reach out the open window and OPENS FIRE. Agent
Hill figures `fuck it' and SHOOTS her windshield OPENING FIRE on
Barton."|stage direction
111||EXT. VAN ­ NIGHT|location
112||Agent Coulson jumps into a SHIELD VAN. On his walkie:|stage direction
113|NICK FURY|"AGENT PHIL COULSON
You're clear, sir! You need to go!"|speech
114||EXT. HELICOPTER PAD ­ CONTINUOUS|location
115||"Fury BOLTS out of the facility and jumps into a helicopter. The
surface of the pad gives way, PLUNGING the helicopter through
the surface. But Fury's chopper BARELY makes it out."|stage direction
116||INT. P.E.G.A.S.U.S TUNNEL ­ NIGHT|location
117||"Still in a chase and drive-by sequence, Barton's pushes the
pedal harder, which causes Agent Hill's JEEP to WOBBLE out and
put her back behind."|stage direction
118||INT. RADIATION FACILITY, VACUUM CHAMBER ­ NIGHT|location
119||"The Tesseract's energy cloud now SHRINKS into a SMALL BALL OF
WHITE LIGHT. Then...
A CLOUD OF BLUE LIGHT CONSUMES THE ENTIRE FACILITY AND PARTS OF
THE DESERT. Fury watches from below, a RAPID build-up into what
may be an implosion. Several miles away, Agent Coulson's van
feels a JOLT of the Tesseract's BLASTWAVE. THE ENTIRE FACILITY
SWALLOWS INTO ITSELF-- A TERRIFYING, UNIMAGINABLE IMPLOSION."|stage direction
120||INT. P.E.G.A.S.U.S TUNNEL ­ NIGHT|location
121||"The BLASTWAVE of the Tesseract causes the tunnel to cave it.
Like an ocean wave, blinding crumbles of falling rock, fall onto
Agent Hill's JEEP, leaving her NEARLY trapped under this blanket
of rock.
On the Barton's truck, they escape the tunnel and drive into the
desert landscape. Fury's helicopter ROARS over Barton's truck.
Loki looks up.
From the chopper's door, it slides open and Fury stands there,
holding a gun, SHOOTING at Barton's, giving an honoring image of
JULES WINNFIELD.
Loki looks at Fury and in a fit of RAGE, points his scepter
SHOOTS OUT THE BLUE LIGHT. The chopper CATCHES on fire, GOING
DOWN in a FIERY BALL. Fury, like the boss he is, JUMPS OUT and
touches down onto the desert floor. The chopper BARRELS along
the ground.
Fury, coming back to his senses, FIRES at Loki, but they're
toofar and too late. Loki looks back, smiling. Fury stands
there, MIND REELING. Then..."|stage direction
122|NICK FURY|AGENT PHIL COULSON|speech
123|(WALKIE TALKIE)|Director? Director Fury, do you copy?|speech
124|NICK FURY|"The Tesseract is with the hostile
force. I have men down. Hill?"|speech
125||INT. P.E.G.A.S.U.S TUNNEL ­ NIGHT|location
126||"Agent Hill climbs out her JEEP, which is sandwiched in, but
luckily, not her."|stage direction
127|NICK FURY|"AGENT MARIA HILL
A lot of men still under, don't know
how many survivors."|speech
128||EXT. DESERT ­ NIGHT|location
129|NICK FURY|"Sound the general call. I want every
living soul not working rescue looking
for that brief case.
AGENT MARIA HILL"|speech
130|(WALKIE TALKIE)|Roger that.|speech
131|NICK FURY|"Coulson, get back to base. This is a
LEVEL SEVEN. As of right now, we are at
war."|speech
132||A beat.|stage direction
133|NICK FURY|AGENT PHIL COULSON|speech
134|(WALKIE TALKIE)|What do we do?|speech
135||"Fury stands there. Thinking. He looks up. On his face is sign of
hope."|stage direction
136||"THE AVENGERS
EXT. RUSSIA, SOLENSKI PLAZA, 3RD FLOOR ­ NIGHT"|location
137||"Out in the outskirts, near a railroad, a still in construction
building is being occupied by GEORGI LUCHKOV, a LARGE, RUSSIAN
GENERAL along with his THUGS.
TALL THUG is in the middle of a brutal beating on NATASHA
ROMANOFF, a SLEWING, FOXY, UNBELIEVABLY SEXY SPY. He BACKHANDS
NATASHA'S face. She feels the pain, but does not breakdown.
LUCHKOV, smiling, walks up to her. Dialogue is in RUSSIAN."|stage direction
138|LUCHKOV|"This is not how I wanted the evening to
go."|speech
139|NATASHA|"I know how you wanted this evening to
go. Believe me, this is better."|speech
140|LUCHKOV|"I'd like to know why they sent you to
carry out a carrier, a stained glass
and other random items."|speech
141||"TALL THUG rocks her chair back, balancing her off the edge of an
open floor. Natasha is now scared."|stage direction
142|NATASHA|"I thought General Soholob was in charge
of the export business."|speech
