|character|text|type
81|WARRIOR #2 AND #3|Aye!  The pit's a fair test!|speech
82|GOLD TOOTHED WARRIOR|To the pit with the blackard!|speech
83||32	 GOLD TOOTH										    32|location
84||"charges his horse at Ash. But he is met with the wooden stock
of Ash's shotgun as it swings into frame, cracking against his
jaw."|stage direction
85||33	 WIDE SHOT - GOLD TOOTH - STUNTMAN						 33|location
86||He tumbles from the horse.|stage direction
87||34	 ASH												 34|location
88||leaps atop Gold Tooth's horse and jerks the reigns.|stage direction
89||35	 LONG SHOT - ASH'S HORSE								 35|location
90||rears up, kicking it's hooves into the air.|stage direction
91||36	 ASH												 36|location
92||"gallops off as Warrior #2 runs at him. Ash kicks him in the face
as he gallops past.  The Warrior is sent reeling."|stage direction
93||37	 TRUCKING SHOT - ASH									37|location
94||"galloping over a hill.  He is almost thrown by the horse, but
manages to hang on for dear life."|stage direction
95|ASH|"Where the hell they put the
stirrups on this thing!!??"|speech
96||38	 CLOSE SHOT - ASH'S FEET								 38|location
97||grasping at the side of the horse, hoping to find some purchase.|stage direction
98||39	 LONG SHOT - ASH - STUNTMAN							   39|location
99||he rides past CAMERA, almost falling from the horse.|stage direction
100||40	 ANGLE ON ARTHUR									    40|location
101|ARTHUR|LIEUTENANTS!  Fetch me the blackard.|speech
102||41	 TWO OF ARTHUR'S ARMORED HORSEMEN						  41|location
103||"unsheathe their broadswords and gallop after Ash. The remaining
Warriors watch for sport."|stage direction
104||42	 HIGH SHOT - TWO HORSEMEN								42|location
105||They are gaining an Ash.|stage direction
106||43	 ASH												 43|location
107||glances behind him.|stage direction
108||44	 ASH'S P.O.V. - TRUCKING SHOT - TWO HORSEMEN IN PURSUIT		44|location
109||They diverge to either side of CAMERA.|stage direction
110||45	 ASH												 45|location
111||whips his horse.|stage direction
112|ASH|GIDDYPU!|speech
113||46	 THE FIRST HORSEMAN									 46|location
114||"rides up alongside Ash and swings his Broadsword.
WHOOSH!!!"|stage direction
115||47	 ASH												 47|location
116||ducks the blade.|stage direction
117||48	 THE SECOND HORSEMAN									48|location
118||"rides up alongside Ash's other flank.  He swings and lands the
flat part of his blade along Ash's back.
THUNK!"|stage direction
119||49	 ASH												 49|location
120||"ducks as the first horseman swings his blade again.
WHOOSH!
ASH looks left..."|stage direction
121||50	 THE SECOND HORSEMAN									50|location
122||winds up for another blow.|stage direction
123||51	 ASH												 51|location
124||yanks back upon his horse's reigns.|stage direction
125||52	 THE THREE HORSES									   52|location
126||running side by side. Ash's horse drops back suddenly.|stage direction
127||53	 THE SECOND HORSEMAN									53|location
128||swings.|stage direction
129||54	 HIS BROADSWORD										54|location
130||slams the First Horseman across the face.|stage direction
131||55	 THE FIRST HORSEMAN									 55|location
132||is knocked from his steed.|stage direction
133||56	 TRUCKING SHOT - THE FIRST HORSEMAN						56|location
134||"is moving fast when he hits the ground. His armored form tumbles
end over end in the dust, clanging to a halt against a rock."|stage direction
135||57	 THE SECOND HORSEMAN									57|location
136||turns around and gallops back toward Ash.|stage direction
137||58	 WIDE SHOT - ASH AND THE SECOND HORSEMAN					58|location
138||ride at one another.|stage direction
139||59	 TRUCKING SHOT - THE SECOND SWORDMAN AS HE RIDES			  59|location
140||swinging his Broadsword.|stage direction
141||60	 TRUCKING SHOT - ASH AS HE RIDES						   60|location
142||"He inserts the stump of his right arm into the female end of
his chainsaw arm bracket.
FOOMP!  He twists his stump and the chainsaw bracket locks into
place.  CLINK!
He thrusts his chainsaw arm outward, pulling on the starter
cord; PUTT-PUTT-PUTT... The engine won't turn over.  He curses
and yanks again."|stage direction
143||61	 THE SECOND HORSEMAN									61|location
144||"draws close. He leans from his horse and swings his Broadsword
mightily.  The flat portion of the blade connects. THUNK!"|stage direction
145||62	 ASH												 62|location
146||"is knocked from his steed.  He tumbles to the dust, narrowly
escaping his own horse's hooves."|stage direction
147||63	 ASH												 63|location
148||rolls to his feet and spins to the sound of approaching hooves!|stage direction
149||64	 THE SECOND HORSEMAN									64|location
150||charges and swings his broadsword.|stage direction
151||65	 ASH												 65|location
152||"raises his chainsaw.  CLINK!  He deflects the blow. Ash swings
the chainsaw in a roundhouse motion, clipping the Second
Horseman as he rides past."|stage direction
153||66	 TRUCKING SHOT - THE SECOND HORSEMAN					    66|location
154||is knocked from his horse.|stage direction
