|text|type
109|EXT. CITY STREET, JUDAH'S TOWER - NIGHT|location
110|EXT. CITY STREET - MOVIE PALACE - NIGHT|location
111|EXT. JUDAH'S CAMPANILE - NIGHT|location
112|INT. JUDAH'S TOWER, CAMERA OBSCURA - NIGHT|location
113|INT. JUDAH'S TOWER, CAMPANILE - NIGHT|location
114|EXT. INNER-CITY CHURCH - DAWN|location
115|EXT. CHURCH - DAWN|location
116|EXT. LIMBO - DAWN|location
117|EXT. FREEWAY OVERPASS - DAWN|location
118|EXT. LIMBO - DAY/NIGHT|location
119|EXT. FREEWAY OVERPASS - DAWN|location
