|character|text|type
79|DOC (V.O.)|"Hey, man, we're clean, huh. We ain't
fools."|speech
80|SPIDER (V.O.)|"You do that real nice, Pancho. what
say we get married."|speech
81||Eddie tosses a soiled Rubic's Cube into Donato's lap.|stage direction
82|EDDIE|Found you a present.|speech
83|DONATO|"Shit, those things will fuck up your
mind."|speech
84||EXT. CEMETERY - DAY|location
85||"Cragie is watching over the wall with his binoculars. He
looks back at Kosalas, who is hopping from foot to foot."|stage direction
86|CRAGIE|If you gotta take a leak, do it now.|speech
87|KOSALAS|"I can't go wading in with my shlong
flapping in the wind."|speech
88|CRAGIE|"Sure you can. It's called diversionary
tactics."|speech
89||"Cragie laughs and swigs straight from the bottle. The RADIO
CRACKLES."|stage direction
90||(from radio)|location
91|BRENNAN (V.O.)|What's going on in the ballpark?|speech
92||(from radio)|location
93|DONATO (V.O.)|"Don't get froggy. Wait for the green
light."|speech
94||EXT. COMACHO STREET - DAY|location
95||"A painter's van passes Brennan's Pontiac and parks in front
of the building half way up the block."|stage direction
96||INT. BRENNAN'S CAR - DAY|location
97||Music doesn't like this.|stage direction
98|MUSIC|What the hell is this cat up to?|speech
99|BRENNAN|"Going to work asshole. What do you
think."|speech
100|MUSIC|At this hour.|speech
101|BRENNAN|"They got a hardass for a boss. Like
us."|speech
102||EXT. COMACHO STREET - DAY|location
103||"As Music and Brennan watch from their car, the four painters
get out of their truck, unpack their ladders and tools, and
begin to carry their equipment into the building next door
to the stakeout."|stage direction
104||INT. COMACHO APARTMENT - DAY|location
105||"The room is small and bare. A selling den. VICTOR COMACHO
and TWO COUSINS, all young and vicious, are sitting around a
formica table with the two buyers, Doc and Spider. The
Comachos are heavily armed. There is plenty of tension all
around, but Doc seems a little more nervous than the rest.
This is an enormous buy. Doc has placed a bowling satchel
full of bundled $20's, $50's, and $100's on the table. Victor
is counting it rapidly."|stage direction
106|SPIDER|"This be better than jukin' Seven-
Elevens, huh Victor?"|speech
107||(to cousins in Spanish)|location
108|VICTOR|This one's got some balls, huh?|speech
109||(to Spider)|location
110|VICTOR|I don't juke anybody.|speech
111||"Victor nods and one of the cousins brings in half a dozen
brick-sized bundles of cocaine from the next room.
Doc slices into one of the bags and with the tip of his knife
he drops a bit into a glass vial. He adds clear liquid with
an eye dropper and it instantly turns purple."|stage direction
112|DOC|I say, awright. The royal colors.|speech
113||EXT. ALLEY - DAY|location
114||"Eddie's eyes scan the scene as he sorts through a garbage
can with a stick."|stage direction
115||INT. PAINTER'S HALLWAY - DAY|location
116||"The painters carry their equipment down the long corridor
and enter a vacant apartment.
A door opens in the corridor, and a naked toddler steps out.
A Latino teenager comes out to retrieve the child. He sees
the backs of the painters, and carries the toddler back
inside."|stage direction
117||INT. PAINTER'S APARTMENT - DAY|location
118||"The painters are not what they seem. Working quickly,
silently, they open their tool kits and lay out their
hardware: machine guns and automatics.
TONY LUNA, a barrel-chested Italian mobster is running the
show and it's well rehearsed. His boys, GUS, VITO, and EENIE
move like oiled machinery.
Vito turns on a radio to a Latino station to cover the SOUND
of their preparations. They remove the whole window from its
frame. Then they rest a wide plank on the window ledge.
Three feet away is the window of the adjacent building and
silhouetted against the shade we can SEE the drug deal.
Luna'ys check their weapons.
They put on painters' masks and goggles."|stage direction
119|LUNA|Okay, by the numbers.|speech
120||He puts on his goggles.|stage direction
121||EXT. ALLEY - DAY|location
122||"Over the IDLING ENGINE of the garbage truck, Eddie and Donato
HEAR the deal going down on the RADIO."|stage direction
123||(to walkie-talkie)|location
124|EDDIE|Everybody on your toes.|speech
125||(from radio)|location
126|MUSIC (V.O.)|"Their Right Field's Clear. Those
painters are out of the way."|speech
127||(to walkie-talkie)|location
128|EDDIE|What the hell you talking about?|speech
129||(from radio)|location
130|MUSIC (V.O.)|"We got a painting crew of painters
just went in the building next door."|speech
131||Eddie looks at Donato.|stage direction
132|EDDIE|"Painters? That building's gonna be
condemned!"|speech
133||"Like a coiled spring, Eddie leaps from the truck and runs
for the rear gate, gun in hand."|stage direction
134||(shouts)|location
135|EDDIE|Play Ball! Play-fucking-ball!|speech
136||(to mike)|location
137|DONATO|"Home Team! We're goin in! Move it!
Move it!"|speech
138||INT. PAINTER'S APARTMENT - DAY|location
139||"Tony and his men face the window across the gangway. Two of
them hold sawed off double barreled shotguns. Tony counts it
down, and they all fire as one.
One GIANT BLAST tears into the window. It disintegrates.
The four men toss aside their empty guns, and grab other
guns."|stage direction
140||EXT. GANGWAY - DAY|location
141||"Eddie HEARS THE GUNFIRE and hits the wall. He sees the glass
showering down around him. He vaults over the backyard fence
and head for the porch stairs."|stage direction
142||EXT. CEMETERY - DAY|location
143||Kosalas is finally pissing against the wall.|stage direction
144|KOSALAS|I knew it.|speech
145||"Cragie is using the crate to climb the wall. He is up and
over, and falls to the ground on the other side. He's still
trying to get to his feet when Kosalas comes over.
They start running, yanking their guns out."|stage direction
146||INT. COMACHO APARTMENT - DAY|location
147||"Doc and Spider are blown backwards in their chairs. One of
the cousins has fallen across the piles of money and drugs.
Victor and the other cousin are slumped on the floor. The
woman in the bedroom is screaming.
Through the jagged glass around the window frame, Tony's
boys shove a broad plank."|stage direction
148||EXT. GANGWAY - DAY|location
149||"Three floors up, we see the ""painters"" rush across the gangway
to the other building."|stage direction
150||EXT. COMACHO BACK STAIRS - DAY|location
151||"EFREN COMACHO, the heavyweight guarding the back door, is
distracted by the SHOUTS and GUNFIRE upstairs. Eddie crashes
through the door and Efren spins just in time to meet Eddie's
blurring attack.
The struggle on the landing is brief. Efren's size is no
match for Eddie's speed and power. With a grunt he sags to
the floor.
Eddie leaps over him and bounds up the steps."|stage direction
152||EXT. COMACHO STREET - DAY|location
153||"Brennan, Music and Kobas are now on their way, using parked
cars to cover their advance toward the front door of the
Comacho building."|stage direction
154||EXT. COMACHO BACK STAIRS - DAY|location
155||"Eddie passes the second floor landing and takes a quick look
up the porch stairs. The door to the second floor apartment
starts to open behind him. He spins and kicks it.
There stands a terrified old woman looking up the barrel of
his gun."|stage direction
156||(shouts)|location
157|EDDIE|Police! No se mueve!|speech
158||He spins and bounds up the stairway.|stage direction
159||INT. COMACHO APARTMENT - DAY|location
160||"The woman is huddled in a corner, still screaming. Tony comes
to stand over her, and coldly shoots her. Then he rips off
his mask and goggles as his boys clear the bodies and scoop
up the drugs and money from the table.
Victor Comacho lies slumped against the wall, one side of
his face and one shoulder bloodied. He appears dead, eyes
open. But then he blinks once."|stage direction
161||INT. COMACHO BACK STAIRS - DAY|location
162||"Eddie has entered the rear of the apartment. He moves
cautiously forward."|stage direction
163||INT. COMACHO APARTMENT - DAY|location
164||"Tony and his partners start back over the gangway to the
other building. Vito is bringing up the rear.
Suddenly Victor Comacho comes to life. He gets off A BURST
with his AUTOMATIC. Vito catches it in the back."|stage direction
165||EXT. ALLEY - DAY|location
166||"Donato is moving down the gangway when Vito's body -- followed
by the scaffold plank -- falls from the sky and CRASHES into
the pavement right in front of him."|stage direction
167||INT. COMACHO APARTMENT - DAY|location
168||"Eddie jumps into the living room doorway, gun drawn, and
takes in the carnage. He kicks the gun out of Victor's hand,
and bounds to the shattered bay window and looks down in
time to SEE --"|stage direction
169||EXT. GANGWAY - DAY|location
170||"Donato jumps over the broken body, running through the gangway
toward the front of the building."|stage direction
171|DONATO|They're goin out the front!|speech
172||INT. COMACHO APARTMENT - DAY|location
173||"The bridge to the other building is gone, but there is a
large drainpipe running down the outside of the building.
Eddie climbs out on the shattered window sill, and stretches
for the pipe. The pipe is just out of reach. Pushing off
from the ledge, he jumps for the drainpipe, grabbing it on
his way down."|stage direction
174||EXT. DRAINPIPE - DAY|location
175||As he slides down three stories.|stage direction
176||INT. PAINTER'S HALLWAY - DAY|location
177||"The painters run down the stairs toward the front of the
building."|stage direction
178||EXT. COMACHO STREET - DAY|location
179||"Music, Brennan, and Kobas rush the front door of the Comacho's
building, and enter."|stage direction
180||EXT. GANGWAY - DAY|location
