|character|text|type
58|ZARKOV (CONT'D)|"Time for us to go, Munson. Get your
toothbrush and whatever."|speech
59|MUNSON|Go where?|speech
60|ZARKOV|Up. Up and at him.|speech
61||"Stunned, MUNSON turns his head and glances at something big
and MIRROR BRIGHT gleaming behind foliage in center of tower."|stage direction
62|MUNSON|You're crazy!|speech
63||"Perfectly calm except for the maniacal glint in his eyes,
ZARKOV pulls out a revolver and points it at MUNSON."|stage direction
64|ZARKOV|"I can't handle the capsule alone get
your toothbrush."|speech
65||INT. COCKPIT TO SKY - POV|location
66||"(CO-PILOT, PILOT)
The PILOTS watch these clouds also, transfixed with disbelief.
They speak with that incredible calmness characteristic of
professional airmen in a moment of impending catastrophe."|stage direction
67|ZARKOV|6.|speech
68|PILOT|"What's ,e word from Westchester
Approach, Bill?"|speech
69|CO-PILOT|"Zip. All chanels dead.
(Reacting to the panel)
Say, get a load of the VOR's...."|speech
70||"The directional needles are going crazy. All the instruments
are going crazy. Displays flash impossible symbols. The
PILOT gapes at them a moment, then returns his gaze to the
sky and swallows."|stage direction
71|PILOT|"On the left, about six o'clock
high......"|speech
72||"The racing stream of clouds is parting open like in some
surreal painting. From the cortex LASER-like bolts of RED
LIGHTNING shoot out. Like a missile, one zaps right over the
plane's nose with a horrible crackling NOISE."|stage direction
73|PILOT (CONT'D)|"Hold on tight, let's put baby down
right here......"|speech
74||"The CO-PILOT reaches up and hits the flap control. There is
a whooshing crackling ZAP! The whole cockpit FLARES OUT
with an intolerable blinding flash of RED LIGHT."|stage direction
75||INT. PASSENGER CABIN - CONTINUOUS|location
76||"The cockpit door flys off its hinges, admitting a gale of
wind that scatters FLASH'S play sheets like autumn leaves.
FLASH unsnaps his belt, leaps up and races forward."|stage direction
77||INT. COCKPIT - CONTINUOUS|location
78||"(DALE, FLASH)
The TWO PILOTS are gone, vanished without trace. Wind from
the shattered windows assaults FLASH as he charges in. He
stumbles forward as the plane noses into a dive. Recovering
he scrambles into the left-hand seat, grabs hold of the
bucking wheel yoke, pulls back and kicks at the rudder pedals.
DALE lurches in against the tornado."|stage direction
79|DALE|Can you fly it?|speech
80|FLASH|"I can fly all right -- I've had a
couple of lessons! -- just don't if
I can land!"|speech
81|(MORE)|7.|speech
82|"FLASH (CONT'D)
(FIGHTING CONTROLS)"|"Grab that other wheel! Help me pull
her up!"|speech
