|character|text|type|character_clean|gender
1114||A typed document sits on a small tray table in front of her.|stage direction||
1115|INTERROGATOR|"""My name is Evey Hammond.  On the
5th of November 2019, I was
abducted by the terrorist known as
codename V and then taken against
my will to an unknown location."""|speech|INTERROGATOR|F
1116||"Rossiter hovers just behind her as the Interrogator reads her
confession."|stage direction||
1117|INTERROGATOR|"""Once there, I was systematically
brainwashed by means physical and
psychological.  I was frequently
subjected to sexual abuse during
this period."""|speech|INTERROGATOR|F
1118||Evey's expression is unchanging.|stage direction||
1119|INTERROGATOR|"""Eventually I was terrorized into
helping him commit the murders of
Derek Almond, Dr. Delia Surridge,
and Anthony Lilliman, Bishop of
Westminster."""|speech|INTERROGATOR|F
1120||Rossiter drops a pen on the table.|stage direction||
1121|INTERROGATOR|"""I, the undersigned, swear that the
above statement is genuine and that
it was not signed by means of
intimidation."""|speech|INTERROGATOR|F
1122||The pen slowly rocks to a stop.|stage direction||
1123|INTERROGATOR|"We'd like you to sign that for us,
Miss Hammond.  Where we've put the
little cross."|speech|INTERROGATOR|F
1124||She blinks.|stage direction||
1125|EVEY|No.|speech|EVEY|F
1126|INTERROGATOR|As you wish.|speech|INTERROGATOR|F
1127||Rossiter begins unbuckling Evey's restraints.|stage direction||
1128|INTERROGATOR|"Escort Miss Hammond back to her
cell, Rossiter, where she will wait
while you arrange a wet detail of
six men."|speech|INTERROGATOR|F
1129||He forces Evey to her feet.|stage direction||
1130|INTERROGATOR|"Then take her out behind the
chemical sheds and shoot her."|speech|INTERROGATOR|F
1131||INT.  CELL|location||
1132||"The door opens behind Evey as she rereads Valerie's letter
for the last time."|stage direction||
1133|ROSSITER|"It's time, unless you want to
change your mind."|speech|ROSSITER|F
1134||She holds the tattered piece of toilet paper to her chest.|stage direction||
1135|ROSSITER|"Sign that statement.  You could be
out inside three years.  Perhaps
they'd find you a job with the
Finger."|speech|ROSSITER|F
1136||Evey closes her eyes.|stage direction||
1137|EVEY|"Thank you but I'd rather die behind
the chemical sheds."|speech|EVEY|F
1138||Her last words hang in the air.|stage direction||
1139|ROSSITER|"Then there's nothing left to
threaten you with, is there?  You
are free."|speech|ROSSITER|F
1140||He turns and leaves.|stage direction||
1141|EVEY|What?|speech|EVEY|F
1142||"She listens as his footsteps fade down the hall, the door
hanging weirdly open.
Evey takes a few tentative steps toward the door and sticks
her head out into the empty hall, peering down both ways.
Slowly, she emerges from her cell, retracing her path down
the hall that her blindfold never allowed her to see.
Quietly inching along the wall, Evey peeks around a corner,
gasping at the rigid guard standing off to the side.  There
is something about the man's frozen stare that keeps her from
running.
Evey straightens and crosses to the guard.
It is a mannequin.
She touches him, the wheeled platform he is mounted on
rolling back against the wall."|stage direction||
1143||INT.  INTERROGATION ROOM|location||
1144||"The door creaks open as Evey enters the room where for so
long she was questioned and tortured.
She crosses to the frozen Interrogator sitting at his desk.
Her finger brushes lightly against the plastic hand, then
Evey raps a knuckle on his hollow wooden head.  Around his
neck a small speaker hangs from a cord.
Evey drifts uneasily into a back room where a discarded
prison guard's uniform hangs on a rack.  On a table next to a
wig and pair of gloves, the rat looks up at her through the
bars of its tiny cage.
She moves through another door, the wind suddenly knocked
from her chest as she finally sees where her prison was
built --"|stage direction||
1145||INT.  SHADOW GALLERY|location||
1146||V steps from the shadows.|stage direction||
1147|V|Welcome home, Evey.|speech|V|F
1148|EVEY|You...|speech|EVEY|F
1149||Her mouth hangs open.|stage direction||
1150|EVEY|You did this... to me.|speech|EVEY|F
1151||Evey's rail thin figure begins to shake.|stage direction||
1152|EVEY|You did this to me!|speech|EVEY|F
1153||She stumbles against the wall, unable to support herself.|stage direction||
1154|EVEY|"You -- You hit me and -- and cut my
hair.  It was you.  It was just you
all this time."|speech|EVEY|F
1155||She doubles over, covering her face as she bursts into tears.|stage direction||
1156|EVEY|You tortured me.  You tortured me --|speech|EVEY|F
1157||"Evey looks up at him, body shivering as he quietly glides
toward her."|stage direction||
1158|EVEY|Oh god, why?|speech|EVEY|F
1159|V|"Because I love you, Evey.  Because
I wanted to set you free."|speech|V|F
1160|EVEY|Love?|speech|EVEY|F
1161||A look of horror twists her starved face.|stage direction||
1162|EVEY|Set me free?  Don't you realize?|speech|EVEY|F
1163||Slender fingers ball into fists.|stage direction||
1164|EVEY|"Don't you realize what you did to
me?  You nearly drove me mad!"|speech|EVEY|F
1165||Disgust and anger light up her eyes.|stage direction||
1166|EVEY|I hate you.|speech|EVEY|F
