|character|text|type
77||"He takes a hit from an ASTHMA INHALER, as a '71 PONTIAC GTO
drives through the gate and pulls up. Hardy emerges."|stage direction
78||(re: his appearance)|unknown
79|OSBORNE|"Doesn't get any unofficialer than
that..."|speech
80||The two old friends embrace.|stage direction
81||HARDY|unknown
82|OSBORNE|How are you?|speech
83||STYLES|unknown
84|OSBORNE|Been better.|speech
85||(pause)|unknown
86|OSBORNE|"I read about what's been happening
With you... I should have called-"|speech
87|HARDY|What kind of trouble are you in?|speech
88||Styles looks at the ground.      Momentarily flustered.|stage direction
89||HARDY|unknown
90|HARDY|That bad?|speech
91|STYLES|"Would I have called you if it wasn't?
If there was any other way-"|speech
92||6.|unknown
93|HARDY|Tell me what I can do.|speech
94|OSBORNE|You can get us some answers.|speech
95||Hardy takes off his sunglasses, noticing her.|stage direction
96|STYLES|"This is Warrant Officer Julia Osborne,
The closest thing we have to an in-
House investigator."|speech
97|HARDY|"And here you are going out of house.
How's that make you feel, Jules?"|speech
98|OSBORNE|Hostile and uncooperative.|speech
99||HARDY|unknown
100|OSBORNE|"Fantastic.   You want to tell me what's
going on?"|speech
101||INT. FORT MCKINLEY -- CORRIDORS MORNING|location
102||"Hardy follows Styles and Osborne. They pass SOLDIERS
replacing broken windows and sweeping up glass."|stage direction
103|STYLES|"The official term for it is
""Clusterfuck"" . By the time Beth hit
us, I'd canceled all off base
exercises save one - a six man cadet
team and their Drill out in the bush.
We're missing three and the Sergeant.
The cadets are in their eighth week
of the cycle, nobody here knows much
about them, up to and including their
names. But the Sergeant..."|speech
104|HARDY|"It's not West, is it?    Tell me it's
not West."|speech
105||Styles' look tells him it is.|stage direction
106||HARDY|unknown
107|HARDY|Ah, Christ|speech
108|OSBORNE|You knew Sergeant West?|speech
109|HARDY|"He was our Drill here.    Man's older
than sand."|speech
110||7.|unknown
111|STYLES|"A few years ago, the Army picked our
good buddy as their go to non-com to
trot out to the press to talk about
the kinder, gentler military. He
even did the standard video greeting
played to all incoming Basic cadets
across the country."|speech
112|HARDY|Well, he's a good soldier.|speech
113||Osborne nods, agreeing.|stage direction
114|HARDY|I didn't mean that as a compliment.|speech
115|OSBORNE|"Sergeant West's served for twenty-
Three years. He's the public face
of the modern Army."|speech
116|HARDY|"And you notice I'm not in the Army
anymore."|speech
117||They round a corner.|stage direction
118|STYLES|"The exercise was one of his Section
Eight ""private sessions"". Left around
2100 yesterday and were scheduled
for pick up at 0630 this morning."|speech
119|HARDY|And the problem is you only got three.|speech
120|STYLES|"No, the problem is one's dead, one's
got a bullet in his arm, and one
won't talk. The one who won't talk
was trading live fire with the dead
one as we reached the pick-up."|speech
121|HARDY|"I'm assuming that's what made him
the dead one?"|speech
122|STYLES|"Cadet Roberto R. Nunez.   Killed right
in front of me."|speech
123|OSBORNE|"Search parties for the others are
fanning out in a ten click radius
from the pickup. If they're hurt
and we can get to them in time..."|speech
124||8.|unknown
125|STYLES|"I called the JAG Corps, the two cadets
we retrieved are to be flown to D.C.
On a transport leaving here at 1700-"|speech
126|HARDY|"Which gives us about five hours.
Why'd you call me?"|speech
127|STYLES|"The guy in interrogation said he'd
only talk to a cop."|speech
128|HARDY|"And I'm the closest thing to it,
right?"|speech
129||Styles stops, turning to his friend.|stage direction
130|STYLES|"Tom, bottom line: I let those kids
go out there. If JAG shows up and I
don't have any answers for them, my
career is finished-"|speech
131|HARDY|I'm not gonna let that happen.|speech
132||Styles exhales, relieved.|stage direction
133|STYLES|"Thank you. Osborne will brief you
on the cadets. And Tom?"|speech
134||(half-smile)|unknown
135|STYLES|It really is good to see you.|speech
136||INT. FORT MCKINLEY -- OSBORNE'S OFFICE -- MORNING|location
137||"Osborne and Hardy enter, stepping over broken glass and
hurricane debris. Hardy looks around."|stage direction
138|HARDY|"Gotta be honest, I love what you've
Done with the place-"|speech
139|OSBORNE|You and the Colonel go back.|speech
140|HARDY|"He got me through Basic and a lot of
other stuff. I owe him."|speech
141|OSBORNE|"You're the Tom Hardy I've been reading
about in the papers, right? New
Orleans PD fired you for taking bribes
from Guissepe Torres."|speech
142||9.|unknown
143|HARDY|"It was for suspicion of bribery,
it's really all in the wording-"|speech
144|OSBORNE|"Wording and your friendship with the
Colonel aside, I'm not comfortable
having you involved in this."|speech
145|HARDY|"Subtlety really isn't one of you
finer points, is it, Osborne?"|speech
146||Osborne opens her mouth to reply but Hardy cuts her off.|stage direction
147|HARDY|"Three things. First - You don't
have a choice. Second- I've never
taken a bribe in my life. And Third -
I'm still a little drunk from last
night, so if I skip over the witty
banter and move forward to straight
hitting on you, try not to take
offense. Tell me about the two guys."|speech
148|OSBORNE|"Hurricane knocked out our Mainframe,
so all we have are their dogtags.
Cadets Raymond Dunbar and Levi Kendall-"|speech
149||HARDY|unknown
150|OSBORNE|Levi?   Who names their kid Levi-|speech
151|OSB0RNE|Senator Jonathan Kendall, of Ohio.|speech
152|HARDY|"Christ... Remind me to thank Bill
for mentioning that on the phone-"|speech
153|OSBORNE|"Kendall Junior is still  in surgery,
so he won't be available  to answer
for his name or anything  else for
another hour - the cadet  we're talking
to first is Dunbar."|speech
154|HARDY|He's in interrogation?|speech
155||OSBORNE|unknown
156|HARDY|Yes.|speech
157||HARDY|unknown
158|HARDY|Move him.|speech
159||"10.
OSBORNE"|unknown
160|HARDY|Why?|speech
161|HARDY|"Because interrogation rooms look
suspiciously like interrogation rooms,
which doesn't exactly put people at
ease. Is he cute?"|speech
162||OSBORNE|unknown
163|HARDY|Excuse me?|speech
164|HARDY|Is Dunbar cute?|speech
165||"OSBORNE
(pissed)"|unknown
166|HARDY|That is the most unprofessional-|speech
167|HARDY|"Is he handsome, self assured, carry
himself well, does he look you in
the eyes or down at the floor, does
he have good bones, suggesting good
breeding, does he slouch or sit up
straight - these are important
questions, as they reveal a great
deal about this man's character so
please get over yourself for two and
a half seconds and tell me is he
cute?"|speech
168||Osborne stares at him.    She finally nods.|stage direction
169|HARDY|"Thank you. At some point in there
I'm gonna rub my nose. When I do,
go at him with everything you got."|speech
170|OSBORNE|Good cop/bad cop?|speech
171|HARDY|Something like that.|speech
172||She starts to go make preparations.|stage direction
173||HARDY|unknown
174|HARDY|"Oh, and Osborne? You have any donuts
around here?"|speech
175||INT. FORT MCKINLEY -- CORRIDOR -- MORNING|location
176||"As two M.P.'s escort RAYMOND DUNBAR (the ""Bigger Man"") into"|stage direction
177||11.|unknown
178||INT. COFFEE ROOM -- MORNING|location
179||"A small cluttered room with the shades drawn. A folding
table has been set up in the middle of it with a chair on
each side. Dunbar takes a seat in the far chair. Takes in
his surroundings as the MP's leave, locking the door."|stage direction
180||INT. FORT MCKINLEY -- CORRIDOR - MORNING|location
181||Hardy and Osborne head towards the Coffee Room.|stage direction
182|OSBORNE|"I questioned him for three hours and
he didn't make a sound. You don't
have a badge, he won't talk to you."|speech
183|HARDY,|"Ten bucks says I have him talking in
under three minutes."|speech
184||Osborne starts the timer on her digital watch.|stage direction
185||OSBORNE|unknown
186|HARDY,|Go.|speech
187||INT. COFFEE ROOM -- MORNING|location
188||Dunbar looks up as they enter.    Hardy smiles, cheerily.|stage direction
189|HARDY|"Cadet Dunbar, good morning! I'm Tom
Hardy and I believe you've already
met Officer Osborne. I understand
you had a rough time of it last night?"|speech
190||No response.    Hardy takes a seat across from the cadet.|stage direction
191|HARDY|"Not talking, huh? You probably just
want to get some food and some sleep.
They feed you yet?"|speech
192||"No response.    Hardy reaches into his pocket.   Pulls out a
DONUT.
Dunbar eyes it, wary but definitely wanting it."|stage direction
193|HARDY|"Go on. You can eat in front of
someone and still not talk to them -
my parents did it for years."|speech
194||Dunbar grabs the donut, wolfing it down.|stage direction
195|HARDY|Want another one?|speech
196||No response.    Osborne looks to her watch - it's been a minute.|stage direction
197||12.|unknown
198|HARDY|"Maybe later. Ray, let me say this
up front - I'm not a cop."|speech
199||Dunbar turns away, no longer interested.   Hardy continues:|stage direction
200|HARDY|"I used to be, but that's beside the
point. Who I am doesn't really
matter; what matters is that right
now, you're in a shitload of trouble.
You understand that, right?"|speech
201||No response.|stage direction
202|HARDY|"Now, I don't know if you did what
you did in self defense and frankly
I don't really care. I'm just doing
a favor for Colonel Styles because
he wants to know if anyone else who's
still out there is in need of
assistance. To be honest with you,
though, I don't care about that
either."|speech
203||Dunbar looks up at this, surprised.|stage direction
204|HARDY|"I don't know those guys, you do.
They die, to me, it's like seeing a
couple people died in a fire on the
news - tragic, but it doesn't affect
me. The only thing I care about is
I agreed to do a favor for a friend
and try and talk to you till your
transpo shows up. You like baseball?"|speech
205||No response.   Osborne looks at her watch - two minutes.|stage direction
206|HARDY|"I could talk baseball for   days.
Batting averages, ERA's, I   got
statistics in my brain, I   don't know
how I remember them. It's    freaky.
You wanna talk baseball?"|speech
207||Dunbar, completely confused.|stage direction
208|HARDY|"Come on Ray, we're gonna be here
five hours, we gotta talk about
something. So who do you like?"|speech
209||A long silence and then:|stage direction
210||13.|unknown
211|DUNBAR|I don't like baseball.|speech
212||Hardy grins as Osborne stops her watch at 2:41.|stage direction
213|HARDY|Why not?|speech
214|DUNBAR|I asked for a policeman.|speech
215|HARDY|"You're under military arrest, it's
not gonna happen. What's wrong with
baseball?"|speech
216|DUNBAR|It's... too slow.|speech
217|HARDY|"Well, it's a game of anticipation,
that's the beauty."|speech
218|DUNBAR|I just don't like it.|speech
219|HARDY|What do you like then?|speech
220||"As they continue, we TRACK under the table to reveal a HIDDEN
MICROPHONE..."|stage direction
221||INT. STYLES' OFFICE -- MORNING|location
222||"Styles and an M.P. listening to the Coffee Room conversation.
DUNBAR'S VOICE, over the speaker:"|stage direction
223|DUNBAR (O.S.)|I don't know... I like the Army.|speech
224|HARDY (O.S.)|"C'mon, Ray, everyone hates the Army
during Basic. I'll tell you straight,
I hated it here."|speech
225||INT. COFFEE ROOM -- MORNING|location
226|DUNBAR|You did Basic here?|speech
227|HARDY|"Fifteen years ago under Sergeant
West. Piece of work, that guy. I
remember, he used to have these two
silver .45's with ivory handles and
if you weren't quick enough, he'd"|speech
228||"14.
HARDY (CONT'D)
knock you on the head with one of
them. He still carry those guns?"|unknown
229||He Dunbar nods.|stage direction
230||"HARDY
I was also his "" knife dummy"" .
(to Osborne)
See, West used to say he could slit
a man from stem to sternum in three
seconds. He'd use this length of
pipe to demonstrate and if you were
the knife dummy, you'd spend all day
getting a pipe rammed into your balls
if you weren't fast enough to defend
yourself. That was a loooong day."|unknown
231||Hardy laughs at the memory and turns back to Dunbar.|stage direction
232||"HARDY
Incidentally, Ray, I promised them
I'd ask where West and the others
are. Can we get to them?"|unknown
233||He looks to the floor.|stage direction
234||"DUNBAR
There's no need...
HARDY
They're dead, aren't they?"|unknown
235||Dunbar looks back up at Hardy.|stage direction
236||"DUNBAR
Yeah."|unknown
237||INT. STYLES' OFFICE -- MORNING|location
238||Styles lowers his head at this.|stage direction
239||INT. COFFEE ROOM -- MORNING|location
240||"HARDY
You kill them?"|unknown
241||No answer.    Hardy rubs his nose.   Osborne steps forward.|stage direction
242||"OSBORNE
The Colonel saw you shoot Nunez,
You're a murderer-
HARDY
See, Ray, this is what we call ""good
cop, bad cop"".
(MORE)
15.
HARDY"|unknown
243|(MORE)|"She shouts, I stand up for you, you're
grateful, a bond of trust is
established."|speech
244||Osborne, stunned by this.|stage direction
245|HARDY|"But I don't want to play games.
That's why you're not in an
interrogation room, with one of those
two way mirrors - everyone knows
those things are two way, right?"|speech
246||Dunbar looks at him good nods slowly.|stage direction
247|HARDY|"Right. Now, I'm gonna go get you
another donut and you think about
whether you want to talk more, okay?"|speech
248|DUNBAR|Okay.|speech
249||Hardy smiles at him, gets up, and leaves.|stage direction
250||INT. FORT MCKINLEY -- CORRIDOR -- MORNING|location
251||Osborne follows him out into the hall where Styles waits.|stage direction
252|OSBORNE|Baseball?|speech
253|HARDY|Believe somebody owes me ten dollars-|speech
254|OSBORNE|You made me look like an idiot-|speech
255|HARDY|"Oh, I'm sorry, I didn't know the
object of the interrogation is to
make you look good- Everyone knows
good cop, bad cop - by admitting it
I appeared trustworthy."|speech
256|STYLES|You think he did it?|speech
257|OSBORNE|No-|speech
258|HARDY|Yes-|speech
259||They stop, looking at each other.|stage direction
260||16.|unknown
261|STYLES|"You've got four hours and forty-five
minutes to find out."|speech
262||INT. COFFEE ROOM -- MORNING|location
263||Hardy returns, another donut in hand, Osborne behind him.|stage direction
264|HARDY|Why'd you ask for a cop, Ray?|speech
265|DUNBAR|I'm not telling you what happened.|speech
266|HARDY|"Okay... but I would like to know
about the other cadets. What they
were like - nice guys? Dunbar takes
a deep breath."|speech
267|DUNBAR|Some.|speech
268|HARDY|Tell me about them.|speech
269||As Dunbar begins to talk, we FLASHBACK...|stage direction
270||EXT. FORT MCKINLEY -- PARADE GROUNDS -- EIGHT WEEKS AGO|location
271||"Row upon row of freshly shaven headed CADETS stand at
attention. Their first day of boot camp."|stage direction
272|DUNBAR (V.O.)|"First day was when I met Pike.    Sarge
hated him from the beginning."|speech
273||"A man with a face of granite strides up and down the lines.
Two ivory handled pistols on his hips. His lifeless cobalt
blue eyes take in the Cadets. This is SERGEANT WEST."|stage direction
274|WEST|"You motherfuckers have just made the
worst mistake of your lives! You
have chosen to join my Army! This
Army is my mother, my father, and my
little virgin sister and I will not
allow anyone or anything that is not
up to my standards near her pretty
little virgin cooze, do you understand
me - give me a sir, yes, sir!"|speech
275|THE CADETS|Sir, yes, sir!|speech
276||17.|unknown
277|WEST|"Those who I deem unworthy to pass
through this camp will quit, and
those who refuse to quit I will kill.
You ever hear of a training accident -
Give me a sir, yes, sir!"|speech
278|THE CADETS|Sir, yes, sir!|speech
279|WEST|"In my time I have killed sixteen men
for the good of my country, sixteen
men whose entrance into this Army I
could not condone, as it would weaken
the fabric of this nation's defense!
This base suffers an average of three
training accidents a year, unfortunate
incidents that I will not hesitate
to repeat if you cross me, understand -
Give me a sir, yes, sir!"|speech
280|THE CADETS|Sir, yes, sir!|speech
281|WEST|"So forget what you've seen on Sixty
fucking Minutes about the kinder,
gentler military - you will either
succeed, quit, or die by my hand!"|speech
282||He walks over to a tall black cadet in the front row.   PIKE.|stage direction
283|WEST|"My power here is absolute, isn't
that right, nigger?"|speech
284|PIKE|Sir, yes, sir!|speech
285||West hauls off and SLAPS Pike across the face!|stage direction
286|WEST|"I hail from Biloxi, Mississippi where
we string greasy coon necks up from
tree branches when the mood strikes
us you have a problem with that?"|speech
287|PIKE|Sir, no, sir!|speech
288||"West grabs Pike by the neck, CHOKING HIM. The others Cadets
GASP. Pike goes down on his knees, the loss of air is so
great. He reaches up automatically to try and save himself..."|stage direction
289||18.|unknown
290|WEST|"What the fuck is this? You lay a
hand on me while I'm trying to do my
duty and rid the world of you?"|speech
291||"He KICKS PIKE IN THE BALLS and releases him. Pike goes fetal
on the ground, VOMITING, as West stands over him, screaming."|stage direction
292|WEST|"Get the fuck up, you're still in
formation, get the fuck up!"|speech
293||Pike somehow gets to his feet, vomit streaking his clothes.|stage direction
294||WEST|unknown
295|WEST|"What the fuck have you done to that
uniform, take it off, take it off,
take it off!"|speech
296||"Pike, still gasping, can't move fast enough.    West slaps him
again and tears the man's shirt off."|stage direction
297|WEST|"Get those fucking pants off, I want
you buck ass naked, you don't deserve
to wear these beautiful United States
Army issue clothes!"|speech
298||"Pike struggles off the rest of his clothes until he is NAKED.
West turns and spies Dunbar in the line."|stage direction
299|WEST|Cadet, what's your name!|speech
300|DUNBAR|Sir, Dunbar, sir!|speech
301|WEST|You know how to work a pistol, Dunbar?|speech
302|DUNBAR|Sir, yes, sir!|speech
303||West draws one of his PISTOLS and gives it to him.|stage direction
304|WEST|"Dunbar you are to stand here and
guard this nigger for the next twenty-
four hours! He is not to be given
food, water, or clothes! If he so
much as moves, you are to blow his
nigger brains out, is that clear?"|speech
305|DUNBAR|Sir, yes, sir!|speech
306||19.|unknown
307|WEST|"The rest of you, fallout for
physicals!"|speech
308||"The rest of the Cadets fallout, following West away to one
of the buildings, leaving Dunbar and Pike.
One with a gun, the other naked."|stage direction
309|DUNBAR (V.O.)|"Fifteen guys quit that day.    But not
Pike."|speech
310||EXT. OBSTACLE COURSE -- EIGHT WEEKS AGO -- MORNING|location
311||The CADETS, navigating a log spanned over a PIT OF MUD.|stage direction
312|DUNBAR (V.O.)|"Time went on and the Sarge started
singling people out."|speech
313||"One of the Cadets, a small man named ANDERSON, falls from
the log. Screaming, West dives into the pit and pulls
Anderson out, knocking him on the head with a pistol."|stage direction
314||EXT. TARMAC -- EIGHT WEEKS AGO -- AFTERNOON|location
315||"Anderson stands naked, his arms straining to hold up,TWO
PAINT CANS perpendicular to his body as West berates him."|stage direction
316|DUNBAR|"He'd zero in on a fella and ride him
till he quit."|speech
317||EXT. MAIN GATE -- EIGHT WEEKS AGO -- NIGHT|location
318||Anderson, now in civilian clothes, gets into a TAXI.   Quit.|stage direction
319||EXT. FIRING RANGE -- EIGHT WEEKS AGO -- MORNING|location
320||West, screaming at a weasely looking cadet named CHILDS.|stage direction
321|DUNBAR (V.O.)|"Those who wouldn't quit, he'd put in
what he called Section Eight."|speech
322||INT. SECTION EIGHT BARRACKS -- EIGHT WEEKS AGO -- NIGHT|location
323||"A horribly dilapidated quarters. Four cadets, Dunbar, Pike,
Childs, and MUELLER sleep in rickety bunks."|stage direction
324|DUNBAR (V.O.)|"Washout rejects, guys he said were ,
""dumbfucks too stupid to know they
were dead"". He separated us from
the rest. We slept alone..."|speech
325||20.|unknown
326||INT. MESS HALL -- EIGHT WEEKS AGO -- MORNING|location
327||"The same four Cadets, eating ON THE FLOOR as the other members
of the Cadet Corps chow at tables."|stage direction
328|DUNBAR (V.O.)|. . .ate alone.. .|speech
329||EXT. REGULAR BARRACKS -- EIGHT WEEKS AGO -- EVENING|location
330||"The four Cadets fallout on a run shirtless, with heavy packs
and rifles held over their heads as the rest of the Cadet
Corps files into their barracks for sleep."|stage direction
331|DUNBAR ( V. O . )|"...and trained long after the other
guys got to turn in."|speech
332||EXT. PARADE GROUNDS -- EIGHT WEEKS AGO -- MORNING|location
333||"The Cadet Corps, mustered. West zeroes in on NUNEZ (the
""dead one""), whose t-shirt has a spot on it."|stage direction
334|DUNBAR (V.O.)|"Fellas lived in daily fear of being
Sectioned and with good reason, too."|speech
335||"West pulls Nunez out of line by his ear and kicks him over
towards a separate muster of our Four Section Eighters."|stage direction
336|DUNBAR|"They figured we were the boys who'd
meet with a ""training accident"" ."|speech
337||Nunez takes a place among them.   Looking absolutely terrified.|stage direction
338||INT. COFFEE ROOM -- PRESENT DAY|location
339||Osborne leans forward.|stage direction
340||OSBORNE|unknown
341|DUNBAR|"Are you saying Sergeant West tried
to kill you?"|speech
342|DUNBAR|"No, ma'am, he just wanted us to quit.
Making it through was kind of an
honor. Some of the other guys on
the base told us that if you could
hack Section Eight, Command would
consider you at the top of the class."|speech
343|HARDY|That's not exactly true...|speech
344||(off their looks)|unknown
345|HARDY|"I'm living proof. How did you get
Sectioned, Ray?"|speech
346||21.|unknown
347||Dunbar gives a look that almost resembles a smile.|stage direction
348|DUNBAR|"That first night with Pike. I made
the mistake of letting him sit down
at around 0300."|speech
349|OSBORNE|"Tell us about the other guys, the
ones West weeded out."|speech
350|DUNBAR|There were six of us...|speech
351||EXT. OBSTACLE COURSE.-- ONE WEEK AGO -- EVENING|location
352||"The six members of Section Eight on a forced run through the
rain. We focus in each face as Dunbar describes them. First
up is MUELLER a tall Aryan looking blonde with a square jaw."|stage direction
353|DUNBAR (V.O.)|"Mueller was from Tulsa, a real good
ol' boy type. One of those ""his
Daddy's Daddy's Daddy died at Bull
Run and no bleeding heart Yankee was
gonna take away his scatter gun"" .
He idolized West."|speech
354||"Muller, grinning, as West kicks his ass to pick up the pace.
Next to him is NUNEZ, a strapping hulk of a manchild."|stage direction
355|DUNBAR (V.O.)|"And Nunez idolized Mueller. Big
fella from New Mexico. After he got
Sectioned he just followed Mueller
around like a lap dog. He wasn't
mean like Mueller, though, didn't
have it in him."|speech
356||Next to Nunez is CHILDS, small and weasely with feral eyes.|stage direction
357|DUNBAR (V.O.)|"But Childs did. Didn't talk to
anyone, but you got this feeling
something was wrong with him, like
real wrong. Type of guy you felt
uncomfortable going to sleep near."|speech
358||Behind Childs runs Pike.|stage direction
359|DUNBAR (V.O.)|"Pike I told you about. He took the
brunt of it from Mueller and West.
Once they found it out he was a
convict they were merciless."|speech
360||22.|unknown
361|DUNBAR (V.O.) (CONT'D)|"He'd been busted for Auto Theft,
judge gave him the option of jailor
the Army. He made the wrong choice."|speech
362||"Next to Pike, Dunbar and KENDALL run side by side.   Kendall
is short like Childs, but also weak. Wheezing."|stage direction
363|DUNBAR|"Finally Kendall and me. Kendall was
a smart guy, we got along okay.
Pike and I tried to help him, but..."|speech
364||"Kendall falters and Pike stops to try and help him up. West
smacks the him away, practically kicking Kendall to his feet."|stage direction
365|DUNBAR (V.O.)|"He was sickly. Had that shaking
thing, whatd'yacall it, epoxy?"|speech
366||OSBORNE (V.O.)|unknown
367|DUNBAR (V.O.)|Epilepsy.|speech
368|DUNBAR (V.O.)|"Yeah. Spent half his time in the
infirmary. Only reason he enlisted
was his father. West didn't section
him till last week."|speech
369||INT. COFFEE ROOM -- PRESENT DAY|location
370|HARDY|"And those were the guys who went on
the exercise with you?"|speech
371||DUN BAR|unknown
