;vocab_male;vocab_male_count;vocab_female;vocab_female_count
270;voice;15;driver;5
271;cont;15;death;5
272;round;15;belhatchett;5
273;chapin;15;christine;5
274;schott;15;respect;5
275;kill;15;los;5
276;clay;15;sound;5
277;alright;15;eye;5
278;sense;15;none;5
279;return;15;hour;5
280;robert;15;beautiful;5
281;justice;15;information;5
282;flight;15;ya;5
283;decision;15;script;5
284;platt;15;play;5
285;hope;15;hexavalent;5
286;stuff;15;movie;5
287;joe;15;attention;5
288;eat;15;flight;5
289;jung;15;decision;5
290;risk;14;peace;5
291;army;14;hinkley;5
292;whip;14;casino;5
293;murder;14;crap;5
294;distance;14;start;5
295;secretary;14;train;5
296;father;14;account;5
297;thirty;14;stand;5
298;wal;14;truth;5
299;corner;14;kurt;5
300;worry;14;staff;5
301;donnie;14;tape;5
302;hour;14;waste;5
303;b;14;va;5
304;lie;14;thought;5
305;celeste;14;eat;5
306;damn;14;captain;4
307;person;14;frank;4
308;scotland;14;relax;4
309;government;14;give;4
310;count;14;want;4
311;forget;13;mess;4
312;jack;13;appreciate;4
313;drive;13;aunt;4
314;l;13;da;4
315;luck;13;beep;4
316;vote;13;yer;4
317;truman;13;board;4
318;air;13;judge;4
319;make;13;officer;4
320;cape;13;hunh;4
321;offer;13;bottom;4
322;cost;13;ice;4
323;want;13;dinner;4
324;spot;13;somebody;4
325;crime;13;dealer;4
326;sport;13;test;4
327;tara;13;dance;4
328;road;13;milk;4
329;share;13;team;4
330;fire;13;eliza;4
331;keep;13;wondering;4
332;rothstein;13;figure;4
333;scene;13;date;4
334;christ;12;neck;4
335;radio;12;mail;4
336;opportunity;12;term;4
337;judge;12;language;4
338;heat;12;message;4
339;picture;12;massa;4
340;dance;12;price;4
341;girl;12;drive;4
342;card;12;cannot;4
343;price;12;come;4
344;husband;12;evidence;4
345;rugby;12;property;4
346;driver;12;bottle;4
347;respect;12;rest;4
348;treach;12;ross;4
349;list;12;mon;4
350;company;12;neighbor;4
351;w;12;jasper;4
352;fun;12;cream;4
353;step;12;month;4
354;department;12;difference;4
355;gettin;12;list;4
356;control;12;share;4
357;bitch;12;dress;4
358;system;12;court;4
359;truck;12;responsibility;4
360;class;12;pleasure;4
361;ha;12;robert;4
362;press;12;research;4
363;rule;12;motherfucker;4
364;hate;11;divorce;4
365;shaw;11;part;4
366;forty;11;king;4
367;comin;11;find;4
368;derek;11;cry;4
369;beer;11;raise;4
370;interest;11;bill;4
371;hang;11;yesterday;4
372;support;11;danger;4
373;die;11;game;4
374;box;11;use;4
375;effort;11;tuppence;4
376;dick;11;uh;4
377;wood;11;bell;4
378;direction;11;try;4
379;ya;11;woodroof;4
380;lady;11;le;4
381;soldier;11;lo;4
382;history;11;shut;4
383;check;11;g;4
384;fine;11;rothstein;4
385;radburn;11;attack;4
386;meeting;11;beg;4
387;mouth;11;bet;4
388;jason;11;hope;4
389;ride;11;joe;4
390;permission;11;walk;4
391;g;11;brockovich;4
392;staff;11;fucker;4
393;magnante;11;paycheck;4
394;position;11;amendment;4
395;percent;11;authority;4
396;bill;10;sister;4
397;county;10;intention;4
398;cocaine;10;buy;4
399;music;10;ha;4
400;hold;10;rule;4
401;service;10;foul;3
402;ray;10;whack;3
403;bat;10;deadbeat;3
404;commission;10;smoke;3
405;child;10;county;3
406;remo;10;army;3
407;k;10;princess;3
408;mistake;10;holy;3
409;guess;10;mm;3
410;evidence;10;turn;3
411;market;10;beauty;3
412;gregoire;10;order;3
413;space;10;emotion;3
414;college;10;plantation;3
415;seat;10;scene;3
416;damon;10;break;3
417;boat;10;heck;3
418;stand;10;service;3
419;act;10;compressor;3
420;area;10;mercy;3
421;fall;10;dog;3
422;sun;10;swamp;3
423;information;10;bat;3
424;england;10;beer;3
425;put;10;catch;3
426;chairman;10;remind;3
427;plan;10;jennifer;3
428;league;10;chorus;3
429;shirt;10;dyin;3
430;yesterday;10;jane;3
431;land;10;music;3
432;cell;10;hear;3
433;honor;10;medication;3
434;sort;10;floor;3
435;wall;10;role;3
436;partner;10;ride;3
437;hurry;10;die;3
438;lincoln;10;dig;3
439;jeremy;10;cost;3
440;freedom;10;fear;3
441;washington;10;burch;3
442;blair;10;health;3
443;herbert;9;thirty;3
444;calm;9;afford;3
445;henry;9;behalf;3
446;travel;9;soul;3
447;oakland;9;council;3
448;difference;9;plaintiff;3
449;boston;9;spot;3
450;cop;9;group;3
451;board;9;drop;3
452;prison;9;sponsor;3
453;race;9;someplace;3
454;officer;9;california;3
455;security;9;president;3
456;trip;9;vote;3
457;bloody;9;boyfriend;3
458;council;9;breakfast;3
459;date;9;wonder;3
460;equality;9;pair;3
461;investigation;9;beth;3
462;sure;9;uncle;3
463;madiba;9;corner;3
464;duty;9;countenance;3
465;thousand;9;pot;3
466;clock;9;mary;3
467;pick;9;thousand;3
468;coat;9;cash;3
469;speech;9;joke;3
470;jew;9;worry;3
471;mama;9;document;3
472;store;9;kingdom;3
473;sell;9;twelve;3
474;eliza;9;doll;3
475;hit;9;moon;3
476;arm;9;act;3
477;license;9;luck;3
478;connection;9;berger;3
479;champion;9;hire;3
480;fucking;9;imagination;3
481;bradford;9;forget;3
482;age;9;song;3
483;send;9;fall;3
484;overseer;9;condition;3
485;front;9;maggie;3
486;frank;9;past;3
487;bed;9;clock;3
488;drug;9;sun;3
489;rincon;9;action;3
490;match;9;hurry;3
491;know;9;northcott;3
492;clutter;9;advice;3
493;champ;9;teach;3
494;buy;9;feed;3
495;credit;8;pablo;3
496;pienaar;8;miss;3
497;hurt;8;twenty;3
498;shoot;8;least;3
499;locker;8;hotel;3
500;example;8;trip;3
501;machine;8;sayin;3
502;break;8;writer;3
503;zozo;8;wow;3
504;plate;8;c;3
505;bar;8;community;3
506;preston;8;sweetheart;3
507;union;8;vos;3
508;tha;8;grant;3
509;sentence;8;lester;3
510;yer;8;easter;3
511;shoulder;8;couple;3
512;election;8;knock;3
513;post;8;donna;3
514;form;8;anne;3
515;battle;8;suit;3
516;row;8;v;3
517;p;8;tarr;3
518;clerk;8;age;3
519;cassius;8;code;3
520;neck;8;marry;3
521;lunch;8;verdict;3
522;prick;8;punch;3
523;bullshit;8;wit;3
524;quarter;8;sort;3
525;saw;8;control;3
526;elijah;8;lock;3
527;mark;8;move;3
528;breath;8;david;3
529;read;8;cain;3
530;mood;8;system;3
531;sixty;8;truck;3
532;strip;8;soap;3
533;hutu;8;request;3
534;slang;8;disease;3
535;airport;8;kite;3
536;experience;8;bedroom;3
537;action;8;lemme;3
538;africa;8;brain;3
539;glad;8;favor;3
540;capote;8;state;3
541;pena;8;joy;3
542;operation;8;treat;3
543;imagine;8;meningitis;3
544;randall;8;ball;3
545;sailor;8;linwood;3
546;station;8;judgment;3
547;king;8;paul;3
548;cover;8;lincoln;3
549;c;8;hair;3
550;pendleton;8;peter;3
551;whoa;8;van;3
552;christine;8;diego;3
553;goddamn;8;boom;3
554;kansas;8;sentiment;3
555;papa;8;risk;2
556;fetch;8;nigger;2
557;chief;8;street;2
558;rat;8;protection;2
559;payroll;8;credit;2
560;bet;8;strike;2
561;j;8;hurt;2
562;wire;8;grief;2
563;slave;8;hold;2
564;drink;8;shoot;2
565;arrest;8;era;2
566;loss;8;erm;2
567;hair;8;gloria;2
568;cleveland;8;household;2
569;sleep;7;goff;2
570;force;7;dyke;2
571;hero;7;travel;2
572;hospital;7;machine;2
573;bayou;7;moron;2
574;shame;7;beach;2
575;david;7;description;2
576;turn;7;purchase;2
577;gate;7;coffee;2
578;lay;7;band;2
579;meat;7;diane;2
580;strength;7;carry;2
581;bruce;7;whip;2
582;dog;7;matar;2
583;pocket;7;ra;2
584;boss;7;medicine;2
585;kitchen;7;surprise;2
586;speak;7;sharon;2
587;evening;7;hearing;2
588;cane;7;tom;2
589;breakfast;7;albert;2
590;instance;7;endure;2
591;hunt;7;strength;2
592;jennifer;7;mario;2
593;reality;7;reputation;2
594;test;7;radio;2
595;milk;7;pattee;2
596;choice;7;jaguar;2
597;appeal;7;patch;2
598;bob;7;steal;2
599;afford;7;respond;2
600;figure;7;gentleman;2
601;till;7;score;2
602;group;7;finger;2
603;drop;7;nature;2
604;cart;7;contamination;2
605;bumpy;7;debt;2
606;gin;7;accident;2
607;television;7;tone;2
608;pain;7;conference;2
609;fifty;7;basis;2
610;title;7;union;2
611;concern;7;riley;2
612;uh;7;baum;2
613;engine;7;amount;2
614;blow;7;split;2
615;masry;7;hang;2
616;twelve;7;tuna;2
617;percentage;7;mamma;2
618;ta;7;sentence;2
619;song;7;birth;2
620;condition;7;shoulder;2
621;tea;7;hung;2
622;amount;7;attorney;2
623;advice;7;toxic;2
624;responsibility;7;ear;2
625;bless;7;bolt;2
626;weight;7;support;2
627;jury;7;anderson;2
628;attention;7;counsel;2
629;thou;7;daddy;2
630;lash;7;azt;2
631;sammy;7;gemini;2
632;knock;7;expertise;2
633;militia;7;ship;2
634;clark;7;reality;2
635;baby;7;highness;2
636;account;7;push;2
637;dominick;7;intimacy;2
638;light;7;manager;2
639;birthday;7;marion;2
640;remember;7;battle;2
641;bizimungu;7;advantage;2
642;border;7;choice;2
643;hi;7;cool;2
644;parker;7;item;2
645;hm;7;takin;2
646;computer;7;jury;2
647;fault;7;clerk;2
648;speaker;7;baseball;2
649;thought;7;till;2
650;sister;7;wallet;2
651;circus;7;making;2
652;nelson;7;pure;2
653;holy;6;st;2
654;relax;6;cold;2
655;ceremony;6;tort;2
656;beach;6;window;2
657;foreal;6;desoto;2
658;crew;6;nation;2
659;thee;6;hall;2
660;sound;6;barrow;2
661;mention;6;space;2
662;drawn;6;advance;2
663;debt;6;motion;2
664;pity;6;invitation;2
665;yes;6;view;2
666;nancy;6;size;2
667;uncle;6;convention;2
668;coach;6;shawn;2
669;skin;6;alan;2
670;barbie;6;television;2
671;fbi;6;college;2
672;casey;6;pre;2
673;fly;6;seal;2
674;pure;6;say;2
675;term;6;animation;2
676;profit;6;cheat;2
677;motion;6;ralph;2
678;note;6;title;2
679;pair;6;gee;2
680;vacation;6;asleep;2
681;newspaper;6;sport;2
682;ranch;6;concern;2
683;speed;6;como;2
684;dulli;6;senator;2
685;mon;6;fix;2
686;execution;6;approval;2
687;colfax;6;caring;2
688;exit;6;breath;2
689;cabinet;6;runnin;2
690;rage;6;hysterectomy;2
691;suitcase;6;harris;2
692;taste;6;dark;2
693;ah;6;ellie;2
694;hickock;6;francois;2
695;diamond;6;willie;2
696;abram;6;slaughter;2
697;dress;6;problemo;2
698;trade;6;area;2
699;foot;6;buda;2
700;teach;6;hen;2
701;benedict;6;ah;2
