;vocab_male;vocab_male_count;vocab_female;vocab_female_count
273;state;54;tower;20
274;hair;54;tet;20
275;fact;53;hotel;20
276;make;53;park;20
277;energy;53;zeus;20
278;attention;53;find;20
279;promise;53;shirt;20
280;person;52;anybody;20
281;sign;52;age;20
282;stone;52;system;20
283;law;52;brain;20
284;worry;52;party;20
285;run;52;command;20
286;cell;52;mouth;19
287;jacket;52;julia;19
288;group;52;officer;19
289;weapon;52;shot;19
290;land;51;sound;19
291;history;51;excuse;19
292;shoulder;51;train;19
293;memory;51;heard;19
294;hotel;51;class;19
295;drive;50;rnewman;19
296;scene;50;christ;18
297;tonight;50;beauty;18
298;excuse;50;knepfler;18
299;ya;50;make;18
300;army;50;ella;18
301;apartment;50;fox;18
302;wanna;50;daddy;18
303;book;50;equipment;18
304;hello;49;corner;18
305;bring;49;dark;18
306;food;49;sex;18
307;sound;49;edge;18
308;mom;49;game;18
309;share;49;hammond;18
310;cash;49;step;18
311;leader;49;question;18
312;perseus;49;sit;18
313;prison;48;li;18
314;truth;48;bedroom;18
315;ghost;48;thought;18
316;lady;48;hi;18
317;pain;48;rise;17
318;forget;48;sarah;17
319;none;48;mu;17
320;ride;48;answer;17
321;report;48;service;17
322;picture;48;pocket;17
323;trip;48;bar;17
324;peace;48;test;17
325;hole;47;dance;17
326;tv;47;map;17
327;play;47;em;17
328;sea;47;wake;17
329;sarah;47;program;17
330;station;47;clock;17
331;mouth;46;information;17
332;pocket;46;food;17
333;choice;46;plan;17
334;dog;46;sea;17
335;sword;46;bit;17
336;gat;46;suit;17
337;gas;46;victor;17
338;catch;46;crash;17
339;level;46;start;17
340;hear;46;taggart;17
341;return;46;monster;16
342;music;45;cult;16
343;sky;45;saw;16
344;suit;45;board;16
345;rock;45;prison;16
346;beer;45;fight;16
347;spider;44;hear;16
348;sand;44;picture;16
349;action;44;police;16
350;colorado;44;lunch;16
351;board;44;take;16
352;foot;44;chamber;16
353;safety;44;image;16
354;horse;44;dragon;16
355;dude;44;station;16
356;parker;44;pickup;16
357;fuckin;44;fun;16
