;vocab_male;vocab_male_count;vocab_female;vocab_female_count
273;office;41;excuse;14
274;change;41;somebody;14
275;heard;41;week;14
276;area;41;attention;14
277;army;41;suit;14
278;mark;41;sit;14
279;cut;41;front;14
280;judge;41;darcy;14
281;information;40;star;14
282;camera;40;army;13
283;honey;40;coffee;13
284;share;40;break;13
285;fun;40;highness;13
286;breath;39;report;13
287;board;39;choice;13
288;yaz;39;duke;13
289;none;39;ruby;13
290;hour;39;dark;13
291;mouth;38;dagger;13
292;boat;38;area;13
293;sand;38;clock;13
294;base;38;find;13
295;thought;38;cell;13
296;christ;38;sea;13
297;c;38;person;13
298;leader;38;hammond;13
299;music;37;selvig;13
300;sense;37;light;13
301;command;37;tonight;13
302;hang;37;view;13
303;history;37;state;13
304;ride;37;penny;13
305;shot;37;party;13
306;guard;37;thought;13
307;hate;37;command;13
308;anybody;37;government;13
309;country;36;hi;13
310;sky;36;martin;13
311;play;36;faerie;12
312;bird;36;anastasia;12
313;reason;36;mouth;12
314;science;36;radio;12
315;grabs;36;security;12
316;hair;36;deal;12
317;christmas;36;fight;12
318;turn;36;hear;12
319;wanna;36;minute;12
320;choice;35;hall;12
321;pull;35;drive;12
322;wow;35;screen;12
323;bitch;35;wake;12
324;shield;35;stand;12
325;rock;35;graham;12
326;pay;35;fall;12
327;mon;35;grabs;12
328;alright;35;plane;12
329;center;35;yu;12
330;beer;35;robbie;12
331;percent;35;marriage;12
332;service;34;village;12
333;jim;34;fleet;12
334;land;34;edge;12
335;daughter;34;play;12
336;brain;34;gru;12
337;building;34;exchange;12
338;run;34;farm;12
339;silence;34;hope;12
340;ben;34;c;12
341;paranorman;34;bishop;12
342;sound;34;position;12
343;selvig;34;leader;12
344;weapon;34;throne;12
345;level;34;turn;11
346;engine;34;bridge;11
347;sign;33;camp;11
348;ah;33;loki;11
349;worry;33;judge;11
350;foot;33;shit;11
351;state;33;heard;11
352;rachel;33;map;11
353;pain;33;cobb;11
354;wake;33;wudan;11
355;flight;33;sam;11
356;want;32;saw;11
357;victoria;32;pain;11
358;pass;32;pay;11
359;site;32;rest;11
360;heimdall;32;touch;11
361;coffee;32;image;11
362;surface;32;forget;11
363;hi;32;information;11
364;norman;32;bloom;11
365;giant;32;ask;11
366;bull;32;king;11
367;pilot;32;cover;11
368;emergency;31;jade;11
369;couple;31;damn;11
370;window;31;fiona;11
371;bug;31;bit;11
372;blow;31;question;11
373;return;31;desert;11
374;z;31;ryan;11
375;goddamn;30;truth;11
376;lady;30;matt;11
377;mitch;30;truck;11
378;cell;30;courtyard;11
379;front;30;fault;11
380;monster;30;know;11
381;island;30;press;11
382;mountain;30;percent;11
383;position;30;monster;10
384;hear;30;specialist;10
385;light;30;hold;10
386;tonight;29;want;10
387;speak;29;scout;10
388;hall;29;wind;10
389;commander;29;cassiopeia;10
390;shoulder;29;dawn;10
391;robbie;29;magnus;10
392;moon;29;hammer;10
393;spot;28;science;10
394;date;28;make;10
395;dark;28;crowd;10
396;smile;28;ice;10
397;volstagg;28;round;10
398;ask;28;change;10
399;luck;28;dmitri;10
400;dog;28;cannot;10
401;make;28;engine;10
402;fall;28;status;10
403;tunnel;28;lady;10
404;charge;28;ah;10
405;coulson;28;pass;10
406;peace;28;sun;10
407;walk;28;dream;10
408;smith;28;marry;10
409;press;28;energy;10
410;wind;27;research;10
411;saw;27;base;10
412;drive;27;fun;10
413;ball;27;couple;10
414;bike;27;wanna;10
415;mistake;27;camera;10
416;test;27;z;10
417;size;27;peace;10
418;cannot;27;jason;10
419;hurry;27;gabriel;10
420;alvin;27;text;10
421;jump;27;walk;10
422;piece;27;surface;10
423;corner;27;huntsman;10
424;park;27;sister;10
425;hit;27;promise;10
426;village;27;support;10
427;block;27;path;9
428;situation;26;hurt;9
429;creature;26;hole;9
430;paper;26;risk;9
431;odin;26;damage;9
432;distance;26;machine;9
433;courtney;26;shirt;9
434;code;26;deck;9
435;break;26;farquaad;9
436;dr;26;crew;9
437;view;26;oxygen;9
438;rudy;26;listen;9
439;keep;26;mitch;9
440;answer;26;amoun;9
441;palace;26;wound;9
442;map;26;crater;9
443;oil;26;dylan;9
444;path;26;shoulder;9
445;direction;26;christmas;9
446;king;26;skin;9
447;rocket;26;p;9
448;lord;25;bob;9
449;technology;25;explorer;9
450;act;25;pitch;9
451;clock;25;jim;9
452;dance;25;dragon;9
453;safety;25;norman;9
454;launch;25;pair;9
455;attack;25;pilot;9
456;jotun;25;return;9
457;pitch;25;sand;9
458;round;25;none;9
459;meeting;25;history;9
460;julia;25;sense;9
461;gate;25;zander;9
462;thirty;25;foot;9
463;edge;25;mommy;9
464;darcy;25;expedition;9
465;fear;25;dudley;9
466;van;25;moon;9
467;crater;24;ride;9
468;roger;24;jump;9
469;package;24;apple;9
470;maggie;24;cloud;9
471;action;24;tunnel;9
472;shut;24;remember;9
473;rule;24;ben;9
474;law;24;blip;9
475;target;24;gravity;9
476;gravity;24;bring;9
477;em;24;brain;9
478;message;24;radiation;9
479;horse;24;sleep;8
480;neck;24;honey;8
481;freedom;24;london;8
482;bag;24;medusa;8
483;jacket;24;ward;8
484;fuck;24;swamp;8
485;charley;24;bay;8
486;join;24;bag;8
487;cool;24;goddess;8
488;witch;24;beer;8
489;officer;24;charlie;8
490;gang;24;check;8
491;prenderghast;24;glass;8
492;know;24;charge;8
493;bomb;23;sign;8
494;puss;23;fly;8
495;desert;23;sacrifice;8
496;lock;23;repeat;8
497;scene;23;shield;8
498;waste;23;card;8
499;beach;23;size;8
500;flash;23;corner;8
501;speed;23;wonder;8
502;structure;23;duty;8
503;police;23;situation;8
504;hogun;23;marcus;8
505;crew;23;paranorman;8
506;rome;23;communication;8
507;form;23;smile;8
508;box;23;difference;8
509;shock;23;ten;8
510;tower;23;learn;8
511;sue;23;dress;8
512;twenty;23;paper;8
513;cross;23;fool;8
514;throne;23;safety;8
515;haggard;22;reason;8
516;stone;22;feed;8
517;crack;22;champagne;8
518;sister;22;bond;8
519;smoke;22;gas;8
520;blast;22;shape;8
521;card;22;courtney;8
522;ya;22;run;8
523;vehicle;22;professor;8
524;effect;22;age;8
525;bernie;22;garden;8
526;risk;22;access;8
527;escape;22;inman;8
528;core;22;bosley;8
529;dinner;22;rebel;8
530;stand;22;trap;8
531;ow;22;bitch;8
532;program;22;class;8
533;class;22;fact;8
534;hero;21;auuu;8
535;tree;21;grab;8
536;lift;21;drink;8
537;beech;21;match;8
538;push;21;pool;8
539;future;21;record;8
540;enemy;21;boom;8
541;count;21;bifrost;7
542;cat;21;christ;7
543;dawn;21;poison;7
544;caesar;21;join;7
545;find;21;roof;7
546;permission;21;caiman;7
547;cup;21;hop;7
548;galaxy;21;mess;7
549;partner;21;goodbye;7
550;destroyer;21;service;7
551;heat;21;contact;7
552;serendipity;21;bomb;7
553;wood;21;pocket;7
554;duty;21;panel;7
555;tet;21;interest;7
556;reach;21;k;7
557;strike;20;mistake;7
558;rico;20;hang;7
559;chain;20;haggard;7
560;cobb;20;prison;7
561;sif;20;anya;7
562;pick;20;gasps;7
563;river;20;lien;7
564;rain;20;picture;7
565;contact;20;cool;7
566;equipment;20;witch;7
567;price;20;soul;7
568;pack;20;crazy;7
569;living;20;winter;7
570;jackson;20;living;7
571;kevin;20;reed;7
572;response;20;shot;7
573;helmsley;20;colony;7
574;metal;20;pod;7
575;ock;20;technology;7
576;honor;20;worry;7
577;brand;20;speed;7
578;york;20;knife;7
579;video;20;trip;7
580;fault;20;month;7
581;sure;20;darkness;7
582;pod;20;glad;7
583;respect;20;shark;7
584;sun;20;adventure;7
585;alien;20;playing;7
586;camp;19;fairy;7
587;prison;19;teach;7
588;crowd;19;romeo;7
589;age;19;jen;7
590;robot;19;bug;7
591;steel;19;diner;7
592;strength;19;meeting;7
593;entrance;19;whoa;7
594;remember;19;governor;7
595;button;19;location;7
596;danger;19;game;7
597;ravenna;19;signal;7
598;rescue;19;weyland;7
599;doc;19;papa;7
600;exchange;19;soyuz;7
601;mate;19;vehicle;7
602;approach;19;sort;7
603;store;19;porch;7
604;ext;19;kiss;7
605;holley;19;spot;7
606;francesco;18;bed;7
607;beauty;18;parker;7
608;letter;18;bedroom;7
609;offer;18;beam;7
610;vacation;18;computer;7
611;image;18;progress;7
612;counter;18;waste;7
613;hammer;18;beast;7
614;tape;18;gus;7
615;notice;18;thief;7
616;dirt;18;blade;7
617;lie;18;lead;7
618;star;18;luck;7
619;track;18;alright;7
620;conjunction;18;formica;6
