|text|type
110|INT. METRO-RAIL TRAIN - DAY|location
111|EXT. CITY STREETS - DAY|location
112|INT./EXT. BRAWLER - CITY STREETS - DAY|location
113|EXT. RAILWAY CROSSING - CITY STREETS - DAY|location
114|EXT. EIFFEL TOWER - DAY|location
115|INT. TYPHOON - DAY|location
116|EXT. STREET - DAY|location
117|INT. CONTROL ROOM - MARS HEADQUARTERS - DAY|location
118|EXT. CITY STREETS - DAY|location
119|INT. CONTROL ROOM - MARS HEADQUARTERS - DAY|location
120|EXT. STREET - DAY|location
121|"friendly for t orders to engage with
ces.
RIPCORD
The onl
about i
Dukendly force I care
S
Ripcord suddenly S
Forces' heads.
Some hit the PRAYS a burst of
crashes through t deck. gunfire over the French"|stage direction
122|, and though A DOZEN PARATR forward,|stage direction
123|"WE SMASH CUT TO: A him down hard.
The Joes sit alone FRENCH POLICE HOLDING CEL
L - DUSK"|stage direction
124|"n a desk. Bre
aker jumps up to Breakerssde Rf the bars
the bars.
Please, BREAKER
touch that. Please, don't
HE'S
touching It's very... Okayit. ,
Please! Sir. Sir,
How do RIPCORD
you say
""lawyer"" in
French?
BREAKER
If we could get on a
Might be
to computer we
longitude able Input the partial
les g es latitude, and
Viper, figu the
downloaded from tha t
re out their locati
ON-
HEAVY DUTY
(to Ripcord)
It'll be a military
when they're done tribunal.
need a lawyer. We with us And"|stage direction
125|Maybe it was the whole coordinate,|stage direction
126|INT. HALLWAY - NIGHT|location
127|INT. ROOM - LATER|location
128|EXT. NIGHT RAVEN - SKIES - DUSK|location
129|INT. NIGHT RAVEN - SKIES - DUSK|location
130|EXT. CEMETERY - WASHINGTON D.C. - FLASHBACK - DAY|location
131|INT./EXT. NIGHT RAVEN - POLAR ICE CAP - NIGHT|location
132|INT. ICE CAVE - NIGHT|location
133|INT. SUBMARINE - NIGHT|location
134|EXT. ARCTIC OCEAN - NIGHT|location
135|INT. DIVING BELL - NIGHT|location
136|INT. ENTRY PORT - NIGHT|location
137|INT. CORRIDORS - NIGHT|location
138|INT. CONTROL ROOM - NIGHT|location
139|EXT. DESTRO HEADQUARTERS - UNDERWATER - DAY|location
140|EXT. SUBMARINE - DESTRO HEADQUARTERS - DAY|location
141|INT. CONN TOWER - SUBMARINE - DAY|location
142|EXT. ICE FIELD - POLAR ICE CAP - DAY|location
143|INT. LAUNCH BAY- DESTRO HEADQUARTERS - DAY|location
144|INT./EXT. ICE CAVE - POLAR ICE CAP - DAY|location
145|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
146|INT./EXT. ICE CAVE - POLAR ICE CAP - DAY|location
147|INT. CONTROL ROOM - DESTRO HEADQUARTERS - DAY|location
148|EXT. ICE CAVE - POLAR ICE CAP - DAY|location
149|INT. NIGHT RAVEN - ICE CAVE - MOMENTS LATER|location
150|EXT. NIGHT RAVEN - ICE CAVE - DAY|location
151|INT. OPERATING CHAMBER - DESTRO HEADQUARTERS - DAY|location
152|blast of refrigerated air hits him as he opens the door.|stage direction
153|INT. LAUNCH BAY - DAY|location
154|INT. OPERATING CHAMBER - DAY|location
155|INT. TURBO LASER CONTROL ROOM - DAY|location
156|INT. CONN TOWER - DAY|location
157|EXT. UNDERWATER - DAY|location
158|INT. FLIGHT CONTROL ROOM - DAY|location
159|INT. TURBO LASER CONTROL ROOM - DAY|location
160|EXT. UNDERWATER - DAY|location
161|INT. CONN TOWER - DAY|location
162|EXT. SUBMARINE - DAY|location
163|INT./EXT. SHARC - UNDERWATER - DAY|location
