|character|text|type|character_clean|gender
51||"PENTHOUSE - CROCKETT + TUBBS - NIGHT
enter.  Two surveillance technicians, RICK and FRANK, are
glued to a monitor showing a bedroom in which nothing
happens.  LT. CASTILLO is there, out of a past somewhere
between CIA and the Jesuits...
Referring to the monitor on which there are NO PEOPLE in an
EMPTY BEDROOM.
They are watching air move."|stage direction||
52|TUBBS|This is exciting...|speech|TUBBS|M
53|RICK|That's 'cause nothing is happening.|speech|RICK|F
54|CROCKETT|No shit...?|speech|CROCKETT|F
55||(it goes past him)|location||
56|FRANK|"Yeah.  This is their
surveillance...how they video their
marks?  See, we jacked their fiber
optics, like we piggybacked their
signal.  Get it?"|speech|FRANK|?
57|TUBBS|Cooool...|speech|TUBBS|M
58||They exit to...|stage direction||
59||INT. PENTHOUSE CONDO - CROCKETT + TUBBS|location||
60||"are met at the door by security, who recognizes them, and are
welcomed by their host, UGO.  This is the Baccardi Cup After-
Party.  The same players from the marina...
OVER CROCKETT + TUBBS
enter an 8,000-square-foot penthouse...offshore racer types,
players, So Bee models..."|stage direction||
61|UGO|Runnin' the Biscayne 200?|speech|UGO|?
62||Crockett wanders off...|stage direction||
63|TUBBS|"If a coupla new exhaust manifolds
show up..."|speech|TUBBS|M
64||"CROCKETT
approaches a bar and female bartender..."|stage direction||
65|CROCKETT|"Gin and Tonic.  Plymouth or
Boodles."|speech|CROCKETT|F
66||(Scandinavian accent)|location||
67|BARTENDER|Lemon or lime?|speech|BARTENDER|M
68|CROCKETT|"Lemon doesn't go in Gin and Tonics,
darlin'.  Where ya' from?"|speech|CROCKETT|F
69||(leaning in)|location||
70|BARTENDER|Gottingen.  That's in Sweden.|speech|BARTENDER|M
71|CROCKETT|"You in Miami workin' on your
complexion...?"|speech|CROCKETT|F
72||She's beautifully bronzed.|stage direction||
73||(laughs)|location||
74|BARTENDER|No.  I was in Namibia...|speech|BARTENDER|M
75|CROCKETT|Doing...?|speech|CROCKETT|F
76|BARTENDER|"With the United Nations High
Commission on Refugees.  Famine
relief."|speech|BARTENDER|M
77||Gina's listening on her personal comms.|stage direction||
78|CROCKETT|"Really?  I did refugee relocation
in Somalia.  But they transferred
me out after I was wounded..."|speech|CROCKETT|F
79||Gina rolls her eyes as she crosses by Tubbs.|stage direction||
80|GINA|"Only African he ever ""relocated""
was a $2,000-an-hour Nigerian model
for Gucci, and he got wounded when
she took an NBA draft choice to the
Super Bowl instead of him..."|speech|GINA|F
81|TUBBS|He did volunteer one time...|speech|TUBBS|M
82||(entering)|location||
83|TRUDY|For a massage parlor bust?|speech|TRUDY|F
84||(beat)|location||
85|TRUDY|Why am I here...?|speech|TRUDY|F
86||"TRUDY JOPLIN is a tall African-American.  She whispers into a
small mic.  If you looked closely, she's ripped...as if steel
cables moved under her smooth skin.  She slides past Tubbs
and Gina..."|stage direction||
87||(low)|location||
88|TUBBS|"...to backup Switek.  But only if
it gets lethal."|speech|TUBBS|M
89|TRUDY|That's impossible.|speech|TRUDY|F
90|TUBBS|Why?|speech|TUBBS|M
91|TRUDY|Because you cannot kill him.|speech|TRUDY|F
92||"SWITEK
all white bling, is arguing with his blade-thin, glassy-eyed,
adrenaline junkie partner, ZITO.  Approaching is ""Miss
Ukraine.""  High cheekbones suggest one of Genghis Khan's
horsemen found her maternal ancestor as attractive as Switek
finds her...
Tubbs clocks three beefy Russians in a corner, one is
unusually fit."|stage direction||
93|TUBBS|And there's Dmitri...|speech|TUBBS|M
94|CROCKETT|"The honey trap.  And there's the
honey."|speech|CROCKETT|F
95|TUBBS|Hello, Miss Ukraine...|speech|TUBBS|M
96||"MISS UKRAINE brings Switek his glass of champagne...  She
whispers something in his ear...and is led towards a back
bedroom.  Gina ambles over."|stage direction||
97||(to Crockett)|location||
98|TRUDY|Eleven to seven he blows it.|speech|TRUDY|F
99||(whispers)|location||
100|CROCKETT|Twenty on my man...|speech|CROCKETT|F
101|TRUDY|"You're giving away your money,
fool..."|speech|TRUDY|F
102||"Tubbs opens his Moto as if he's about to make a call...Trudy
looks over his shoulder.  What we see is the feed from the
monitor in the surveillance room downstairs.
CLOSER: TUBBS'S MOTO
Two blonde people starting to get naked.  Switek and Miss
Ukraine.  A second call comes in.  Tubbs ignores it."|stage direction||
103||(to Zito)|location||
104|TUBBS|You bet your partner?|speech|TUBBS|M
105|ZITO|"Sure.  Switek versus primal impulse
from the amygdala.  Higher thinking
versus the lizard brain.  Tectonic
plates of libido confront the
cognitive."|speech|ZITO|M
106|GINA|"Oh, bullshit.  She cops his joint.
He pushes the button."|speech|GINA|F
107|TRUDY|What's so fucking difficult?|speech|TRUDY|F
108||"THEIR FACES.  They watch.  And...Crockett's cell phone rings.
He separates from the group..."|stage direction||
109|CROCKETT|Yeah...?|speech|CROCKETT|F
110|STEVENS (O.S.)|Sonny...?|speech|STEVENS|M
111|CROCKETT|Yeah.|speech|CROCKETT|F
112|STEVENS (O.S.)|Where's Riccardo?|speech|STEVENS|M
113|CROCKETT|On the phone.|speech|CROCKETT|F
114|STEVENS (O.S.)|I'm sorry.  I'm sorry, Sonny...|speech|STEVENS|M
115||EXT. BALCONY - CROCKETT - NIGHT|location||
116||"enters.  He's come outside to hear better.
In the background Gina shakes her head about Switek.  He blew
it.  Trudy looks at Crockett and sees Crockett's focused,
hearing..."|stage direction||
117|CROCKETT|Who is this?|speech|CROCKETT|F
118||"INTERCUT
WITH:"|unknown||
119||INT. BENTLEY - ALONZO STEVENS - NIGHT|location||
120||"He's cruising at 85.  He's floating in a magnolia leather
interior.  But it's bloodstained from his nose and mouth.
He's been beaten.  His white shirt is torn.  He doesn't
care..."|stage direction||
121||(voice cracks)|location||
122|STEVENS|It's fucked up.  I'm sorry...|speech|STEVENS|M
123||(recognizing him)|location||
124|CROCKETT|Alonzo?|speech|CROCKETT|F
125||(beat)|location||
126|CROCKETT|"What are you talking about?  Where
are you...?"|speech|CROCKETT|F
127|STEVENS|They had me from the gate.|speech|STEVENS|M
128|CROCKETT|I don't understand...|speech|CROCKETT|F
129||"Crockett's alarmed.  He catches Tubbs' eye and waves him
outside..."|stage direction||
130|STEVENS|"I gave up nothing on you guys.
Don't worry.  I kept you and Rico
out of it.  Only the Feds.  They're
on their own...it's all their deal,
anyway, so fuck 'em."|speech|STEVENS|M
131|CROCKETT (O.S.)|Alonzo, what's goin' on?!|speech|CROCKETT|F
132|STEVENS|"After I check on Francine and the
boys, then I'm gone.  Sonny, tell
Rico I'm so sorry.  I wanted you to
know..."|speech|STEVENS|M
133||Tubbs joins Crockett on the balcony.|stage direction||
134|CROCKETT|Where are you?|speech|CROCKETT|F
135|STEVENS (O.S.)|"...look after her.  Ask Rico to.
Okay?  Do that for me.  I had to do
it.  They had me from the gate.
Do that.  Whatever you can do for
them.  Okay?"|speech|STEVENS|M
136||(breaks)|location||
137|STEVENS (O.S.)|Look what I did to them, Sonny...!|speech|STEVENS|M
138|CROCKETT|Alonzo...!|speech|CROCKETT|F
139|STEVENS (O.S.)|Goodbye.|speech|STEVENS|M
140||Crockett's phone goes dead.|stage direction||
141|TUBBS|What is it?|speech|TUBBS|M
142|CROCKETT|Alonzo...|speech|CROCKETT|F
143|TUBBS|Stevens?|speech|TUBBS|M
144||(nods)|location||
145|CROCKETT|Something's wrong.|speech|CROCKETT|F
146||Crockett's entering a number while...|stage direction||
147||(dialing)|location||
148|TUBBS|I'll try Francine...|speech|TUBBS|M
149||Meanwhile Crockett HEARS...|stage direction||
150||(recording)|location||
151|MACHINE VOICE|"Federal Bureau of Investigation.
Our office hours are..."|speech|MACHINE VOICE|?
152||(Crockett punches three-|location||
153||digit code)|unknown||
154|FBI AGENT VOICE|F.B.I....|speech|FBI AGENT VOICE|?
155||(cuts him off)|location||
156|CROCKETT|"This is Detective Crockett.  Miami-
Dade P.D.  Patch me through to your
Special Agent in Charge, James
Fujima?  It's an emergency..."|speech|CROCKETT|F
157|FBI AGENT|He'll be in on Monday...|speech|FBI AGENT|M
158|CROCKETT|"I said, ""emergency.""  If he's not
reachable, who's running the
weekend?  The ASAC?"|speech|CROCKETT|F
159|FBI AGENT|We don't give that out...|speech|FBI AGENT|M
160|CROCKETT|Listen carefully.|speech|CROCKETT|F
161||"Crockett compels himself to be patient.  Meanwhile, Tubbs has
struck out with Alonzo's home phone."|stage direction||
162||(into Nextel)|location||
163|CROCKETT (cont'd)|"An informant who is working one of
YOUR cases right now called me.
YOU may have a problem.  So get me
somebody on the other end of this
telephone who knows what the hell
I'm talking about...!"|speech|CROCKETT|F
164||Meanwhile...|stage direction||
165||(into phone)|location||
166|TUBBS|C'mon...|speech|TUBBS|M
