|character|text|type
70|BURNS|You're crazy. Where's Mac?|speech
71|DUFFY|He's on my phone. He just called me.|speech
72|BURNS|They can't do that to me!|speech
73||He grabs the phone on his desk:|stage direction
74|BURNS|"Give me that call on Duffy's wire!
Hello -- Mac? Burns. Where's the
Governor? -- What do you mean, you
can't locate him?"|speech
75||"(apparently pleading
to the one man in
the world who can
help him)"|location
76|BURNS|"Mac, you know what this means. We're
the only paper in town defending
Earl Williams and if he hangs tomorrow
we're washed up! Find the Governor
and when you find him tell him we
want that reprieve!... Tell him I
elected him and I can have him
impeached! Sure, you can do it, Mac --
I know you can. I always said you
were the greatest reporter in the
country and now you can prove it.
Get going! Attaboy!"|speech
77||He hangs up.|stage direction
78||"(to Duffy,
sarcastically)"|location
79|BURNS|"The greatest reporter in the country!
First I gotta tell him what news to
get! Gotta tell him how to get it --
then I gotta write it for him
afterward! Now if you were a decent
City Editor --"|speech
80||"CLOSE SHOT DUFFY AND BURNS
with Louie and Hildy in the b.g."|stage direction
81|DUFFY|"Don't blame me. I'm City Editor in
name only. You do all the hiring
around here."|speech
82|BURNS|"Yeah! Well, I do the firing, too.
Remember that, Duffy, and Keep a
civil tongue in your head."|speech
83||MEDIUM SHOT|stage direction
84|HILDY|"I don't like to interfere with
business, but would you boys pardon
us while we have a little heart-to-
heart talk?"|speech
85||(together)|location
86|DUFFY AND LOUIE|Well -- But I gotta --|speech
87||They look at Burns.|stage direction
88|BURNS|Scram, you guys.|speech
89||They start to go.|stage direction
90|HILDY|"You won't miss anything. You'll
probably be able to hear him just as
well outside as here."|speech
91||They go.|stage direction
92|HILDY|Mind if I sit down?|speech
93||"Hildy sits.
CLOSE SHOT DUFFY AND LOUIE
going out of the door. They cast an interested look back and
linger a second. Over scene comes Burns' voice."|stage direction
94|BURNS' VOICE|I said scram!|speech
95||"They close the door hurriedly.
MED. CLOSE SHOT BURNS AND HILDY"|stage direction
96|HILDY|May I have a cigarette, please?|speech
97||"Burns reaches into his pocket, extracts a cigarette and tosses
it on the desk. Hildy reaches for it."|stage direction
98|HILDY|Thanks. A match?|speech
