|character|text|type
88||"JACQUES, intent on the coin's glimmer, quickly slips on
his fins, prepares his mask.  He swims in the water like a
fish, goes directly to the coin.  Scoops it up, brings it
to the surface.
He breaks water, waves the coin, looks for the priest and
sees he is no longer there."|stage direction
89|JACQUES|Padre?|speech
90||"He looks at the ancient impression on the coin -- ""Boy on
a Dolphin""."|stage direction
91||DISSOLVE TO:|unknown
92||"ON JACQUES - UNDERWATER
He's swimming near the spot where he fed the moray eel.
He senses something behind him and turns around.  He sees
a dolphin, still and silent, floating vertically.  It
seems to be watching him.  The surprise is such that
JACQUES is in a panic, leaps up to the surface...
ON JACQUES - IN BED
He bolts upright, as if suddenly awakening from a dream."|stage direction
93||INT.  ROOM - ON JACQUES' FATHER - DARK|location
94||"A BURLY MAN, around fifty, crosses the room in the shadows
and throws open the shutters with a bang.  Sunlight pours
in.  He walks over to JACQUES' bed in the one room house,
and runs his hand through his hair."|stage direction
95||(with a smile)|location
96|FATHER|"... Come on, time to get up,
Jacques!"|speech
97||"JACQUES rubs his eyes.  His father walks over to a pile of
blankets on the floor, on the other side of the room.  He
gives the pile a kick."|stage direction
98||(screaming at the|location
99||top of his lungs)|unknown
100|FATHER|Louis, wake up!|speech
101||"He uncovers a kettle on the fire and ladles up a big bowl
of soup for Jacques.  A fifty year old man pokes his head
out from under the pile of blankets.  It's UNCLE LOUIS,
who is having a very hard time, waking up."|stage direction
102||EXT.  HOUSE - DAY|location
103||"JACQUES bursts out of the house, running.  Diving gear
under his arm.  A piece of buttered bread in his mouth.
He catches up with his father and UNCLE LOUIS.  They're on
a path winding down to the port.  JACQUES slows down
abruptly.  Tries to imitate their stride.  The weather is
balmy and the sea lies before them, peaceful and blue."|stage direction
104||EXT.  SEA - DAY|location
105||"Their boat on the water.  The chug of its ENGINE ECHOES
off the cliffs.  A few gulls -- drawn by the sound -- skim
the waves of its wake."|stage direction
106||EXT.  BOAT - DAY|location
107||"On board.  JACQUES' Father checks the antique air pump.
JACQUES polishes the enormous copper diver's helmet and
lays out the rest of an old fashioned deep sea diver's
suit.
At the foot of an old monastery another boat passes.
The Priest is in it.
JACQUES' Father and LOUIS take off their caps.  JACQUES
takes the gold coin out of his pocket.
The pope nods to JACQUES.  His father looks over at him
without understanding.  The child quickly puts the coin
back in his pocket."|stage direction
108||EXT.  BOAT - DAY|location
109||"LOUIS casts anchor.  A few feet away, siting on a rock,
the kid with little round glasses is fishing.  He turns
around to the boat.  JACQUES smiles and waves at him.
ENZO waves back, obviously disturbed in his fishing
session."|stage direction
110|FATHER|Jacques, come help me.|speech
111||"JACQUES helps his father into the diver's suit.  The burly
man struggles into a pair of weighted lead shoes.  He
seems sluggish and tired.  JACQUES watches worriedly.  He
has a weird feeling."|stage direction
112|JACQUES|You shouldn't dive everyday, Papa.|speech
113|UNCLE LOUIS|"Then you shouldn't eat everyday,
Jacques."|speech
114||His father catches him fondly by the scruff of the neck.|stage direction
115||(winks at him)|location
116|FATHER|"Don't worry.  When I'm tired down
there, the mermaids help me out."|speech
117||"Father and son smile at each other.  Then his father puts
the helmet on.  JACQUES joins LOUIS at the pump.
The heavy diver's suit disappears slowly underwater.  The
gleaming copper helmet is the last thing to slide out of
sight.
JACQUES and LOUIS work the pump.  Regular, steady motions
to maintain the flow of air."|stage direction
118||(to Jacques)|location
119|UNCLE LOUIS|Hey!  Have you ever seen a mermaid?|speech
120|JACQUES|No.|speech
121||They keep on pumping for a while, then...|stage direction
122|UNCLE LOUIS|I've seen them.|speech
123||UNCLE LOUIS goes on.  JACQUES doesn't budge.|stage direction
124|UNCLE LOUIS|Don't you want to know where?|speech
125||"JACQUES looks at the bottom to watch his father.
He doesn't answer.
UNDERWATER - JACQUES' FATHER
He moves along slowly in his cumbersome diving suit.  He
is working the top of a rock outcrop on the sea floor.  He
sees a sponge, hooks it; puts it in a bag that's attached
to a life line from the boat fastened to his waist.  He
moves on."|stage direction
126||INT.  BOAT - JACQUES AND LOUIS PUMPING|location
127||"They keep up the rhythm.  Sitting on a rock at a distance,
ENZO watches them.  UNCLE LOUIS is bored stiff."|stage direction
128|UNCLE LOUIS|Why don't you ask me?|speech
129|JACQUES|What?|speech
130|UNCLE LOUIS|"Where I saw the mermaids?!  Why
don't you ever ask any question?
I'm always the one asking the
question!  We're sitting here like
two stones and I'm taking to myself.
Ask me something, Goddamnit!"|speech
131||"JACQUES calmly looks over at him, slows down his pumping
and almost serenely asks him:"|stage direction
132||(in a completely|location
133||flat tone)|unknown
134|JACQUES|Why did my mother leave?|speech
135||UNCLE LOUIS seems disturbed by the question.  A beat.|stage direction
136||(ill at ease)|location
137|UNCLE LOUIS|Come on now, pump!|speech
