|character|text|type
66||INT. MEG'S HOME - LIVING ROOM - NIGHT|location
67|CONTINUED:|"Meg pulls a well-worn stuffed dog from her open suitcase on
the couch, holding it up to her daughter, FINN (6) who wears
a spangled tutu and cowboy boots."|speech
68|FINN|She wants to see Paris, too!|speech
69|MEG|"Finn, if Edith goes to Paris with
me, she can't go to Daddy's with
you.
Finn's brows come together as she considers this, then
reaches for the dog."|speech
70|MEG (CONT'D)|That's what I thought.|speech
71|(CALLING)|"Seamus!
SEAMUS, Meg's ten year old son, pounds down the stairs
carrying an enormous backpack as Meg zips her bag closed."|speech
72|MEG (CONT'D)|"Toothbrush?
Seamus makes a face, drops his bag and heads back up the
stairs as the doorbell rings."|speech
73|FINN|Daddy!|speech
74||EXT. MEG'S HOUSE - NIGHT|location
75|FINN|"GLENN (30s), in a police uniform, watches Meg squeeze her
children tightly."|speech
76|"MEG
(TO SEAMUS)"|"Remember. Gameboy goes to bed when
you do. Nine o'clock."|speech
77|GLENN|"Seam, why don't you take your
sister to the car while your mom
and I talk."|speech
78||Monte Carlo Draft 3 - November 4, 2007 7.|stage direction
79||FINN|location
80||Can we get on the radio?|stage direction
81|MEG GLENN|No. No.|speech
82||Meg watches her kids run to the squad car parked at the curb,|stage direction
83|MEG GLENN|"just as KARYN (30's, also in uniform) emerges on the
passenger side to meet them."|speech
84|GLENN|And no lights!|speech
85|KARYN|"Hey, Meg!
Meg lifts her chin in greeting, but that's it."|speech
86|GLENN|"I uh... I heard from my lawyer.
She said you'd signed your papers.
Meg watches her kids climb in the car with Karyn."|speech
87||GLENN (CONT'D)|location
88||Guess that makes us official, then.|stage direction
89|MEG|"You and me?
(a nod to the car)
Or..."|speech
90|GLENN|"You and me, Meg.
A beat as they look at one another, hold."|speech
91|SEAMUS|"Mom!
Seamus reappears, charging up the walk to pull Meg down to
his level, hugging her."|speech
92|SEAMUS (CONT'D)|Have fun.|speech
93||INT. EMMA'S CONDO - LIVING ROOM - NIGHT|location
94|SEAMUS (CONT'D)|"Emma's packed suitcases stand neatly arranged by the door of
the sparsely furnished, undecorated room."|speech
95|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 S.|speech
96|CONTINUED:|"ANSWERING MACHINE
You have no messages.
Leaning on the lip of the kitchen's bar, Emma presses the
record button on her answering machine, then speaks with a
put-on, coolly sophisticated,'jet-setting accent."|speech
97|EMMA|"Hello. You've reached the home of
Emma Lindgard. I'm afraid I won't
be able to return your call right
away, as I'm currently traveling.
In Europe. But, please, do leave a
message."|speech
98|TV ANNOUNCER|""". .She was known as 'The People's
Princess'...
Emma turns at the counter to see Princes Diana touring an
African encampment with children on the television."|speech
99|EMMA|"Ooh!
She hangs up the phone and sits herself down at the coffee
table where a game of solitaire is laid next to a microwaved
Lean Cuisine dinner.
She turns up the volume with the remote and gathers the
cards, shuffling.
Eyes glued to Princess Diana on television, Emma suddenly
shoots her hands three feet wide, rifling the cards in
perfect vertical formation like a seasoned cardsharp."|speech
100||EXT. ALICE'S HOUSE - NIGHT|location
101|EMMA|"Alice opens the door, kissing Richard who holds up a suitcase
in one hand, a bottle of champagne in the other."|speech
102|RICHARD|Special delivery.|speech
103||INT. ALICE'S BEDROOM - NIGHT|location
104|RICHARD|"Alice zips the suitcase shut and raises her arms in victory
as Richard pours the Champagne into two glasses."|speech
105|ALICE|That's it! I am good to go!|speech
106|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 9.|speech
107||Richard brings a glass to Alice, nuzzles her ear.|stage direction
108|RICHARD|"I'm proud of you, you know.
Alice takes her glass and presses Richard down onto the bed,
climbing on top of him."|speech
109|ALICE|"Like Christmas when I was a kid.
There's no way I'm going to be able
to sleep tonight--"|speech
110|RICHARD|"Good for me.
They kiss."|speech
111|ALICE|"I mean, how long have I been
talking about this?"|speech
112|RICHARD|"Mmm... You were reading Colette.
In the teacher's lounge. First
time we met. Long time.
Alice pauses as this lands somewhere deep inside."|speech
113|RICHARD (CONT'D)|This is just the beginning.|speech
114|"ALICE
(BRIGHTENING)"|"It feels like it.
They clink glasses and Richard watches Alice tip her glass
back then stop mid-sip to peer down at the delicate diamond
ring sitting at the bottom of her glass."|speech
115|"ALICE (CONT'D)
(STUNNED)"|"Oh. Richard... It's so... It's
beautiful...
Richard takes her glass and fishes out the ring."|speech
116|RICHARD|Let's try it on.|speech
117||But, we can't even celebrate--|stage direction
118||Monte Carlo Draft 3 - November 4, 2007 10.|stage direction
119|"CONTINUED: (2)
RICHARD"|What are you talking about? We're|speech
120|"CELEBRATING--
ALICE"|"But, I'm leaving. I'm--. I'm
getting on a plane in the morning."|speech
121|"RICHARD
(LAUGHS)"|Maybe I want to make sure you come|speech
122|BACK--|"(stops, sobers)
Wait. You're serious. Are you
serious? You're serious."|speech
123|ALICE|"Let's do this when I get back. In
a week."|speech
124|RICHARD|Can you hear yourself?|speech
125|ALICE|"Honey, listen, it's just the
timing. I wasn't planning on this"|speech
126|"TONIGHT--
RICHARD"|"Whoa. I planned tonight. Tonight
was my plan--"|speech
127|ALICE|"And it's great. This is great.
You're great. But, Richard, I feel
like I just need to do this one
thing first. Then I can do the
next. Then I can do this.
(off his silence)
Can you understand? There's a
world I haven't even seen yet...
Alice, hopeful, searches Richard's inscrutable expression a
beat, then he turns away and gets up, ring in hand."|speech
128|RICHARD|"I thought we'd be seeing it
together.
(pockets the ring)
Have a great trip, Alice.
He heads for the door."|speech
129||Monte Carlo Draft 3 - November 4, 2007 11.|stage direction
130||ALICE|location
131|(STRICKEN)|Richard, come on. You're leaving?|speech
132|RICHARD|"(without looking back)
Maybe I'll see you in a week.
Alice listens to his footfalls and the slam of the front
door, then falls back on the bed, striking her head on the
open suitcase, wincing."|speech
133|"ALICE
(MISERABLE)"|I'm sorry...|speech
134|PILOT (PRE-LAP)|"Ladies and Gentleman, we are about
to begin our descent into Charles
de Gaulle International Airport..."|speech
135||INT. AIRPLANE - IN FLIGHT - DAY|location
136|PILOT (PRE-LAP)|"Meg sleeps in an aisle seat of the dim coach cabin where all
the window shades have been drawn down, Emma dozing beside
her, a game of cards laid out on her tray table.
Alice brings her seat to the upright position as instructed
and sits, hyper-alert, looking at her closed window shade.
A beat.
She reaches out and raises the shade a tentative crack,
flooding their row with light.
She glances furtively around the cabin, then inches the shade
higher, drawing in a sharp breath at what she sees.
She flings the shade up.
ALL OF PARIS is laid out below her; a magical nautilus-like
wheel with the Eiffel Tower as its central axle.
Her breath steams the window as she drinks it all in.
She turns, eyes full, to Meg who cranes across Emma to share
in the view and squeeze Alice's arm with a smile."|speech
137|EMMA|Are we there?!|speech
138|0|Monte Carlo Draft 3 - November 4, 2007 12.|speech
139||INT. CHARLES DE GAULLE AIRPORT - DAY|location
140|0|A CUSTOMS AGENT stamps Alice's passport with a thump.|speech
141|CUSTOMS AGENT|"Bien venue.
Alice looks up from her imprinted passport, smiles hugely."|speech
142|ALICE|Merci .|speech
143||EXT. CHARLES DE GAULLE AIRPORT - DAY|location
144|ALICE|"Alice emerges with Meg and Emma, each struggling with their
luggage, onto the thronged arrivals deck."|speech
145|EMMA|"There it is! Esprit de Corps!
Alice looks to where Emma points, seeing a small sky-blue
flag at the end of a long staff held by MADAME VALERY (40s,
pinched) their harried tour guide in a suit of the same blue."|speech
146|ALICE|Excuse me, are you Madame Valery?|speech
147|0|Madame Valery glances up from her clipboard beside their bus.|speech
148|ALICE (CONT'D)|Hi, my name is Alice Perry--|speech
149|"MADAME VALERY
(GESTURING)"|Bags go under the bus.|speech
150|ALICE|"I'm traveling with my friends, Meg
Kelly and Emma Lindgard--"|speech
151|"MADAME VALERY
(FLAT)"|I speak English.|speech
152|EMMA|Well, that's great!|speech
153|ALICE|"We're so excited!
Madame Valery eyes Alice unfolding a map from her binder."|speech
154|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 13.|speech
155||ALICE (CONT'D)|stage direction
156|CONTINUED:|"Now, I was hoping you could tell me
which route the bus will be taking--"|speech
157|"MADAME VALERY
(WEARILY PREDICTIVE)"|"You're not going to be a problem,
are you?"|speech
158||EXT. PARIS - DAY|location
159|"MADAME VALERY
(WEARILY PREDICTIVE)"|"The battered Esprits de Corps Tours bus careens through the
streets, listing wildly from side to side."|speech
160||INT. TOUR BUS - DAY - MOVING|location
161|MADAME VALERY|"(over bus's P.A.)
On your right...
Alice, squashed beside Meg on the over-crowded bus, whips her
head up from her guidebook.
MADAME VALERY (CONT'D)
Was the Arc de Triomphe."|speech
162|ALICE|This is ridiculous...|speech
163|EMMA|Hey, Alice! Meg!|speech
164||Alice and Meg turn to Emma across the aisle, who hooks a|stage direction
165|EMMA|thumb at CARL and DEEDEE (late 60's, both stout) beside her.|speech
166|EMMA (CONT'D)|"Can you believe? They're from St.
Paul! On their honeymoon!"|speech
167|CARL|"Waited a long time for this! But,
we finally made it!"|speech
168|EMMA|"Alice, that's like you!
(back to couple)
We're here celebrating my friend
Meg's divorce!"|speech
169|0|Monte Carlo Draft 3 - November 4, 2007 14.|speech
170||EXT. THE LOUVRE - DAY|location
171|0|"The bus hurtles around the drive, screeching to a halt,
bouncing roughly on its shocks at the museum's entrance."|speech
172||INT. LOUVRE - DAY|location
173|0|"Alice, Meg and Emma race past gallery after gallery, trying
to keep Madame Valery's little blue flag in sight as it flies
over the crowd in the distance.
Alice whipsaws her head at everything they're missing, making
notes in her guidebook on the fly."|speech
174|ALICE|"Try to remember that! We'll double
back for the Chagalls!"|speech
175||INT. LOUVRE - DAY|location
176|ALICE|"Madame Valery leads the charge up the right wing of the Daru
staircase, past the statue of Winged Victory.
Alice stops Meg and Emma in front of the statue, while Carl
and Deedee try to catch their breath on the landing."|speech
177|"ALICE
(READING FAST)"|".Also called Nike of Samothrace.
Greek goddess Nike, meaning
victory. Two-twenty to one-ninety
B. C. Okay, go!
They head for the right stairs just as Madam Valery
reappears, descending with her group on the left."|speech
178|ALICE (CONT'D)|"Oh.
Alice turns Meg and Emma around to come back down."|speech
179|DEEDEE|Well, that saved us a climb.|speech
180||INT. LOUVRE - DAY|location
181|DEEDEE|"Emma elbows her way out of a crush of raised cameras and
cellphones to Alice and Meg who strain at the rear of the
CROWD to view a painting, all but the top of its gold frame
obscured."|speech
182|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 15.|speech
183||EMMA|location
184|CONTINUED:|"(waving her camera)
I got it! I got it!"|speech
185||INT. BISTRO - NIGHT|location
186|CONTINUED:|"Meg and Emma sit hunched over Emma's camera and its shaky,
digital image of the Mona Lisa, squeezed in with Alice and
the rest of their tour at too few tables."|speech
187|EMMA|"Alice, I'll e-mail it to you.
Meg looks up, catching Alice eyeing their surroundings."|speech
188|MEG|"(re: Mona Lisa)
At least she's smiling."|speech
189|ALICE|"(snaps to, smiling)
What? No. I'm--. I'm just a
little tired."|speech
190|EMMA|"(a happy idea)
Hey! I'll bet you have jet lag!
We'll probably all get it!
Meg raises a glass of wine."|speech
191|MEG|"To jet lag.
Emma and Alice raise their glasses to toast as WAITERS plunk
down identical plates of steak frites before them."|speech
192|MEG (CONT'D)|"To Alice. Best organizer. Best
guide. Best friend."|speech
193|EMMA|"To Alice!
They clink glasses and Alice is suddenly jostled, just as
she's about to sip, by Carl as he turns from the table behind
her, spilling her wine."|speech
194|DEEDEE|Oh, Carl!|speech
195|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 16.|speech
196|"CONTINUED:
CARL"|I am so sorry!|speech
197|ALICE|(mopping her front)|speech
198|"IT'S OKAY--
DEEDEE"|He was just looking for the catsup-|speech
199|CARL|"If you're not using it.
As Emma passes the bottle of catsup, Meg offers Alice her
napkin, and waiters sweep their plates away, replacing them
with creme brulees."|speech
200|ALICE|Oh! No. Wait. Pardon, Monsieur--|speech
201|"CARL
(RECEIVING CATSUP)"|"Merci!
He turns now, catsup in hand, to blink at the creme brulee
that has replaced his own and Deedee's steaks.
Alice places a hand on Madam Valery's arm as she passes."|speech
202|ALICE|"Pardon, Madame, but...
Madam Valery slowly raises her eyes from Alice's hand."|speech
203|ALICE (CONT'D)|I'm sorry, but--|speech
204|MEG|Are you apologizing?|speech
205|ALICE|"They've taken our dinners away--
Madame Valery taps her watch and then her clipboard."|speech
206|MADAME VALERY|"There were stragglers at the.
museum. Now, I am behind schedule."|speech
207||Monte Carlo Draft 3 - November 4, 2007 17.|stage direction
208||EXT. LE PETIT SOMMEIL HOTEL - NIGHT|location
209|0|"Esprit de Corps tour members disembark from their bus in
front of a comically narrow and vertical Baroque hotel with
its name in feeble buzzing neon: Le Petit Sommeil."|speech
210|ALICE (PRE-LAP)|"Look! Look at this picture and
tell me what's different!"|speech
211||INT. LE PETIT SOMMEIL HOTEL - NIGHT|location
212|ALICE (PRE-LAP)|"The women lower the travel brochure and its photograph of a
tidy well-appointed suite, to regard the actual one in which
they stand; dingy, impossibly small, crowded by an armoire
that nearly meets the low sloping ceiling, with two spindly
twin beds and a military-style cot."|speech
213|EMMA|Toujour le suck-ez vous.|speech
214|ALICE|I researched at least a million|speech
215||MEG|location
216|TOURS--|"Well. This is the one we could
afford.
A beat as they consider the room and their lot in life."|speech
217|MEG (CONT'D)|It's only five nights--|speech
218|EMMA|Five nights? Here?!|speech
219|MEG|"And, Alice, you said yourself,
we'll hardly ever be in our room."|speech
220|(SELLING IT)|"It'll be like camping. At Eagle
River. It'll be fun!
Emma opens what is essentially a closet with a toilet."|speech
221|EMMA|"Here's your outhouse, Meg. Go
nuts.
Alice joins Emma at the bathroom door."|speech
222|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 18.|speech
223|CONTINUED:|"EMMA (CONT'D)
Me? I'm going to try to hold it."|speech
224|MEG|"Okay, Emma. Let's just unpack--
she turns for the luggage, nearly falling over at the weight
of Emma's suitcase as she reaches to lift it."|speech
225|MEG (CONT'D)|"Holy--! Alice, help--
Alice climbs onto one of the beds to help Meg lift."|speech
226|ALICE|Emma, what have you got in here?|speech
227|EMMA|"Just the stuff you put on my list--
(off her look)
And a couple options.
The bag slips from Meg's grasp, crashing onto the foot of the
bed which collapses, catapulting Alice onto the cot which
flips up over her, knocking Emma into the tiny bathroom."|speech
228|EMMA (CONT'D)|Hey! Come on, guys!|speech
229||INT. LE PETIT SOMMEIL HOTEL - NIGHT|location
230|EMMA (CONT'D)|"Alice gazes out a window that opens onto a narrow alley and
the ugly backsides of buildings, as Meg and Emma sleep
fitfully behind her.
She looks down at the cellphone in her hands, scrolling
through her speed dial to stop at: 1. Richard.
She hesitates with her thumb over the ""call"" button.
She turns back to the miserable view, considering for a beat,
then folds her phone away as she blinks back tears."|speech
231||EXT. PONT DES ARTS BRIDGE - DAY|location
232|EMMA (CONT'D)|"Madame Valery leads a diminished flock, bobbing her staff
with its blue flag, in a forced march across the span of the
ornate pedestrian bridge toward the waiting tour bus."|speech
233|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 19.|speech
234||MADAME VALERY|stage direction
235|CONTINUED:|"The Pont des Arts has it's name for
the vast number of art students
that come here to paint this famous
city view...
Meg and Emma, the worse for wear, trail Madame Valery at a
distance with Alice who now leads her own handful of tour
members, Carl and Deedee among them."|speech
236|ALICE|"It's called the Pont des Arts
because the Louvre was formally
known as the Palais des Arts...
Madame Valery stops ahead, turning back to take in Alice and
her cluster of appreciative followers."|speech
237|MADAME VALERY|People! We must keep together!|speech
238||EXT. NOTRE DAME CATHEDRAL -- DAY|location
239|MADAME VALERY|"Alice's group circles an inscribed stone medallion with a
star-shaped brass inset on the pavement outside Notre Dame."|speech
240|DEEDEE|"""Point zero. Dez roots dee France."""|speech
241|ALICE|"It's from right here that all the
highway miles in all of France are
measured. They also say that if
you stand on this exact spot, you
are be destined to return to France
in the future."|speech
242|MEG|"Oh, I'm in! Come on. Everyone!
Together, they all step forward, arms entwined, laughing."|speech
243|EMMA|"I want a picture! Of all of us!
Alice looks up as Emma breaks away, to see Madam Valery
leading her dwindling group from the great church.
Madame Valery sends her charges to the bus, then heads
straight for Alice as Emma tries to enlist a JAPANESE COUPLE
to take a group photo with her camera."|speech
244|(CONTINUED)|Monte Carlo Draft 3 - November 4, 2007 20.|speech
245|"CONTINUED:
MADAME VALERY"|"My head count was short in the
cathedral."|speech
246|ALICE|I'm sorry. I was explaining about|speech
247|POINT ZERO--|"Madame Valery sizes Alice up and taps her staff as the group
forms around them, joined by the Japanese couple."|speech
248|MADAME VALERY|"This flag? I do not carry it for
my pleasure."|speech
249|ALICE|We were just on our way inside--|speech
250|MADAME VALERY|Well, now you may head to the bus.|speech
251|ALICE|But, we haven't been--|speech
252|MADAME VALERY|"Which is why you must follow my
flag!"|speech
253|ALICE|"okay. We will. I promise. But,
these people haven't seen the"|speech
254|"CATHEDRAL---
MADAME VALERY"|"There are many churches on the
tour."|speech
255|ALICE|"But, this is Notre Dame! They need
to see this--"|speech
256|MADAME VALERY|"I assure you, they will see
everything they need to see--"|speech
257|"ALICE
(LOSING IT)"|"Well, what's the point if it's all
a big fat blur? When nobody can
see anything properly? Let alone
experience it, or appreciate--"|speech
258||Monte Carlo Draft 3 - November 4, 2007 21.|stage direction
259||MADAME VALERY|stage direction
260|CONTINUED: (2)|"You seem quite the Paris expert,
for someone who has never been."|speech
261|EMMA|"Ill bet she knows more about it
than you!
The Japanese wife frames the action with Emma's camera."|speech
262|ALICE|"I might not have ever been here
before, but..."|speech
263|(EMOTIONAL)|"I've waited my whole life for this
trip."|speech
264|CARL|We've waited thirty years--|speech
265|MEG|You tell her, Carl.|speech
266|ALICE|"You keep rushing us through, like
this is some kind of race--"|speech
267|(REALLY HURT)|"And you won't even speak French
with me."|speech
268|(SGUARES HERSELF)|"Now, I think I've been very nice.
We're from Wisconsin. But, I'm
telling you, I am not getting on
that bus until my friends and I
have seen Notre Dame.
Meg and Emma exchange looks as Alice plants herself with
folded arms and steely resolve before Madame Valery."|speech
269|MADAME VALERY|"Perhaps, if Madame is not satisfied
with my tour she could conduct her
own."|speech
270|EMMA|"What'd she say?
Alice's eyes narrow in regarding Madame Valery and all fall
silent a beat; a crowd anticipating fireworks.
CLICK! The Japanese wife snaps a picture of the standoff,"|speech
271||the sound of the shutter triggering Alice to action.|stage direction
272||Monte Carlo Draft 3 - November 4, 2007 22.|stage direction
273|CONTINUED: (3)|With lightning speed, she seizes Madame Valery's flag.|speech
274|CROWD|"Whoa!
Madame Valery, nonplussed, reaches out to reclaim her flag,
but Alice jerks it further away, while the Japanese woman
snaps picture after picture."|speech
275|DEEDEE|"Carl, we're getting on the bus!
Madame Valery lunges for the stick."|speech
276||EXT. NOTRE DAME CATHEDRAL - DAY|location
277|DEEDEE|"The bus pulls away, revealing the Japanese couple who return
Emma's camera with a bow, Meg, and Alice holding the flag."|speech
278|EMMA|That was fantastic!|speech
279|MEG|"""A"" plus!
Alice, cheeks flushed, watches Carl waving goodbye from the"|speech
280|0|bus's rear window.|speech
281|MEG (CONT'D)|"Alice, you okay?
Alice brings the staff down across her knee, snapping it in
two, casting the broken ends into the gutter as she raises
herself to her full height."|speech
282|ALICE|Now, the real tour can begin!|speech
283|MEG|"Let's kick this town's ass!
Alice marches forward as a few drops of rain fall."|speech
284|EMMA|I think it's starting to rain--|speech
285|ALICE|"Who cares? We're in Paris! What's
a little rain?"|speech
286|0|Monte Carlo Draft 3 - November 4, 2007 23.|speech
287||EXT. LE MEURICE HOTEL - NIGHT|location
288|0|"Water pours in sheets from the sky as Alice, Meg and Emma
splash down the Rue de Rivoli and duck beneath the shelter of
the hotel's canopy.
They shake water from their arms and hair, pluck at their
sopping clothes."|speech
289|PHOTOGRAPHER 1|"Cordelia!
They glance over at a few PAPARAZZI sharing the protection of
the overhang on the far side of the entrance, as a camera
flashes in taking Emma's picture.
Emma smiles, blinks, confused as another photographer
admonishes the first."|speech
290|PHOTOGRAPHER 2|"You're wasting your film. That's
not her."|speech
291|EMMA|"What're they saying?
Alice looks about in equal confusion, but stops short when
she sees the opulent restaurant behind the window's glass."|speech
292|ALICE|"Oh.
Meg and Emma turn to gape as well at the DINERS and elegant
tables inside as the rain hammers down."|speech
293|ALICE (CONT'D)|That, mes aims, is Paris.|speech
294|EMMA|"You think they'd let me use the
bathroom?"|speech
295||INT. LE MEURICE HOTEL - LOBBY - NIGHT|location
296|EMMA|"Meg and Emma step into the lobby, a palatial world of marble,
gold and flowers, as Alice confers with the DOORMAN."|speech
297|EMMA|Wow.|speech
298|"0
(CONTINUED)"|Monte Carlo Draft 3 - November 4, 2007 24.|speech
299|"CONTINUED:
ALICE
(TO DOORMAN)"|"Merci.
(joins Emma and Meg)
Okay, Emma, it's down the hall to
the left. Meg and I'll go and get
us a table--"|speech
300|EMMA|"Meet you in there.
Emma heads for the ladies room, gaping at the lobby."|speech
301|EMMA (CONT'D)|Wow...|speech
302|MEG|"Get us a table? Alice, we can't
afford to eat here--"|speech
303|ALICE|My treat.|speech
304|ME G|You can't afford---|speech
305|ALICE|"(hooking Meg's arm)
We're going to do one thing right
in Paris. I don't care how much it
costs.
They turn for the dining room, passing the front desk where
CORDELIA WINTHROP SCOTT (dressed similarly to Emma, though at
ten times the cost) unleashes her ire on the CONCIERGE."|speech
306|CORDELIA|"And, just how do you propose I am
to travel tomorrow, then?"|speech
307|CONCIERGE|"I am sorry, but, there is nothing--
A MANAGER enters from the back."|speech
308|MANAGER|"Mademoiselle Scott, I have checked
and there is no sign of a package--"|speech
309||Monte Carlo Draft 3 - November 4, 2007 25.|stage direction
310||CORDELIA|location
