|character|text|type
50||INT. OSBORNE HOUSE, QUEEN'S DRAWING ROOM - DAY|location
51||"Queen VICTORIA heads down the empty corridor with two
ladies-in-waiting, LADY ELY and LADY CHURCHILL, hurrying
along a pace behind."|stage direction
52||INT. OSBORNE HOUSE, QUEEN'S DINING ROOM - DAY|location
53||"Members of the Royal family and upper household hurry into
the icy dining room and take their designated places at the
luncheon table.  Everybody is dressed in mourning and
nobody speaks.  Wind whistles through the open windows.
Silence.
Among the diners we catch our first glimpse of BERTIE, the
Prince of Wales.  He is in his mid-twenties, plump, stiff
dressed and balding.  He stands next to his young wife,
PRINCESS ALEXANDRA, who fiddles nervously with her shawl,
trying to keep warm.
As BERTIE smooths down his thinning hair, DOCTOR JENNER
bustles into the dining room, stands himself next to
PONSONBY and proceeds to conduct a hurried conversation
with the Prince of Wales, entirely in whispers."|stage direction
54|JENNER|Congratulations, Your Royal Highness!|speech
55|BERTIE|Thank you, Doctor.|speech
56|JENNER|A boy, I hear.  Excellent, excellent.|speech
57|BERTIE|Yes.|speech
58||(beat)|location
59|BERTIE|"Albert Victor.  Eddie for short.  What
do you think?"|speech
60|PONSONBY|A fine choice, sir.|speech
61|JENNER|Excellent!|speech
62||EXT. DOCKSIDE, ISLE OF WIGHT - DAY|location
63||"JOHN BROWN leads his pony gently up the ramp and into the
carrier bearing the Royal coat of arms.  The DRIVER leans
in."|stage direction
64|DRIVER|Are you riding up front?|speech
65||BROWN looks straight at this man, quiet and reserved.|stage direction
66|BROWN|"I'll stay with the pony, thank you.
She's all the way from Deeside and
she's not sure she likes you yet."|speech
67||The DRIVER shrugs and slams the doors on them.|stage direction
68||INT. OSBORNE HOUSE, CORRIDOR AND QUEEN'S DINING ROOM - DAY|location
69||"VICTORIA reaches the dining room door and takes a deep
breath.  LADY ELY and LADY CHURCHILL stop a pace behind."|stage direction
70|VICTORIA|How many?|speech
71||LADY ELY is slightly taken aback.|stage direction
72|LADY ELY|"The Royal Family and senior members of
the household, ma'am."|speech
73|VICTORIA|Just them?|speech
74|LADY ELY|Yes, ma'am.|speech
75||"VICTORIA closes her eyes, then steels herself and steps
through the door."|stage direction
76||INT. OSBORNE HOUSE, QUEEN'S DINING ROOM - DAY|location
77||"Everyone stiffens as VICTORIA walks in.  Acknowledging the
other diners with a quick nod, the Queen takes her place.
She flaps open her napkin and, bang on cue, everyone else
sits and does the same.  The meal is served immediately by
waiting SERVANTS, who plonk the food down without ceremony.
It's a very ordinary meal of meat and vegetables.  VICTORIA
starts eating heartily, straight away.  Everyone does the
same.
Only the clink of cutlery and the same eerie silence."|stage direction
78||EXT. OSBORNE HOUSE, THE GROUNDS - DAY|location
79||"The Royal horse-carrier rattles into the grounds and on
down the driveway past the beautiful, manicured lawns
stretching away towards the ornate twin towers of Osborne
House.  A few outdoor servants watch its progress
curiously."|stage direction
80||INT. OSBORNE HOUSE, QUEEN'S DINING ROOM - DAY|location
81||"The silence continues as VICTORIA finishes her plain
pudding.  Immediately, servants appear at every place and
whip away the pudding bowls whether their owners have
finished or not.  Nobody thinks this odd; it is part of the
routine.  DOCTOR JENNER clears his throat."|stage direction
82|JENNER|"We're expecting Brown this afternoon,
ma'am."|speech
83|VICTORIA|Whom?|speech
84||"A beat.  VICTORIA takes a sip of water, dabs her mouth with
her napkin and rises.  Everyone else rises too.  Suddenly,
the Queen turns to Bertie's nervous wife, PRINCESS
ALEXANDRA, and proclaims abruptly:"|stage direction
85|VICTORIA (CONT'D)|"That's a very pretty shawl you are
wearing, Alex.  Silk suits you well."|speech
86||(beat)|location
87|VICTORIA (CONT'D)|"But you are not eating enough.  One
must not let vanity overrule one's
appetite."|speech
88|PRINCESS ALEXANDRA|Yes, ma'am.|speech
89||"VICTORIA nods earnestly.  Lost to the effect her words have
had, she marches out again.  Behind her, she leaves
PRINCESS ALEXANDRA feeling humiliated and crestfallen in
front of all the others.  BERTIE takes her hand and
squeezes tight, trying awkwardly to console."|stage direction
90||EXT. OSBORNE HOUSE - DAY|location
91||"The horse-carrier pulls up outside the servant's entrance
and the DRIVER opens the doors.
JOHN BROWN pulls out a watch from his waistcoat and checks
the time.  His eyes narrow critically."|stage direction
92|BROWN|I was due at a quarter past one.|speech
93||(beat)|location
94|BROWN|You're late.|speech
95||INT. OSBORNE HOUSE, CORRIDOR - DAY|location
96||"A few minutes later, JOHN BROWN strides down the long
corridor with PONSONBY at his side.  Their journey takes
them down an endless series of corridors, past servants and
householders hurrying about their duties.  The presence of
the dead Albert is felt all around in the black-wreathed
portraits and busts that crop up along the way.
BROWN and PONSONBY could not be more contrasted."|stage direction
97||(in low tones)|location
98|PONSONBY|"Her Majesty's routine at Osborne House
is not as you will remember it.  The
Household remains in full mourning and
no-one is permitted to raise their
voice under any circumstances
whatsoever.  As for the Queen's
routine, she breakfasts at nine
thirty, lunches at two,takes tea at
five thirty and dinner at eight forty
five.  No one is allowed to leave the
building while the Queen is at home.
On the rare occasions when she is out,
you may ask permission to leave, but
only with my consent.
You're to be ready to walk the pony at
any time after ten o'clock.  You'll
clean her outdoor things and do any
odd jobs as and when she requires."|speech
99|BROWN|How will I know?|speech
100||(surprised to be interrupted)|location
101|PONSONBY|I'm sorry?|speech
102|BROWN|How will I know what she requires?|speech
103|PONSONBY|You'll be sent a message.|speech
104|BROWN|Who'll bring it to me?|speech
105|PONSONBY|Her Highness' Equerry.|speech
106|BROWN|I need a man who knows where I am.|speech
107|PONSONBY|"I'm sure it won't be difficult to find
you."|speech
108|BROWN|That's not good enough.|speech
109||A beat.|stage direction
110|PONSONBY|"Then we'll have to see what can be
arranged."|speech
111|BROWN|Aye, do.|speech
112||PONSONBY stiffens.  A beat.|stage direction
113|PONSONBY|"There is to be no communication with
other members of the household on
matters concerning the court except
through myself or one of the
Equerries.  No plans must be altered
unless you are given prior authority
by myself or a senior member of the
household."|speech
114|BROWN|"I came down at the Queen's request.
I'll take my orders from her."|speech
115|PONSONBY|"In matters concerning the Household, I
act on her behalf."|speech
116||BROWN takes the measure of him.|stage direction
117|BROWN|Do you?|speech
118|PONSONBY|Yes.|speech
119||(beat)|location
120|PONSONBY|I do.|speech
121||BROWN glances up the corridor.|stage direction
122|BROWN|"So, is passing wind out of the
question or do I need permission for
that?"|speech
123||"PONSONBY refuses to acknowledge what he has heard.  They
reach the door of the Royal Chamber and he concludes the
interview."|stage direction
124|PONSONBY|"As I am sure you remember from
Balmoral, you do not talk while in Her
Majesty's presence unless Her Majesty
addresses you directly."|speech
125||"BROWN refuses to answer, so PONSONBY knocks.  After a
moment, the door is opened by LADY ELY who ushers them in."|stage direction
126||INT. OSBORNE HOUSE, QUEEN'S SITTING ROOM - DAY|location
127||"BROWN walks stiffly into the room and stops.  PONSONBY
waits by the door."|stage direction
128|PONSONBY (O.S.)|Mr Brown, ma'am.|speech
129||"VICTORIA is bent over the desk, working at one of her
numerous red boxes.  She scribbles furiously at a letter,
underlining and accenting words as she goes.  Finally, LADY
ELY steps up to her side and whispers something in her ear.
She carries on working.
BROWN has time to survey the room.  Dominating everything
are the same black-wreathed busts and portraits of Prince
Albert glimpsed in the corridor.
Finally, VICTORIA nods and LADY ELY beckons BROWN forward.
He steps up in front of the desk and waits.  VICTORIA looks
up and BROWN bows deeply.
Silence.
She stares at him for a long moment without apparently
registering who he is.  He towers over her, in bright
tartan, while she sits hunched in her seat, all in black
and knotted with tension.
Finally, she finds her voice.  She sounds nervous and edgy."|stage direction
130|VICTORIA|Mr Brown.|speech
131|BROWN|Ma'am.|speech
132|VICTORIA|You are here safely.|speech
133|BROWN|Aye, ma'am.|speech
134|VICTORIA|You are well?|speech
135|BROWN|I am.|speech
136|VICTORIA|And the pony?|speech
137|BROWN|She's well, too.|speech
138||"VICTORIA blinks at the sight of him.  His presence is
bringing him back.  A beat."|stage direction
