|character|text|type
68||"The magician being brutally beaten-- pelted with poker chips,
kicked in the chops, pissed on, the works."|stage direction
69||"DUPREE (V.O.) (CONT'D)
But magic man was also a degenerate
gambler and got caught dealing bottom-
deck at a mob-owned poker parlor.
(beat)
He didn't get outta there with much
more than a pulse.
CUT TO:"|unknown
70||INT. HOSPITAL -- DAY (PAST)|location
71||"The Magician, full body cast, taking his meals through a
straw. Young Israel labors over him, performing card tricks."|stage direction
72||"CUT BACK TO SCENE:
DUPREE
Point is, he passed on all this slight
of hand shit onto Aces and the kid
is sick with it...By the age of twelve
Buddy Israel is positively prodigal
with a deck of cards. By sixteen,
he's headlining the MGM's main room.
CUT TO SCENE:"|unknown
73||"Buddy, cards and coins dancing off his fingertips, dazzling
sold-out crowds. Laverne Israel sits in the front row, decked
out in ankle-length fur, applauding wildly."|stage direction
74||CUT BACK TO:|unknown
75||INT. POOL HALL -- NIGHT (PRESENT)|location
76||Dupree rounds the table, lines up a shot, leans over it.|stage direction
77||6.|unknown
78|DUPREE|"This punk is pulling down ten bills
a night and more showgirl geech than
you can shake a stick at. Four years
of sold-out shows, he becomes the
unofficial mob mascot"|speech
79||CUT TO SCENE:|unknown
80||Buddy meets mob hierarchy; silk suits and pinkie rings.|stage direction
81|DUPREE (cont'd; V.O.) (CONT'D)|"By the tender age of twenty-one he's
breaking bread with the wheels,
keeping company with major muscle.
And it goes to his head in a big way"|speech
82||CUT TO SCENE:|unknown
83||"Buddy, poolside, glass of top dollar Dom in hand. Chicks,
Coopertone and chasm-deep cleavage abound."|stage direction
84|DUPREE (V.O.) (CONT'D)|"...Wiseguys start to think this
sonofabitch is a mystic, something
special...and Aces plays it up, lets
the legend grow, takes time off from
his stage act and starts showcasing
the chip on his shoulder."|speech
85||CUT TO SCENE:|unknown
86||"Buddy, tipping a craps table, attacking the stick-man,
stripping off one of his gold chains, going garotte."|stage direction
87|DUPREE (CONT'D)|"He buys into his bullshit, building
street cred, he's got plans and pull,
he's makin' plays, living the mob
life for real. Somehow, it takes:
Lounge act turned legitimate thug."|speech
88||INT. POOL HALL|location
89||Dupree rips the eight ball, corner pocket.|stage direction
90|DUPREE|"In reality, he doesn't know the ball
from the bounce...He's not a crook,
so he starts fucking up fast and
picking up speed, putting a floodlight
on the whole Carlotta organization.
Cops get curious, start camping out,
compiling names and faces and pretty
soon Israel's bullshit has brought
the heat to bear on none other than
Primo Sparraza--"|speech
91||"7.
LOCKE (V.O.)"|unknown
92|DUPREE|--Enforcer.    Extortionist.   Killer.|speech
93||CUT TO:|unknown
94||INT. BRIEFING ROOM -- DAY|location
95||"WE RECOGNIZE Carruthers and Messner as the two Agents from
the Padiche/Serna surveillance. They are sitting with F.B.I.
Deputy Director STANLEY LOCKE. A debrief is in progress.
SUPER: WASHINGTON, D.C.
A Mafia Family Tree has been erected behind them with a photo
of Primo Sparazza at the top."|stage direction
96|LOCKE|"Sparazza is rumored to have performed
in excess of one-hundred and thirty
contract murders, including one of
the bureau's most celebrated agents.
Freeman Heller. You heard of ""The
Turnpike Murders"" that was Sparazza."|speech
97|MESSNER|I thought Heller was a double op?|speech
98||CUT TO SCENE:|unknown
99||"FREEMAN HELLER, 20's, clean cut Cornell grad, class of 1937.
He's on a pistol range, scoring perfect marks."|stage direction
100|LOCKE (V.O.)|"No. He worked for the O.S.S. before
joining the Bureau in its heyday.
He was the first operative assigned
with infiltrating the mob."|speech
101||CUT TO SCENE:|unknown
