|character|text|type
75||"(CONTINUED)
Final Revision - October, 2003 6."|unknown
76||"CONTINUED:
Far off, half veiled int he swirling STEAM, the TOWER of
ORTHANC stands ... Unbroken by the storm. Pale waters lap
about its feet.
ANGLE ON: TWO SMALL HOBBITS are sitting on the SMASHED WALL
. . . MERRY and PIPPIN! SPREAD before them is a feast of
BREADS, MEATS and WINE. They PUFF on long pipes as they lie
back in the SUN."|stage direction
77||PIPPIN|unknown
78|FRODO|"I feel like I ' m back at the Green Dragon,
after a hard days work."|speech
79||MERRY|unknown
80|FRODO|Only, you've never done a hard days work.|speech
81||MERRY cuts PIPPIN off before he can respond in kind.|stage direction
82||MERRY (cont'd)|unknown
83|FRODO|Welcome, my Lords, to Isengard.|speech
84||"ANGLE ON: GANDALF, ARAGORN, LEGOLAS and GIMLI stare at the
SIGHT before them . . ."|stage direction
85||GIMLI|unknown
86|GANDALF|"You young rascals! A merry hunt you've led
us on, and now we find you feasting and
smoking."|speech
87||(mouth full)|unknown
88|PIPPIN|"We are sitting on a field of victory,
enjoying a few well-earned comforts.
The salted pork is particularly good."|speech
89||(suddenly interested)|unknown
90|GIMLI|Salted pork?|speech
91||(shaking his head)|unknown
92|GANDALF|Hobbits!|speech
93||"(CONTINUED)
Final Revision - October, 2003 7."|unknown
94||CONTINUED: (2)|stage direction
95||MERRY|unknown
96||"We're under orders from Treebeard, who's
taken over management of Isengard."|location
97||"WIDE: GANDALF leads the company through the flotsam and
jetsam which floats upon the muddied waters surrounding the
TOWER ... TREEBEARD, the GIANT ENT, strides towards them,
ALARMING all but GANDALF."|stage direction
98||TREEBEARD|unknown
99||"Huraroom ... Young Master Gandalf, I'm glad
you've come. Wood and water, stock and ,
stone I can master, but there's a wizard to
be managed here ... Locked in his tower."|location
100||GANDALF|unknown
101||"And there Saruman must remain, under your
guard, Treebeard."|location
102||GIMLI|unknown
103||"Let's just have his head and be done with
it.                            ."|location
104||GANDALF stares up the long length of the DARK TOWER . . .|stage direction
105||"GANDALF
(quietly)"|unknown
106||No. He has no power any more.|location
107||THE OLD ENT nods his head wisely . . .|stage direction
108||TREEBEARD|unknown
109||"The filth of Saruman is washing away ...
Trees will come back to live here, young
trees . . . wild trees."|location
110||"CLOSE ON: PIPPIN, his eye caught by something lying in the WATER
ANGLE ON: The MUDDY waters GLOWING wit a golden light . . .
ARAGORN turns as, quick as a FLASH, PIPPIN has jumped off his
ho rse an d pi cke d u p -- th e PA LAN TIR !"|stage direction
111||"(CONTINUED)
Final Revision - October, 2003 8,"|unknown
112||CONTINUED: ( 3 )|stage direction
113||"TREEBEARD (cont'd)
Well bless my bark!"|unknown
114||"(urgent)
Peregrin Took! I'll take that, my lad!"|unknown
115||"PIPPIN doesn't move, his eyes staring in wonder at the smooth
black stone ..."|stage direction
116||"GANDALF (cont'd)
Quickly, now!"|unknown
117||"RELUCTANTLY, PIPPIN hands the PALANTIR to GANDALF ... who
immediately smothers it in his cloak.
ANGLE ON: GANDALF looks back at PIPPIN . . . troubled."|stage direction
118||EXT. EDORAS - DAY|location
119||"WIDE: BACK SHOT - a GROUP OF RIDERS gallop towards the ROHAN
CITY of EDORAS . . .
PUSH IN: EOWYN standing alone outside the GOLDEN HALL,
waiting . . ."|stage direction
120||CUT|unknown
121||INT. EDORAS, GOLDEN HALL - EVENING|location
122||"WIDE: A ROARING FIRE; a LAMB ROASTING on SPI; LONG TABLES
laden with FOOD; BARRELS of WINE; a banquet is-laid ready for
the returning soldiers."|stage direction
123||"THEODEN
Tonight we remember those who gave their
blood to defend this country. Hail the
victorious dead!"|unknown
124||"ANGLE ON: Amidst the cheering crowd, EOWYN moves towards
ARAGORN . . . As she proffers the CHALICE their eyes meet."|stage direction
125||"EOWYN
Westu Aragorn hal.
(CONTINUED)
Final Revision - October, 2003 9,"|unknown
126||"CONTINUED:
EOWYN watches as ARAGORN moves away . . . a voice speaks in her
ear."|stage direction
127|THEODEN|I am happy for you.|speech
128||EOWYN looks at her UNCLE, as THEODEN follows her gaze.|stage direction
129||THEODEN (cont'd)|unknown
130|THEODEN|He is an honourable man.|speech
131||(smiling)|unknown
132|EOWYN|You are both honourable men.|speech
133|THEODEN|"It was not Theoden of Rohan who led our
people to victory."|speech
134||EOWYN looks at him questioningly, disturbed'by his tone.|stage direction
135||T HE ODE N ( co nt' d)|unknown
136|THEODEN|"Don't listen to me - you are young, and
tonight is for you."|speech
137||"ANGLE ON: EOWYN watches concerned as her UNCLE moves away.
ANGLE ON: MERRY & PIPPIN are in full voice, on top of one of the
TABLES . . . both hold very large mugs of ALE in their hands."|stage direction
138||(singing)|unknown
139|MERRY & PIPPIN|"Oh, you can search - up and down
As many lands as can be found
But you'll never find a beer so brown
As the one we drink in our home town
You can keep your fancy ales
You can drink them by the flagon
But the only brew, for the brave and true,
Comes from the Green Dragon!"|speech
140||"ANGLE ON: GANDALF laughing and clapping the HOBBITS. ARAGORN
steps up beside him, SMILING at the floorshow."|stage direction
141||"(CONTINUED)
Final Revision - October, 2003 10,"|unknown
142||CONTINUED: (2)|stage direction
143||"ARAGORN
No news of Frodo?
GANDALF
No word ... nothing.
ARAGORN
We till have time."|unknown
144||GANDALF turns quickly to ARAGORN.|stage direction
145||"ARAGORN (cont'd)
Every day Frpdo moves closer to Mordor."|unknown
146||GANDALF watches his friend's face . . . seeking reassurance.|stage direction
147||"GANDALF
Do we know that?
ARAGORN
(gently)
What does your heart tell you?
GANDALF
(with a small smile)
That Frodo is alive.
(to himself)
Yes - yes, he is alive."|unknown
148||EXT. MORGUL VALLEY - NIGHT|location
149||"ANGLE ON: FRODO and SAM lie asleep amidst scrubby bushes near a
stagnant pool. SMEAGOL lies nearby, muttering in his sleep."|stage direction
150||"SMEAGOL
Too risky, too risky. The thieves! They
stole it from us. Kill them . . . kill them
... kill them both!"|unknown
151||"SMEAGOL wakes suddenly, shaking, his face drenched in SWEAT,
eyes wide in horror."|stage direction
152||"SME AGO L (c ont' d)
No!
(CON TINUED )
Final Revision - October, 2003 11."|unknown
153||CONTINUED:|stage direction
154||(hissed whisper)|unknown
155|GOLLUM|Shhh! Quiet!|speech
156||"SMEAGOL'S features suddenly transform into the MALEVOLENT
face of GOLLUM!"|stage direction
157|GOLLUM (cont'd)|Mustn't wake them, mustn't ruin it now!|speech
158||"SMEAGOL casts a quick glance over his SHOULDER to the
SLEEPING figures of FRODO and SAM as he clambers off his ROCK
. . . silently sidling towards the EDGE of a STAGNANT POOL."|stage direction
159|SMEAGOL|They knows, they knows, they suspects us.|speech
160||"SMEAGOL stares into the MURKY depths of the WATER.
The SURFACE RIPPLES as the face of GOLLUM appears as SMEAGOL'S
REFLECTION."|stage direction
161|GOLLUM.,               .     ,.·|"What is it saying,.my Precious, my love? Is .
Smeagol losing his nerve??"|speech
162|SMEAGOL                 :|"No! Not! Never!! Smeagol hates nasty
Hobbitses! Smeagol wants to see: them -
dead!"|speech
163||GOLLUM|unknown
164|SMEAGOL                 :|And we will . . ,- Smeagol did it once. . .|speech
165||(sly)|unknown
166|SMEAGOL                 :|. . . He can do it again.|speech
167||"FLASH INSERT: SMEAGOL choking DEAGOL . . . Fingers locked tight
around his THROAT."|stage direction
168|GOLLUM (cont'd)|It's ours - ours!|speech
169||"(CONTINUED)
Final Revision - October, 2003 12,"|unknown
170||CONTINUED: (2)|stage direction
171||SMEAGOL|unknown
172||"We must get the Precious. We must get it
back."|location
173||GOLLUM|unknown
174||"Patience, patience, my love. First we must
lead them to her."|location
175||SMEAGOL|unknown
176||We lead them to the windy stairs.|location
177||"GOLLUM
(prompting)"|unknown
178||Yes, the stairs ... and then?|location
179||"Up, up, up, up the stairs we go . . . until
we come to . . ."|location
180||(naughty excitement)|unknown
181||... the Tunnel!|location
182||"GOLLUM
(quiet)"|unknown
183||"And when they go in, there's no coming out.
She's always hungry, she always needs to
feed. She must eat, all She gets is filthy
Orcses."|location
184||SMEAGOL|unknown
185||"And they doesn't taste very nice, does
they, Precious?               ."|location
186||"GOLLUM
(sinister)"|unknown
187||"No . . . not very nice at all, my love. She
hungers for sweeter meats . . ."|location
188||CLOSE ON: SAM . . . his EYES flicker OPEN . . .|stage direction
189||GOLLUM (cont'd)|unknown
190||"""Hobbit meat."" And when She throws away the
bones and the empty clothes, then we will
find it . . ."|location
191||SMEAGOL|unknown
192||And take it for Me!|location
193||"(CONTINUED)
Final Revision - October, 2003 13"|unknown
194||CONTINUED: (3)|stage direction
195||"GOLLUM
(correcting)
For us . . .
SMEAGOL
Yes, we, we meant for us . . .
(choking cough)
Go Hum! Go Hum!
GOLLUM
(sly)
The Precious will be ours once the
Hobbitses are dead!"|unknown
196||"SUDDEN ANGLE ON: SAM image mirrored in the water as he SMACKS
GOLLUM on the HEAD with his POT!"|stage direction
197||"SAM
(yelling)            ,·     .
You treacherous little toad!"|unknown
198||"SAM drops the POT and FLINGS himself ON TOP of GOLLUM! GOLLUM
SCREAMS . . . his ARMS and LEGS FLAILING WILDLY!"|stage direction
199||"GOLLUM
(crying)
No! Not! Help! Master!"|unknown
200||"ANGLE ON: FRODO staggers over to SAM and PULLS HIM OFF
GOLLUM."|stage direction
201||"FRODO
No, Sam! Leave him alone!"|unknown
202||"CLOSE ON: GOLLUM, huddled on the ground        WHIMPERING and
SOBBING."|stage direction
203||"SAM
(fuming)
I heard it from his own mouth        he means
to murder us!
(CONTINUED)
Final Revision - October, 2003 14"|unknown
204||CONTINUED: ( 4 )|stage direction
205||"SMEAGOL
Never! Smeagol wouldn't hurt a fly!
He's a horrid, fat Hobbit who hates Smeagol
and who makes up nasty lies!"|unknown
206||"SAM makes for SMEAGOL again . . . with a look of MURDEROUS
RAGE."|stage direction
207||"SAM
You miserable little maggot! I'll stove
your head in!"|unknown
208||FRODO grabs SAM'S ARM.|stage direction
209||"FRODO
Sm. . ."|unknown
210|SMEAGOL|a|speech
211||"SAM
Call me a liar! You're a liar!
FRODO
Sam! If you scare him off, we're lost."|unknown
212||SAM pulls away from FRODO . . .|stage direction
213||"SAM
I don't care! I can't do it, Mr Frodo. I
won' t wait around for him to kill us !
FRODO
(fierce whisper)
I'm not sending him away."|unknown
214||SAM stares at FRODO . . . at a loss.|stage direction
215||"SAM
You don't see it, do you? He's a villain!
FRODO
(lowers voice)
We can't do this by ourselves, Sam. Not
without a guide. I need you on my side."|unknown
216||ANGLE ON: SAM, his face softening.|stage direction
217||"(CONTINUED)
Final Revision - October, 2003 15."|unknown
218||CONTINUED: (5)|stage direction
219||"SAM
(taken aback)"|unknown
220||I'm on your side, Mr Frodo.|location
221||FRODO|unknown
222||I know, Sam, I know.|location
223||(whisper)|unknown
224||You must trust me.|location
225||FRODO beckons to GOLLUM.|stage direction
226||FRODO (cont'd)|unknown
227||Come, Smeagol.|location
228||"GOLLUM turns slowly, staring at SAM through hooded, HATE-FILLED
EYES ... and SMILES."|stage direction
229||CUT TO:|unknown
230||EXT. EDORAS, GOLDEN HALL - EARLY DAWN|location
231||"ARAGORN joins LEGOLAS on the STEPS to the GOLDEN HALL, oblivious
to the CHILL WIND . . . they look out across the SLEEPING CITY to
the LOOMING MOUNTAIN RANGE BEYOND . .-. DARK CLOUDS mark the sky."|stage direction
232||LEGOLAS|unknown
233||"The stars are veiled, something stirs in
the east . . . A sleepless malice."|location
234||LEGOLAS looks at ARAGORN . . . realisation in his face.|stage direction
235||LEGOLAS (cont'd)|unknown
236||"The eye of the enemy is moving.
INT. EDORAS, SLEEPING QUARTERS - EARLY DAWN,"|location
237||"CLOSE ON: PIPPIN . . . he is AWAKE! He sits up . . . ANXIOUS,
FIDGETY . . .
Suddenly he hops out of bed and creeps towards the SLEEPING FORM
of GANDALF."|stage direction
238||MERRY|unknown
239||"(whispers)
What you doing?"|location
240||"(CONTINUED)
Final Revision - October, 2003 16,"|unknown
241||"CONTINUED:
PIPPIN gasps with FRIGHT! MERRY is sitting up, wiping sleep
from his eyes. He moves on . . .
ANGLE ON: A sleeping GANDALF lies with eyes wide open! But
PIPPIN is undeterred . . .
MERRY sits up, a worried look on his face."|stage direction
242||MERRY (cont'd)|unknown
243|SMEAGOL|Pippin? Pippin? Pippin! What are you doing?|speech
244||"With quick stealth, PIPPIN lifts the WRAPPED PALANTIR from
GANDALF'S grasp ..."|stage direction
245||MERRY (cont'd)|unknown
246|SMEAGOL|Pippin, are you mad?|speech
247|PIPPIN|"I just want to look at it. Just one more
time."|speech
248||MERRY|unknown
249|PIPPIN|Put it back! Put - it - back!|speech
250||"PIPPIN unwraps the PALANTIR and as MERRY looks on HORRIFIED,
he gazes INTENTLY into it."|stage direction
251||MERRY (cont'd)|unknown
252|PIPPIN|Pippin!|speech
253||"As PIPPIN lays his hands on the CRYSTAL, a SICKLY PALE light
slowly spreads from the GLASS BALL onto PIPPIN'S FACE ... his
EYES WIDEN."|stage direction
254||MERRY (cont'd)|unknown
255|PIPPIN|Pippin!|speech
256||EXT. EDORAS GOLDEN HALL - EARLY DAWN|location
257||On the STEPS of the GOLDEN HALL, LEGOLAS turns to ARAGORN|stage direction
258||"(CONTINUED)
Final Revision - October, 2003 17."|unknown
259||CONTINUED:|stage direction
260||"LEGOLAS
(urgent)"|unknown
261|PIPPIN|He is here.|speech
262||INT. EDORAS, SLEEPING QUARTERS - NIGHT|location
263||"PIPPIN suddenly starts to HYPERVENTILATE . . . He STAGGERS
BACKWARDS, PALANTIR held rigidly before him . . .
THE GREAT EYE OF SAURON seems to LEAP from the FIRE . . . PIPPIN
is bathed in the FIERY RED LIGHT.
PIPPIN sinks to his KNEES, his mouth open in a soundless SCREAM
. . . He FALLS BACKWARDS, powerless to release the FIERY GLOBE."|stage direction
264|MERRY|Help! Someone help him!|speech
265||"GANDALF wakes with a start! Just as ARAGORN enters, and
wrenches the PALANTIR from PIPPIN'S HANDS . . . PIPPIN FALLS to
the FLOOR! . . . ARAGORN spins away, reeling backwards, the
PALANTIR falling from his HANDS . . .
The PALANTIR rolls across the FLOOR, causing EVERYONE in the
room to COWER BACK.                                    ;
ANGLE ON: GANDALF throws a BLANKET over it, ANGRY DISBELIEF
on his face! He rounds on PIPPIN.                    ,"|stage direction
266|GANDALF|Fool of a Took!|speech
267||GANDALF lifts the HOBBIT'S SLUMPED HEAD.|stage direction
268|MERRY|Pippin!|speech
269||PIPPIN is trembling ... GANDALF calms him . . .|stage direction
270|PIPPIN|Gandalf! Forgive me.|speech
271||GANDALF             .|unknown
272|PIPPIN|Look at me! What did you see?|speech
273||"(CONTINUED)
Final Revision - October, 2003 18."|unknown
274||CONTINUED:|stage direction
275||"PIPPIN
(disjointed)
A tree ... There was a white tree . . . in a
courtyard of stone . . . It was dead!"|unknown
276||FLASH INSERT: A lone white tree silhouetted by flames.|stage direction
277|PIPPIN (cont'd)|The city was burning ...|speech
278|GANDALF|Minas Tirith???|speech
279||(to PIPPIN)|unknown
280|GANDALF|Is that what you saw?|speech
281||"PIPPIN
(terrified)"|unknown
282|GANDALF|"I saw . . . I saw him . . . I could hear his
voice in my head."|speech
283||"GANDALF
And what did you tell him? Speak!"|unknown
284||"He asked me my name, I didn't answer . . . he
hurt me . . ."|unknown
285||"CLOSE ON: GANDALF stares at PIPPIN with a FRIGHTENING
INTENSITY . . ."|stage direction
286||"GANDALF
What did you tell him about Frodo and the
Ring?"|unknown
287||INT. EDORAS, GOLDEN HALL - DAY|location
288||"THEODEN stands in the GOLDEN HALL, gravely listening to
GANDALF ... ARAGORN, LEGOLAS, and GIMLI look on . . ."|stage direction
289||"GANDALF
There was no lie in Pippin's eyes; a fool,
but an honest fool he remains. He told
Sauron nothing of Frodo and the Ring."|unknown
290||ANGLE ON: GIMLI lets out a sigh of relief.|stage direction
291||"(CONTINUED)
Final Revision - October, 2003 19."|unknown
292||"CONTINUED:
GANDALF turns to look at THEODEN."|stage direction
293|GANDALF (cont'd)|"We've been strangely fortunate. What Pippin
saw in the Palantir was a glimpse of our
enemy's plan."|speech
294||GANDALF looks from on to the other of the, gathered company.|stage direction
295||GANDALF (cont'd)|unknown
296|GANDALF (cont'd)|"Sauron moves to strike the city of Minas
Tirith. His defeat at Helm's Deep showed
our enemy one thing."|speech
297||The WIZARD turns towards ARAGORN . . .|stage direction
298|GANDALF (cont'd)|"The heir of Elendil has come forth. Men are
not as weak as he supposed. There is
courage still - strength enough left to
challenge him."|speech
299||THEODEN listens intently, saying nothing.|stage direction
300||"GANDALF (cont'd)
(wa rningly)"|unknown
301|GANDALF (cont'd)|"Sauro n        fea   rs this. He             will no t risk            t   he
p e o p l es    of    M i d d l e -e a r t   h u n i t i ng u n d e   r    one
b a n n e r.    He    w i l l r ai s e       M i n a s T ir i t h t   o    the
groun d        bef   ore he sees              the ret urn of           t   he
King."|speech
302||"CLOSE ON: ARAGORN . . . he knows GANDALF SPEAKS THE TRUTH.
ANGLE ON: GANDALF rounds on THEODEN . . ."|stage direction
303|GANDALF (cont'd)|"If the beacons of Condor are lit, Rohan
must be ready for war!"|speech
304||THEODEN holds GANDALF'S gaze.|stage direction
305||"(CONTINUED)
Final Revision - October, 2003 20"|unknown
306||CONTINUED: (2)|stage direction
307||"THEODEN
(quietly)"|unknown
308||"Tell me. Why should we ride to the aid of
those who did not come to ours?"|location
309||ANGLE ON: ARAGORN turns to look at THEODEN.|stage direction
310||THEODEN (cont'd)|unknown
311||What do we owe Gondor?|location
312||"ARAGORN
(low and urgent)"|unknown
313||I will go.|location
314||(hurried)|unknown
315||No!|location
316||ARAGORN|unknown
317||They must be warned.|location
318||GANDALF|unknown
319||They will be.|location
320||(low voice, to Aragorn)|unknown
321||"You must come to Minas Tirith by another
ra ..."|location
322||"od
(cryptic)"|unknown
323||Follow the river, look to the black ships.|location
324||(louder, to all)|unknown
325||"Understand this . . . things are now in
motion that cannot be undone."|location
326||"GANDALF turns on his heel . . . and stares at a surpirsed
PIPPIN."|stage direction
327||GANDALF (cont'd)|unknown
328||"I ride for Minas Tirith! And I won't be
going alone !
EXT. EDORAS STREETS - DAWN"|location
329||"ANGLE ON: GANDALF hurries along the STREETS . . .   PIPPIN and
MERRY run alongside trying to KEEP UP . . ."|stage direction
330||"(CONTINUED)
Final Revision - October, 2003 21."|unknown
331||CONTINUED:                         ·|stage direction
332|GANDALF|"Of all the inquisitive Hobbits, Peregrin,
Took, you are the worst. Hurry, hurry!"|speech
333||PIPPIN catches up to MERRY.|stage direction
334||"PIPPIN
(worried)"|unknown
335|GANDALF|Where are we going?|speech
336||MERRY|unknown
337|GANDALF|"Why did you look - why do you always have
to look?"|speech
338||"PIPPIN                                 .
(subdued)"|unknown
339|GANDALF|I don't know . . . I can't help it.|speech
340||MERRY turns away ...|stage direction
341||MERRY|unknown
342|GANDALF|You never can.|speech
343||"PIPPIN
(lightly)                . . . . ,.;      ·"|unknown
344|GANDALF|I'm sorry, alright? I won't do it again.|speech
345||This is too much for MERRY. He turns on PIPPIN.|stage direction
346|MERRY|"Don't you understand ... the Enemy thinks
you have the Ring . . . he's going to be
looking for you, Pip. They have to get you
out of here!"|speech
347||PIPPIN|unknown
348|MERRY|"And you. You're coming with me . . .
Merry?"|speech
349|MERRY|Come on!|speech
350||PUSH IN: PIPPIN'S face as MERRY strides away.|stage direction
351||"'     ,.,   CUT TO:
Final Revision - October, 2003 22"|unknown
352||INT. EDORAS STABLES - DAWN|location
353||"ANGLE ON: PIPPIN is dumped unceremoniously onto the back of
SHADOWFAX as GANDALF hurriedly prepares to leave . . ."|stage direction
354||"PIPPIN
(nervous)
How far is Minas Tirith?
GANDALF
Three days ride as the Nazgul flies and
you'd better hope we don't have one of
those on our tail."|unknown
355||MERRY thrusts a SMALL PACKAGE into PIPPIN'S HAND . . .|stage direction
356||"MERRY
Here - something for the road."|unknown
357||PIPPIN stares down at the leather-bound bundle of PIPE-WEED.|stage direction
358||"PIPPIN
The last of the Longbottom Leaf.
MERRY
I know you've run out . . . you smoke too
much, Pip.
PIPPIN
But we'11 see each other soon?"|unknown
359||A WORRIED MERRY exchanges glances with GANDALF.|stage direction
360||"PIPPIN (cont'd)
Won't we?
MERRY
I don't know . . . I don't know what's going
to happen."|unknown
361||GANDALF mounts SHADOWFAX.|stage direction
362||"PIPPIN
(rising panic)
Merry?
(CONTINUED)
Final Revision - October, 2003 23."|unknown
363||"CONTINUED:
GANDALF spurs the GREAT HORSE forward."|stage direction
364||GANDALF|unknown
365|MERRY|"Run Shadowfax, show us the meaning of
haste."|speech
366||"PIPPIN
(panicked)
Merry!"|unknown
367||"SHADOWFAX thunders out of the STABLES!
CLOSE ON: MERRY'S devastated face."|stage direction
368||EXT. GATES OF EDORAS - DAY|location
369||"ANGLE ON: SHADOWFAX carried GANDALF and PIPPIN out of the
GATE and down the WINDING ROAD towards the PLAINS QF ROHAN."|stage direction
370||EXT. EDORAS GATES LOOK-OUT - DAY|location
371||"ANGLE ON: MERRY clambers up a WATCHTOWER, ARAGORN in pursuit.
ANGLE ON::The SMALL FIGURE as he watches his best friend
DISAPPEAR into the DISTANCE . . .
CLOSE ON: ARAGORN . . . he knows what it is to lose someone."|stage direction
372||EXT. RIVENDELL FOREST - DAY|location
373||"WIDE: ARWEN - escorted by a SMALL ENTOURAGE of ELVES - rides
through the gathering darkness of a PINE FOREST ..."|stage direction
374||"ELROND V/0
Take her by the safest road. A ship lies
anchored in the Grey Havens. It waits to
carry her across the Sea . . . The last
journey of Arwen Undomiel."|unknown
